mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	1.0	0	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	2	0.76	1.76
1	0	1	0a	0	0	1.0	0	1/2	3/4	2	2	1/4		1/4	1		-2	58	Bb3	3	3	0.76	1.76
1	0	1	0a	0	0	1.0	0	1/2	3/4	1	2	1/4		1/4	1		2	62	D4	4	1	0.76	1.76
1	0	1	0a	0	0	1.0	0	1/2	3/4	1	1	1/4		1/4	1		-1	65	F4	4	0	0.76	1.76
2	1	2	1a	1	1	1.0	0	0	3/4	2	2	1/4		1/4	1		2	50	D3	3	17	1.76	2.04
2	1	2	1a	1	1	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	13	1.76	2.04
2	1	2	1a	1	1	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	9	1.76	2.04
2	1	2	1a	1	1	1.0	0	0	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	4	1.76	2.04
2	1	2	1a	2	2	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		0	48	C3	3	18	2.04	2.62
2	1	2	1a	2	2	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	65	F4	4	14	2.04	2.42
2	1	2	1a	2	2	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	10	2.04	2.42
2	1	2	1a	2	2	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	5	2.04	2.42
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	15	2.42	2.62
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	11	2.42	2.62
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	6	2.42	2.62
2	1	2	1a	3	3	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-2	46	Bb2	2	19	2.62	3.12
