mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	1	1	1a	0	0	0.5		0	0	3/4	2	2	1/8	1/8	1		1	55	G3	3	9	1.0	1.36
1	1	1	1a	0	0	1.0		0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	6	1.0	1.6
1	1	1	1a	0	0	1.0		0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	3	1.0	1.6
1	1	1	1a	0	0	1.0		0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	0	1.0	1.6
1	1	1	1a	1/2	1/2	0.5		1/8	1/8	3/4	2	2	1/8	1/8	1		6	54	F#3	3	10	1.36	1.6
1	1	1	1a	1	1	1.0		1/4	1/4	3/4	2	2	1/4	1/4	1		4	52	E3	3	11	1.6	2.24
1	1	1	1a	1	1	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	7	1.6	2.24
1	1	1	1a	1	1	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	4	1.6	2.24
1	1	1	1a	1	1	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	1	1.6	2.24
1	1	1	1a	2	2	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	12	2.24	2.72
1	1	1	1a	2	2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	8	2.24	2.72
1	1	1	1a	2	2	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	5	2.24	2.72
1	1	1	1a	2	2	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	2	2.24	2.72
2	2	2	2a	3	3	1.0		0	0	3/4	2	2	1/4	1/4	1		1	43	G2	2	20	2.72	3.22
2	2	2	2a	3	3	1.0		0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	18	2.72	3.22
2	2	2	2a	3	3	0.5		0	0	3/4	1	2	1/8	1/8	1		1	67	G4	4	15	2.72	3.04
2	2	2	2a	3	3	1.0		0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	13	2.72	3.22
2	2	2	2a	7/2	7/2	0.5		1/8	1/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	16	3.04	3.22
2	2	2	2a	4	4	2.0		1/4	1/4	3/4	2	2	1/2	1/2	1		0	48	C3	3	21	3.22	4.32
2	2	2	2a	4	4	2.0		1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	19	3.22	4.32
2	2	2	2a	4	4	2.0		1/4	1/4	3/4	1	2	1/2	1/2	1		4	64	E4	4	17	3.22	4.32
2	2	2	2a	4	4	2.0		1/4	1/4	3/4	1	1	1/2	1/2	1		1	67	G4	4	14	3.22	4.32
3	3	3	3a	6	6	1.5		0	0	3/4	2	2	3/8	1/4	3/2		-1	53	F3	3	31	4.32	5.02
3	3	3	3a	6	6	1.0		0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	28	4.32	4.9297560975609755
3	3	3	3a	6	6	1.0		0	0	3/4	1	2	1/4	1/4	1		-1	65	F4	4	25	4.32	4.9297560975609755
3	3	3	3a	6	6	1.0		0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	22	4.32	4.9297560975609755
3	3	3	3a	7	7	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	29	4.9297560975609755	5.32
3	3	3	3a	7	7	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		-1	65	F4	4	26	4.9297560975609755	5.32
3	3	3	3a	7	7	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		3	69	A4	4	23	4.9297560975609755	5.32
3	3	3	3a	15/2	15/2	0.5		3/8	3/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	32	5.02	5.32
3	3	3	3a	8	8	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	33	5.32	5.82
3	3	3	3a	8	8	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	30	5.32	5.82
3	3	3	3a	8	8	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	27	5.32	5.82
3	3	3	3a	8	8	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	24	5.32	5.82
4	4	4	4a	9	9	1.0		0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	41	5.82	6.33
4	4	4	4a	9	9	2.0		0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	38	5.82	6.84
