mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	1	6	1b	21	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3		9
1	1	6	1b	21	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		5
1	1	6	1b	21	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4		1
1	1	6	1b	43/2	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		14
1	1	6	1b	22	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		0	48	C3	3		15
1	1	6	1b	22	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4		10
1	1	6	1b	22	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4		6
1	1	6	1b	22	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4		2
1	1	6	1b	45/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		16
1	1	6	1b	23	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		3	45	A2	2		17
1	1	6	1b	23	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3		11
1	1	6	1b	23	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		7
1	1	6	1b	23	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		3
1	1	6	1b	47/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		8	44	G#2	2		18
2	2	7	2b	24	4	1.5	0	0	4/4	2	2	3/8	1/4	3/2		3	45	A2	2		35
2	2	7	2b	24	4	1.5	0	0	4/4	2	1	3/8	1/4	3/2		3	57	A3	3		28
2	2	7	2b	24	4	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4		22
2	2	7	2b	24	4	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5		19
2	2	7	2b	49/2	9/2	0.25	1/8	1/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4		23
2	2	7	2b	99/4	19/4	0.25	3/16	3/16	4/4	1	2	1/16	1/16	1		8	68	G#4	4		24
