mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
10	10	15	10a	57	37	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		0	48	C3	3		173
10	10	15	10a	57	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		166
10	10	15	10a	57	37	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		159
10	10	15	10a	57	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5		154
10	10	15	10a	115/2	75/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		174
10	10	15	10a	58	38	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3		175
10	10	15	10a	58	38	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4		167
10	10	15	10a	58	38	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		3	69	A4	4		160
10	10	15	10a	58	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4		155
10	10	15	10a	117/2	77/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3		168
10	10	15	10a	117/2	77/2	0.25	5/8	5/8	4/4	1	2	1/16	1/16	1		8	68	G#4	4		161
10	10	15	10a	235/4	155/4	0.25	11/16	11/16	4/4	1	2	1/16	1/16	1		6	66	F#4	4		162
10	10	15	10a	59	39	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4		169
10	10	15	10a	59	39	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4		163
10	10	15	10a	119/2	79/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4		170
11	11	16	11a	60	40	2.0	0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2		185
11	11	16	11a	60	40	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4		182
11	11	16	11a	60	40	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4		179
11	11	16	11a	60	40	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4		176
11	11	16	11a	62	42	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		186
11	11	16	11a	62	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4		183
11	11	16	11a	62	42	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		8	68	G#4	4		180
11	11	16	11a	62	42	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4		177
11	11	16	11a	63	43	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		3	57	A3	3		187
11	11	16	11a	63	43	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		184
11	11	16	11a	63	43	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		181
11	11	16	11a	63	43	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5		178
11	11	16	11a	127/2	87/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	55	G3	3		188
12	12	17	12a	64	44	0.5	0	0	4/4	2	2	1/8	1/8	1		-1	53	F3	3		204
12	12	17	12a	64	44	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4		199
12	12	17	12a	64	44	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4		193
12	12	17	12a	64	44	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5		189
12	12	17	12a	129/2	89/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		205
12	12	17	12a	129/2	89/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	G4	4		194
12	12	17	12a	65	45	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		206
12	12	17	12a	65	45	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		200
12	12	17	12a	65	45	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4		195
12	12	17	12a	65	45	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		190
12	12	17	12a	131/2	91/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4		201
12	12	17	12a	66	46	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3		207
12	12	17	12a	66	46	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3		202
12	12	17	12a	66	46	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4		196
12	12	17	12a	66	46	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4		191
12	12	17	12a	133/2	93/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3		208
12	12	17	12a	67	47	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3		209
12	12	17	12a	67	47	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3		203
12	12	17	12a	67	47	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4		197
12	12	17	12a	67	47	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		192
12	12	17	12a	135/2	95/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		210
12	12	17	12a	135/2	95/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4		198
13	13	18	13a	68	48	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3		216
13	13	18	13a	68	48	2.0	0	0	4/4	2	2	1/2	1/2	1		3	57	A3	3		218
13	13	18	13a	68	48	2.0	0	0	4/4	1	2	1/2	1/2	1		7	61	C#4	4		213
13	13	18	13a	68	48	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4		211
13	13	18	13a	71	51	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-1	41	F2	2		219
13	13	18	13a	71	51	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4		217
13	13	18	13a	71	51	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4		214
13	13	18	13a	71	51	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		212
13	13	18	13a	143/2	103/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		215
14	14	19	14a	72	52	1.0	0	0	4/4	2	2	1/4	1/4	1		1	43	G2	2		236
14	14	19	14a	72	52	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4		230
14	14	19	14a	72	52	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4		225
14	14	19	14a	72	52	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4		220
14	14	19	14a	145/2	105/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3		231
14	14	19	14a	73	53	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2		237
14	14	19	14a	73	53	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3		232
14	14	19	14a	73	53	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		2	62	D4	4		226
14	14	19	14a	73	53	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4		221
14	14	19	14a	147/2	107/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		0	60	C4	4		227
14	14	19	14a	74	54	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3		238
14	14	19	14a	74	54	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3		233
14	14	19	14a	74	54	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4		228
14	14	19	14a	74	54	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4		222
14	14	19	14a	149/2	109/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		0	48	C3	3		239
14	14	19	14a	75	55	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2		240
14	14	19	14a	75	55	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55	G3	3		234
14	14	19	14a	75	55	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4		229
14	14	19	14a	75	55	0.75	3/4	3/4	4/4	1	1	3/16	1/8	3/2		1	67	G4	4		223
14	14	19	14a	151/2	111/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	43	G2	2		241
14	14	19	14a	151/2	111/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3		235
14	14	19	14a	303/4	223/4	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1		-1	65	F4	4		224
15	15	20	15a	76	56	2.0	0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2		248
15	15	20	15a	76	56	2.0	0	0	4/4	1	2	1/2	1/2	1		0	60	C4	4		244
15	15	20	15a	76	56	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4		246
15	15	20	15a	76	56	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4		242
15	15	20	15a	79	59	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2		249
15	15	20	15a	79	59	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4		247
15	15	20	15a	79	59	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		245
15	15	20	15a	79	59	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		243
16	16	21	16a	80	60	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2		267
16	16	21	16a	80	60	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3		261
16	16	21	16a	80	60	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4		254
16	16	21	16a	80	60	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4		250
16	16	21	16a	81	61	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3		268
16	16	21	16a	81	61	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3		262
16	16	21	16a	81	61	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		2	62	D4	4		255
16	16	21	16a	81	61	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4		251
16	16	21	16a	163/2	123/2	0.25	3/8	3/8	4/4	1	2	1/16	1/16	1		0	60	C4	4		256
16	16	21	16a	327/4	247/4	0.25	7/16	7/16	4/4	1	2	1/16	1/16	1		5	59	B3	3		257
16	16	21	16a	82	62	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3		269
16	16	21	16a	82	62	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		-1	53	F3	3		263
16	16	21	16a	82	62	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	57	A3	3		258
16	16	21	16a	82	62	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4		252
16	16	21	16a	165/2	125/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		4	52	E3	3		264
16	16	21	16a	83	63	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2		270
16	16	21	16a	83	63	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	50	D3	3		265
16	16	21	16a	83	63	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4		259
16	16	21	16a	83	63	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4		253
16	16	21	16a	167/2	127/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	43	G2	2		271
16	16	21	16a	167/2	127/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		1	55	G3	3		266
16	16	21	16a	167/2	127/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		5	59	B3	3		260
17	17	22	17a	84	64	2.0	0	0	4/4	2	2	1/2	1/2	1		0	48	C3	3		281
17	17	22	17a	84	64	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3		278
17	17	22	17a	84	64	2.0	0	0	4/4	1	2	1/2	1/2	1		0	60	C4	4		275
17	17	22	17a	84	64	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4		272
17	17	22	17a	86	66	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		3	45	A2	2		282
17	17	22	17a	86	66	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4		279
17	17	22	17a	86	66	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4		276
17	17	22	17a	86	66	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4		273
17	17	22	17a	173/2	133/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		0	48	C3	3		283
17	17	22	17a	87	67	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3		284
17	17	22	17a	87	67	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3		280
17	17	22	17a	87	67	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		277
17	17	22	17a	87	67	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4		274
17	17	22	17a	175/2	135/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		285
18	18	23	18a	88	68	0.5	0	0	4/4	2	2	1/8	1/8	1		0	48	C3	3		301
18	18	23	18a	88	68	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4		297
18	18	23	18a	88	68	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4		291
18	18	23	18a	88	68	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4		286
18	18	23	18a	177/2	137/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		302
18	18	23	18a	89	69	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2		303
18	18	23	18a	89	69	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3		298
18	18	23	18a	89	69	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		292
18	18	23	18a	89	69	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		287
18	18	23	18a	179/2	139/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		8	44	G#2	2		304
18	18	23	18a	90	70	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2		305
18	18	23	18a	90	70	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3		299
18	18	23	18a	90	70	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		4	64	E4	4		293
18	18	23	18a	90	70	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5		288
18	18	23	18a	181/2	141/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4		294
18	18	23	18a	91	71	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2		306
18	18	23	18a	91	71	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		300
18	18	23	18a	91	71	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		1	67	G4	4		295
18	18	23	18a	91	71	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4		289
18	18	23	18a	183/2	143/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4		296
18	18	23	18a	183/2	143/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4		290
19	19	24	19a	92	72	1.0	0	0	4/4	2	2	1/4	1/4	1		0	48	C3	3		326
19	19	24	19a	92	72	0.5	0	0	4/4	2	1	1/8	1/8	1		1	55	G3	3		318
19	19	24	19a	92	72	0.5	0	0	4/4	1	2	1/8	1/8	1		-1	65	F4	4		311
19	19	24	19a	92	72	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4		307
19	19	24	19a	185/2	145/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		0	60	C4	4		319
19	19	24	19a	185/2	145/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1	1	4	64	E4	4		312
19	19	24	19a	371/4	291/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		5	59	B3	3		320
19	19	24	19a	93	73	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		327
19	19	24	19a	93	73	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3		321
19	19	24	19a	93	73	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1	-1	4	64	E4	4		313
19	19	24	19a	93	73	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		308
19	19	24	19a	187/2	147/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		5	59	B3	3		322
19	19	24	19a	187/2	147/2	0.25	3/8	3/8	4/4	1	2	1/16	1/16	1		2	62	D4	4		314
19	19	24	19a	375/4	295/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	57	A3	3		323
19	19	24	19a	375/4	295/4	0.25	7/16	7/16	4/4	1	2	1/16	1/16	1		0	60	C4	4		315
19	19	24	19a	94	74	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		328
19	19	24	19a	94	74	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		8	56	G#3	3		324
19	19	24	19a	94	74	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		5	59	B3	3		316
19	19	24	19a	94	74	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4		309
19	19	24	19a	95	75	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3		325
19	19	24	19a	95	75	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3		329
19	19	24	19a	95	75	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-2	58	Bb3	3		317
19	19	24	19a	95	75	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4		310
20	20	25	20a	96	76	0.5	0	0	4/4	2	2	1/8	1/8	1		-1	53	F3	3		343
20	20	25	20a	96	76	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3		338
20	20	25	20a	96	76	1.0	0	0	4/4	1	2	1/4	1/4	1		0	60	C4	4		333
20	20	25	20a	96	76	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4		330
20	20	25	20a	193/2	153/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		344
20	20	25	20a	97	77	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3		345
20	20	25	20a	97	77	1.5	1/4	1/4	4/4	2	1	3/8	1/4	3/2		2	62	D4	4		339
20	20	25	20a	97	77	1.5	1/4	1/4	4/4	1	2	3/8	1/4	3/2		-1	65	F4	4		334
20	20	25	20a	195/2	155/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3		346
20	20	25	20a	98	78	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		5	47	B2	2		347
20	20	25	20a	98	78	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4		331
20	20	25	20a	197/2	157/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		1	43	G2	2		348
20	20	25	20a	197/2	157/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3		340
20	20	25	20a	197/2	157/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		335
20	20	25	20a	99	79	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		3	45	A2	2		349
20	20	25	20a	99	79	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4		341
20	20	25	20a	99	79	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4		336
20	20	25	20a	99	79	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		332
20	20	25	20a	199/2	159/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		350
20	20	25	20a	199/2	159/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		1	55	G3	3		342
20	20	25	20a	199/2	159/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4		337
21	21	26	21a	100	80	2.0	0	0	4/4	2	2	1/2	1/2	1		0	48	C3	3		362
21	21	26	21a	100	80	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3		358
21	21	26	21a	100	80	2.0	0	0	4/4	1	2	1/2	1/2	1		0	60	C4	4	-0.13	354
21	21	26	21a	100	80	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4		351
21	21	26	21a	102	82	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		0	48	C3	3		363
21	21	26	21a	102	82	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4		359
21	21	26	21a	102	82	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4		355
21	21	26	21a	102	82	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4		352
21	21	26	21a	205/2	165/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		364
21	21	26	21a	103	83	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3		365
21	21	26	21a	103	83	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4		360
21	21	26	21a	103	83	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4		356
21	21	26	21a	103	83	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4		353
21	21	26	21a	207/2	167/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3		361
21	21	26	21a	207/2	167/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4		357
22	22	27	22a	104	84	0.5	0	0	4/4	2	2	1/8	1/8	1		-1	53	F3	3		384
22	22	27	22a	104	84	0.5	0	0	4/4	2	1	1/8	1/8	1		3	57	A3	3		376
22	22	27	22a	104	84	1.0	0	0	4/4	1	2	1/4	1/4	1		0	60	C4	4		371
22	22	27	22a	104	84	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4		366
22	22	27	22a	209/2	169/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		385
22	22	27	22a	209/2	169/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		1	55	G3	3		377
22	22	27	22a	105	85	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		386
22	22	27	22a	105	85	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3		378
22	22	27	22a	105	85	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4		372
22	22	27	22a	105	85	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		367
22	22	27	22a	106	86	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3		387
22	22	27	22a	106	86	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		3	57	A3	3		379
22	22	27	22a	106	86	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		4	64	E4	4		373
22	22	27	22a	106	86	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	C5	5		368
22	22	27	22a	213/2	173/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		4	64	E4	4		380
22	22	27	22a	213/2	173/2	1.0	5/8	5/8	4/4	1	2	1/4	1/4	1		1	67	G4	4		374
22	22	27	22a	213/2	173/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	B4	4		369
22	22	27	22a	107	87	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		388
22	22	27	22a	107	87	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3		381
22	22	27	22a	107	87	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		370
22	22	27	22a	215/2	175/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		2	62	D4	4		382
22	22	27	22a	215/2	175/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4		375
22	22	27	22a	431/4	351/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		0	60	C4	4		383
23	23	28	23a	108	88	2.0	0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3		399
23	23	28	23a	108	88	2.0	0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3		395
23	23	28	23a	108	88	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4		389
23	23	28	23a	108	88	2.0	0	0	4/4	1	2	1/2	1/2	1		1	67	G4	4		392
23	23	28	23a	110	90	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		4	52	E3	3		400
23	23	28	23a	110	90	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4		396
23	23	28	23a	110	90	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4		393
23	23	28	23a	110	90	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5		390
23	23	28	23a	221/2	181/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		401
23	23	28	23a	111	91	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3		402
23	23	28	23a	111	91	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		397
23	23	28	23a	111	91	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4		394
23	23	28	23a	111	91	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		391
23	23	28	23a	223/2	183/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64	E4	4		398
24	24	29	24a	112	92	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3		423
24	24	29	24a	112	92	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	65	F4	4		415
24	24	29	24a	112	92	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4		407
24	24	29	24a	112	92	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5		403
24	24	29	24a	225/2	185/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		424
24	24	29	24a	225/2	185/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	64	E4	4		416
24	24	29	24a	225/2	185/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	G4	4		408
24	24	29	24a	113	93	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3		425
24	24	29	24a	113	93	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		417
24	24	29	24a	113	93	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4		409
24	24	29	24a	113	93	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		404
24	24	29	24a	227/2	187/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4		418
24	24	29	24a	227/2	187/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		410
