mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
5	3	5	3a	11	11	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	56	8.62	9.26
5	3	5	3a	11	11	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	52	8.62	9.26
5	3	5	3a	11	11	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	47	8.62	9.26
5	3	5	3a	11	11	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	42	8.62	9.26
5	3	5	3a	12	12	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	57	9.26	10.1
5	3	5	3a	12	12	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	48	9.26	10.1
5	3	5	3a	12	12	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	53	9.26	10.1
5	3	5	3a	12	12	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	43	9.26	9.6
5	3	5	3a	25/2	25/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	44	9.6	10.1
6	4	6	4a	13	13	1.0		0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	68	10.1	10.64
6	4	6	4a	13	13	0.5		0	0	4/4	1	2	1/8	1/8	1		0	60	C4	4	61	10.1	10.5
6	4	6	4a	13	13	1.0		0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	65	10.1	10.64
6	4	6	4a	13	13	1.0		0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	58	10.1	10.64
6	4	6	4a	27/2	27/2	1.0		1/8	1/8	4/4	1	2	1/4	1/4	1		-1	65	F4	4	62	10.5	11.02
6	4	6	4a	14	14	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	69	10.64	11.52
6	4	6	4a	14	14	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	66	10.64	11.52
6	4	6	4a	14	14	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	59	10.64	11.52
6	4	6	4a	29/2	29/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	63	11.02	11.52
6	4	6	4a	15	15	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	70	11.52	12.46
6	4	6	4a	15	15	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	67	11.52	12.46
6	4	6	4a	15	15	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	C4	4	64	11.52	12.46
6	4	6	4a	15	15	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	60	11.52	12.46
7	4	7	4a	16	16	1.0	1	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	74	12.46	13.3
7	4	7	4a	16	16	1.0	1	0	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	73	12.46	13.3
7	4	7	4a	16	16	1.0	1	0	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	72	12.46	13.3
7	4	7	4a	16	16	1.0	1	0	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	71	12.46	13.3
8	1	8	1b	17	17	1.0	1	0	0	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	82	13.3	13.88
8	1	8	1b	17	17	0.5	1	0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	79	13.3	13.64
8	1	8	1b	17	17	1.0	1	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	77	13.3	13.88
8	1	8	1b	17	17	1.0	1	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	75	13.3	13.88
8	1	8	1b	35/2	35/2	0.5	1	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	80	13.64	13.88
8	1	8	1b	18	18	1.0	1	1/4	1/4	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	83	13.88	14.56
8	1	8	1b	18	18	1.0	1	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	81	13.88	14.56
8	1	8	1b	18	18	1.0	1	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	78	13.88	14.56
8	1	8	1b	18	18	1.0	1	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	76	13.88	14.56
3	1	9	1b	19	3	1.0		0	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	21	14.56	15.18
3	1	9	1b	19	3	0.5		0	1/2	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	18	14.56	14.86
3	1	9	1b	19	3	1.0		0	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	16	14.56	15.18
3	1	9	1b	19	3	1.0		0	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	14	14.56	15.18
3	1	9	1b	39/2	7/2	0.5		1/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	19	14.86	15.18
3	1	9	1b	20	4	1.0		1/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	22	15.18	15.88
