mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	1	1	1a	0	0	1.5	0	0	4/4	2	2	3/8	1/4	3/2		2	50	D3	3	15	1.0	2.34
1	1	1	1a	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	9	1.0	2.0
1	1	1	1a	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	4	1.0	2.0
1	1	1	1a	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	0	1.0	2.0
1	1	1	1a	1	1	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-1	65	F4	4	10	2.0	2.34
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	1	2.0	2.62
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	5	2.0	2.62
1	1	1	1a	3/2	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	16	2.34	2.62
1	1	1	1a	3/2	3/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	11	2.34	2.62
1	1	1	1a	2	2	1.5	1/2	1/2	4/4	2	2	3/8	1/4	3/2		5	47	B2	2	17	2.62	3.58
1	1	1	1a	2	2	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	62	D4	4	12	2.62	3.04
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	6	2.62	3.26
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	2	2.62	3.26
1	1	1	1a	5/2	5/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	13	3.04	3.26
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	14	3.26	3.88
1	1	1	1a	3	3	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		8	68	G#4	4	7	3.26	3.58
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	3	3.26	3.88
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	18	3.58	3.88
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	8	3.58	3.88
2	2	2	2a	4	4	1.0	0	0	4/4	2	2	1/4	1/4	1		8	44	G#2	2	32	3.88	4.62
2	2	2	2a	4	4	1.5	0	0	4/4	2	1	3/8	1/4	3/2		5	59	B3	3	28	3.88	4.78
2	2	2	2a	4	4	0.5	0	0	4/4	1	2	1/8	1/8	1		5	71	B4	4	22	3.88	4.12
2	2	2	2a	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	19	3.88	4.62
2	2	2	2a	9/2	9/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	23	4.12	4.62
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	33	4.62	5.28
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	24	4.62	5.28
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	20	4.62	5.28
2	2	2	2a	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	29	4.78	5.28
2	2	2	2a	6	6	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	34	5.28	6.0
2	2	2	2a	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	30	5.28	6.0
2	2	2	2a	6	6	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	25	5.28	6.0
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	21	5.28	6.9
2	2	2	2a	7	7	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	35	6.0	6.9
2	2	2	2a	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		8	56	G#3	3	31	6.0	6.9
2	2	2	2a	7	7	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	26	6.0	6.4
2	2	2	2a	15/2	15/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	27	6.4	6.9
