mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	1	1	1a	0	0	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	12	0.48	1.4
1	1	1	1a	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	8	0.48	1.4
1	1	1	1a	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	4	0.48	1.4
1	1	1	1a	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	0	0.48	1.4
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	13	1.4	2.4
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	9	1.4	2.4
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	5	1.4	2.4
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	1	1.4	2.4
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	14	2.4	3.1
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	10	2.4	3.1
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	6	2.4	3.1
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	2	2.4	3.1
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	15	3.1	3.82
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		8	56	G#3	3	11	3.1	3.82
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	7	3.1	3.82
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	3	3.1	3.82
2	2	2	2a	4	4	0.5	0	0	4/4	2	2	1/8	1/8	1		3	57	A3	3	25	3.82	4.04
2	2	2	2a	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	22	3.82	4.38
2	2	2	2a	4	4	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	19	3.82	4.38
2	2	2	2a	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	16	3.82	4.38
2	2	2	2a	9/2	9/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	26	4.04	4.38
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	27	4.38	5.28
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	23	4.38	5.28
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	20	4.38	5.28
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		9	75	D#5	5	17	4.38	5.28
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	28	5.28	6.876153846153846
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		5	59	B3	3	24	5.28	6.876153846153846
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		8	68	G#4	4	21	5.28	6.876153846153846
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5	18	5.28	6.876153846153846
3	3	3	3a	8	8	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	43	6.876153846153846	7.28
3	3	3	3a	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	38	6.876153846153846	7.58
3	3	3	3a	8	8	1.0	0	0	4/4	1	2	1/4	1/4	1		8	68	G#4	4	33	6.876153846153846	7.58
3	3	3	3a	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	29	6.876153846153846	7.58
3	3	3	3a	17/2	17/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	44	7.28	7.58
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	45	7.58	8.2
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	39	7.58	8.2
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	34	7.58	8.2
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	30	7.58	8.2
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	46	8.2	8.92
3	3	3	3a	10	10	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	62	D4	4	40	8.2	8.62
3	3	3	3a	10	10	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		3	69	A4	4	35	8.2	8.62
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	31	8.2	8.92
3	3	3	3a	21/2	21/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	41	8.62	8.92
3	3	3	3a	21/2	21/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	36	8.62	8.92
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	47	8.92	9.64
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	42	8.92	9.64
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	37	8.92	9.64
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	32	8.92	9.64
4	4	4	4a	12	12	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	59	9.64	10.56
4	4	4	4a	12	12	0.5	0	0	4/4	2	1	1/8	1/8	1		6	66	F#4	4	53	9.64	10.12
4	4	4	4a	12	12	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	50	9.64	10.56
4	4	4	4a	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	48	9.64	11.26
4	4	4	4a	25/2	25/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	54	10.12	10.56
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	60	10.56	11.26
4	4	4	4a	13	13	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	55	10.56	10.9
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	51	10.56	11.26
4	4	4	4a	27/2	27/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		4	64	E4	4	56	10.9	11.01
4	4	4	4a	55/4	55/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		2	62	D4	4	57	11.01	11.26
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		3	45	A2	2	61	11.26	13.22
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	61	C#4	4	58	11.26	13.22
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	52	11.26	13.22
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	49	11.26	13.22
5	5	5	5a	16	16	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	75	13.22	14.1
5	5	5	5a	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	70	13.22	14.1
5	5	5	5a	16	16	1.0	0	0	4/4	1	2	1/4	1/4	1		8	68	G#4	4	66	13.22	14.1
5	5	5	5a	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	62	13.22	14.1
5	5	5	5a	17	17	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	76	14.1	14.6
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	71	14.1	14.86
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	67	14.1	14.86
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	63	14.1	14.86
5	5	5	5a	35/2	35/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	77	14.6	14.86
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		7	49	C#3	3	78	14.86	15.52
5	5	5	5a	18	18	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	72	14.86	15.32
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		8	68	G#4	4	68	14.86	15.52
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	64	14.86	15.52
5	5	5	5a	37/2	37/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	73	15.32	15.52
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	79	15.52	16.22
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	74	15.52	16.22
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	69	15.52	16.22
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	65	15.52	16.22
6	6	6	6a	20	20	0.5	0	0	4/4	2	2	1/8	1/8	1		5	47	B2	2	90	16.22	16.54
6	6	6	6a	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	86	16.22	16.92
6	6	6	6a	20	20	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	83	16.22	16.92
6	6	6	6a	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	80	16.22	16.92
6	6	6	6a	41/2	41/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	91	16.54	16.92
6	6	6	6a	21	21	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	92	16.92	17.28
6	6	6	6a	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	87	16.92	17.66
6	6	6	6a	21	21	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	84	16.92	17.66
6	6	6	6a	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	81	16.92	17.66
6	6	6	6a	43/2	43/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	93	17.28	17.66
6	6	6	6a	22	22	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		6	54	F#3	3	94	17.66	19.56
6	6	6	6a	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	88	17.66	18.66
6	6	6	6a	22	22	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		6	66	F#4	4	85	17.66	19.56
6	6	6	6a	22	22	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5	82	17.66	19.56
6	6	6	6a	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	89	18.66	19.56
7	7	7	7a	24	24	0.5	0	0	4/4	2	2	1/8	1/8	1		5	59	B3	3	110	19.56	20.06
7	7	7	7a	24	24	0.5	0	0	4/4	2	1	1/8	1/8	1		9	63	D#4	4	104	19.56	20.06
