mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	9	9	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	54										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	55										
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	56	wel-	Le-	hö-							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	57	-chem	-ben	-ren							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	58	un-	selbst	was							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	59	-ser	heut	des							
5	4	13	13	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	60										
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	61										
5	4	14	14	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	62										
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	63										
5	4	15	15	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	64										
5	4	31/2	31/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	65										
5	4	16	16	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	66										
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	67										
5	4	13	13	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	68										
5	4	55/4	55/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	69										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	70										
5	4	15	15	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	71										
5	4	63/4	63/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	72										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	73										
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	74										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	75										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	76										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	77										
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	78	Hei-	an	To-							
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	79	-land	dem	-des							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	80	gro-	Kreu-	Ur-							
6	5	20	20	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	81	-sse	-ze	-sach							
6	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	82										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	83										
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	84										
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	85										
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	86										
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	87										
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	88										
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	89										
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	90										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	91										
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	92										
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	93										
6	5	17	17	0.0	0	0	StaffText	4/4	2	2	0							*) In der B. A. nur die 1. Str. Vergl. No. 303.						
6	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	94										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	95										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	96										
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	97										
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	98										
6	5	20	20	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	99										
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	100										
7	6	21	21	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	101	Plag'	hängt	sei,							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	102	er-	und	und							
7	6	21	21	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	103										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	104										
7	6	21	21	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	105										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	106										
7	6	21	21	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	107										
7	6	24	24	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	108										
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	109										
8	7	25	25	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	110	-lit-	sich	tra-							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	111	-ten	für	-ge							
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	112	hat,	uns	drob							
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	113	und	zum	von							
8	7	25	25	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	114										
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	115										
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	116										
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	117										
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	118										
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	119										
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	120										
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	121										
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	122										
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	123										
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	124										
8	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	125										
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	126										
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	127										
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	128										
9	8	29	29	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	129	todt	Sün-	Her-							
9	8	30	30	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	130	dar-	-den-	-zen							
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	131										
9	8	31	31	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	132	-nie-	-o-	Leid							
9	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	133	-der	-pfer	und							
9	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	134										
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	135										
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	136										
9	8	31	31	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	137										
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	138										
9	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	139										
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	140										
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	141										
9	8	32	32	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	142										
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	143										
9	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	144										
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	145										
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	146										
9	8	31	31	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	147										
9	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	148										
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	149										
10	9	33	33	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	150	lag.	schenkt.	Reu.							
10	9	33	33	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	151										
10	9	33	33	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	152										
10	9	33	33	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	153										
