mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	18													
2	1	2	2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	19	kommt	Je-											
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	20													
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	21	mir	-su,											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	22	ein	mein											
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	23													
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	24													
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	25													
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	26													
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	27													
2	1	1	1	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	28													
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	29													
2	1	2	2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	30													
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	31													
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	32													
2	1	4	4	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	33													
2	1	1	1	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	34													
2	1	2	2	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	35													
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	36													
2	1	3	3	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	37													
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	38													
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	39													
2	1	1	1	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	40													
2	1	2	2	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	41													
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	42													
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	43													
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	44													
2	1	1	1	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	45													
2	1	2	2	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	46													
2	1	3	3	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	47													
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	48													
2	1	4	4	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	49													
2	1	1	1	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	50													
2	1	2	2	0.5	1/4	1/4	Chord	4/4	6	1	1/8	1/8	1	51													
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	6	1	1/8	1/8	1	52													
2	1	3	3	0.5	1/2	1/2	Chord	4/4	6	1	1/8	1/8	1	53													
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	6	1	1/8	1/8	1	54													
2	1	4	4	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	55													
2	1	1	1	0.0	0	0	FiguredBass	4/4	7	1	0													1/8	6		
2	1	1	1	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	56													
2	1	3/2	3/2	0.0	1/8	1/8	FiguredBass	4/4	7	1	0													1/8	5		
2	1	2	2	0.5	1/4	1/4	Chord	4/4	7	1	1/8	1/8	1	57													
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	7	1	1/8	1/8	1	58													
2	1	3	3	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	59													
2	1	4	4	0.0	3/4	3/4	FiguredBass	4/4	7	1	0													1/4	6		
2	1	4	4	1.0	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	60													
2	1	1	1	1.0	0	0	Chord	4/4	8	1	1/4	1/4	1	61													
2	1	2	2	0.5	1/4	1/4	Chord	4/4	8	1	1/8	1/8	1	62													
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	8	1	1/8	1/8	1	63													
2	1	3	3	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	64													
2	1	4	4	1.0	3/4	3/4	Chord	4/4	8	1	1/4	1/4	1	65													
2	1	1	1	1.0	0	0	Chord	4/4	9	1	1/4	1/4	1	66													
2	1	2	2	0.5	1/4	1/4	Chord	4/4	9	1	1/8	1/8	1	67													
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	9	1	1/8	1/8	1	68													
2	1	3	3	1.0	1/2	1/2	Chord	4/4	9	1	1/4	1/4	1	69													
2	1	4	4	1.0	3/4	3/4	Chord	4/4	9	1	1/4	1/4	1	70													
3	2	5	5	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	71													
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	72													
3	2	6	6	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	73													
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	74													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	75													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	76													
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	77	Freu-	trau-											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	78	-den-	-tes											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	79	-schein,	Gut,											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	80	wenn	dein											
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	81													
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	82													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	83													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	84													
3	2	5	5	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	85													
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	86													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	87													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	88													
3	2	5	5	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	89													0
3	2	11/2	11/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16	1/16	1	90													0
3	2	23/4	23/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	91													
3	2	6	6	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	92													
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	93													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	94													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	95													
3	2	5	5	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	96													
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	97													
3	2	6	6	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	98													
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	99													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	100													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	101													
3	2	5	5	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	102													
3	2	6	6	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	103													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	104													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	105													
3	2	5	5	0.5	0	0	Chord	4/4	6	1	1/8	1/8	1	106													
3	2	11/2	11/2	0.25	1/8	1/8	Chord	4/4	6	1	1/16	1/16	1	107													
3	2	23/4	23/4	0.25	3/16	3/16	Chord	4/4	6	1	1/16	1/16	1	108													
3	2	6	6	0.5	1/4	1/4	Chord	4/4	6	1	1/8	1/8	1	109													
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	6	1	1/8	1/8	1	110													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	111													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	112													
3	2	5	5	0.0	0	0	FiguredBass	4/4	7	1	0													1/8	9		
3	2	5	5	0.5	0	0	Chord	4/4	7	1	1/8	1/8	1	113													
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	7	1	1/8	1/8	1	114													
3	2	6	6	0.0	1/4	1/4	FiguredBass	4/4	7	1	0													1/8	6		
3	2	6	6	0.5	1/4	1/4	Chord	4/4	7	1	1/8	1/8	1	115													
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	7	1	1/8	1/8	1	116													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	117													
3	2	8	8	0.0	3/4	3/4	FiguredBass	4/4	7	1	0													1/4	6		
3	2	8	8	1.0	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	118													
3	2	5	5	0.5	0	0	Chord	4/4	8	1	1/8	1/8	1	119													
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	8	1	1/8	1/8	1	120													
3	2	6	6	0.5	1/4	1/4	Chord	4/4	8	1	1/8	1/8	1	121													
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	8	1	1/8	1/8	1	122													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	123													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	8	1	1/4	1/4	1	124													
3	2	5	5	0.5	0	0	Chord	4/4	9	1	1/8	1/8	1	125													
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	9	1	1/8	1/8	1	126													
3	2	6	6	0.5	1/4	1/4	Chord	4/4	9	1	1/8	1/8	1	127													
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	9	1	1/8	1/8	1	128													
3	2	7	7	1.0	1/2	1/2	Chord	4/4	9	1	1/4	1/4	1	129													
3	2	8	8	1.0	3/4	3/4	Chord	4/4	9	1	1/4	1/4	1	130													
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	131													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	132													
4	3	11	11	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0				
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	133													
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	134													
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	135													
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	136													
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	137	du	Wort,											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	138	mit	dein											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	139	dei-	Geist,											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	140	-nen	dein											
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	141													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	142													
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	143													
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	144													
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	145													
4	3	9	9	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	146													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	147													
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	148													
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	149													
