mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
6	5	18	18	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	273													
6	5	19	19	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	274													
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	275													
6	5	20	20	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	276													
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	277													
6	5	17	17	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	278													
6	5	18	18	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	279													
6	5	19	19	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	280													
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	281													
6	5	20	20	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	282													
6	5	17	17	0.5	0	0	Chord	4/4	6	1	1/8	1/8	1	283													
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	6	1	1/8	1/8	1	284													
6	5	18	18	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	285													
6	5	19	19	0.5	1/2	1/2	Chord	4/4	6	1	1/8	1/8	1	286													
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	6	1	1/8	1/8	1	287													
6	5	20	20	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	288													
6	5	17	17	0.0	0	0	FiguredBass	4/4	7	1	0													1/8	5		
6	5	17	17	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	289													
6	5	35/2	35/2	0.0	1/8	1/8	FiguredBass	4/4	7	1	0													1/8	6		
6	5	18	18	0.0	1/4	1/4	FiguredBass	4/4	7	1	0													1/8	5		
6	5	18	18	1.0	1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	290													
6	5	37/2	37/2	0.0	3/8	3/8	FiguredBass	4/4	7	1	0													1/8	6		
6	5	19	19	0.0	1/2	1/2	FiguredBass	4/4	7	1	0													1/8	6	5	
6	5	19	19	0.5	1/2	1/2	Chord	4/4	7	1	1/8	1/8	1	291													
6	5	39/2	39/2	0.0	5/8	5/8	FiguredBass	4/4	7	1	0													1/8	6	5	
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	7	1	1/8	1/8	1	292													
6	5	20	20	0.5	3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	293													
6	5	41/2	41/2	0.0	7/8	7/8	FiguredBass	4/4	7	1	0													1/8	7	5	
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	294													
6	5	17	17	1.0	0	0	Chord	4/4	8	1	1/4	1/4	1	295													
6	5	18	18	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	296													
6	5	19	19	0.5	1/2	1/2	Chord	4/4	8	1	1/8	1/8	1	297													
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	8	1	1/8	1/8	1	298													
6	5	20	20	0.5	3/4	3/4	Chord	4/4	8	1	1/8	1/8	1	299													
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	8	1	1/8	1/8	1	300													
6	5	17	17	1.0	0	0	Chord	4/4	9	1	1/4	1/4	1	301													
6	5	18	18	1.0	1/4	1/4	Chord	4/4	9	1	1/4	1/4	1	302													
6	5	19	19	0.5	1/2	1/2	Chord	4/4	9	1	1/8	1/8	1	303													
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	9	1	1/8	1/8	1	304													
6	5	20	20	0.5	3/4	3/4	Chord	4/4	9	1	1/8	1/8	1	305													
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	9	1	1/8	1/8	1	306													
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0				
7	6	21	21	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	307													
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	308													
7	6	22	22	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0				
7	6	22	22	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	309													
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	310													
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	311													
7	6	21	21	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	312	-bli-	-qui-	ornamentTrill										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	313	-cken.	-cken.											
7	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	314													1
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	315													
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	316													
7	6	21	21	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	317			ornamentTrill										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	318													
7	6	21	21	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	319													
7	6	23	23	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	320													
7	6	21	21	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	321													
7	6	23	23	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	322													
7	6	21	21	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	323													
7	6	22	22	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	324													
7	6	23	23	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	325													
7	6	21	21	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	326													
7	6	23	23	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	327													
7	6	21	21	0.0	0	0	FiguredBass	4/4	7	1	0													1/4	4		
7	6	21	21	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	328													
7	6	22	22	0.0	1/4	1/4	FiguredBass	4/4	7	1	0													1/4	3		
7	6	23	23	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	329													
7	6	21	21	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	330													
7	6	23	23	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	331													
7	6	21	21	2.0	0	0	Chord	4/4	9	1	1/2	1/2	1	332													
7	6	23	23	1.0	1/2	1/2	Chord	4/4	9	1	1/4	1/4	1	333													
9	7	25	25	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	334													
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	335													
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	336													
9	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	337													
9	7	55/2	55/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	338													
9	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	339													
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	340													
9	7	25	25	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	341	Nimm												
9	7	27	27	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	342	mich												
9	7	25	25	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	343													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	344													
9	7	25	25	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	345													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	346													
9	7	25	25	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	347													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	348													
9	7	25	25	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	349													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	350													
9	7	25	25	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	351													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	352													
9	7	25	25	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	353													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	354													
9	7	25	25	0.0	0	0	FiguredBass	4/4	7	1	0													1/2	6		
9	7	25	25	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	355													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	356													
9	7	25	25	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	357													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	358													
9	7	25	25	2.0	0	0	Chord	4/4	9	1	1/2	1/2	1	359													
9	7	27	27	2.0	1/2	1/2	Chord	4/4	9	1	1/2	1/2	1	360													
10	8	29	29	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	361													
10	8	59/2	59/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	362													
10	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	363													
10	8	30	30	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	364													
10	8	121/4	121/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	365													
10	8	61/2	61/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	366													
10	8	123/4	123/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	367													
10	8	31	31	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	368													
10	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	369													
10	8	32	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	370													
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	371													
10	8	29	29	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	372	freund-												
10	8	31	31	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	373	-lich												
10	8	29	29	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	374													
10	8	31	31	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	375													
10	8	29	29	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	376													
10	8	31	31	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	377													
10	8	29	29	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	378													
10	8	31	31	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	379													
10	8	29	29	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	380													
10	8	31	31	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	381													
10	8	29	29	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	382													
10	8	31	31	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	383													
10	8	29	29	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	384													
10	8	31	31	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	385													
10	8	29	29	0.0	0	0	FiguredBass	4/4	7	1	0													1/4	4		
10	8	29	29	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	386													
10	8	30	30	0.0	1/4	1/4	FiguredBass	4/4	7	1	0													1/4	3		
10	8	31	31	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	387													
10	8	29	29	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	388													
10	8	31	31	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	389													
10	8	29	29	2.0	0	0	Chord	4/4	9	1	1/2	1/2	1	390													
10	8	31	31	2.0	1/2	1/2	Chord	4/4	9	1	1/2	1/2	1	391													
11	9	33	33	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0				
11	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	392													
11	9	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	393													
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	394													
11	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	395													
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	396													
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	397													
11	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	398	in												
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	399	dein'												
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	400	Ar-												
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	401	-me,												
11	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	402													
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	403													
11	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	404													
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	405													
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	406													
11	9	33	33	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	407													
11	9	34	34	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	408													
11	9	35	35	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	409													
11	9	36	36	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	410													
11	9	33	33	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	411													
11	9	34	34	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	412													
11	9	35	35	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	413													
11	9	36	36	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	414													
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	415													
11	9	33	33	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	416													
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	417													
11	9	34	34	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	418													
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	419													
11	9	35	35	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	420													
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	421													
11	9	36	36	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	422													
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	423													
11	9	33	33	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	424													
11	9	34	34	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	425													
11	9	35	35	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	426													
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	427													
11	9	36	36	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	428													
11	9	33	33	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	429													
11	9	34	34	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	430													
11	9	35	35	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	431													
11	9	36	36	0.5	3/4	3/4	Chord	4/4	6	1	1/8	1/8	1	432													
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	6	1	1/8	1/8	1	433													
11	9	33	33	0.5	0	0	Chord	4/4	7	1	1/8	1/8	1	434													
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	7	1	1/8	1/8	1	435													
11	9	34	34	0.0	1/4	1/4	FiguredBass	4/4	7	1	0													1/8	6		
11	9	34	34	0.5	1/4	1/4	Chord	4/4	7	1	1/8	1/8	1	436													
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	7	1	1/8	1/8	1	437													
11	9	35	35	0.5	1/2	1/2	Chord	4/4	7	1	1/8	1/8	1	438													
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	7	1	1/8	1/8	1	439													
11	9	36	36	0.0	3/4	3/4	FiguredBass	4/4	7	1	0													1/8	6		
11	9	36	36	0.5	3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	440													
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	441													
11	9	33	33	0.5	0	0	Chord	4/4	8	1	1/8	1/8	1	442													
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	8	1	1/8	1/8	1	443													
11	9	34	34	0.5	1/4	1/4	Chord	4/4	8	1	1/8	1/8	1	444													
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	8	1	1/8	1/8	1	445													
11	9	35	35	0.5	1/2	1/2	Chord	4/4	8	1	1/8	1/8	1	446													
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	8	1	1/8	1/8	1	447													
11	9	36	36	0.5	3/4	3/4	Chord	4/4	8	1	1/8	1/8	1	448													
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	8	1	1/8	1/8	1	449													
11	9	33	33	0.5	0	0	Chord	4/4	9	1	1/8	1/8	1	450													
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	9	1	1/8	1/8	1	451													
11	9	34	34	0.5	1/4	1/4	Chord	4/4	9	1	1/8	1/8	1	452													
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	9	1	1/8	1/8	1	453													
11	9	35	35	0.5	1/2	1/2	Chord	4/4	9	1	1/8	1/8	1	454													
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	9	1	1/8	1/8	1	455													
11	9	36	36	0.5	3/4	3/4	Chord	4/4	9	1	1/8	1/8	1	456													
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	9	1	1/8	1/8	1	457													
12	10	37	37	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	458													
12	10	75/2	75/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	459													
12	10	151/4	151/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	460													
12	10	38	38	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	461													2
12	10	153/4	153/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	462													2
12	10	77/2	77/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	463													2
12	10	155/4	155/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	464													
12	10	39	39	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0				
12	10	39	39	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	465													
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	466													
12	10	40	40	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	467													
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	468													
12	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	469	dass												
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	470	ich												
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	471	war-												
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	472	-me												
12	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	473													
12	10	38	38	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	474													
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	475													
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	476													
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	477													
12	10	37	37	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	478													
12	10	38	38	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	479													
12	10	39	39	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	480													
12	10	40	40	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	481													
12	10	37	37	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	482													
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	483													
12	10	38	38	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	484													
12	10	39	39	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	485													
12	10	40	40	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	486													
12	10	37	37	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	487													
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	488													
12	10	38	38	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	489													
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	490													
12	10	39	39	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	491													
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	492													
12	10	40	40	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	493													
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	494													
12	10	37	37	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	495													
12	10	38	38	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	496													
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	497													
12	10	39	39	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	498													
12	10	40	40	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	499													
12	10	37	37	0.5	0	0	Chord	4/4	6	1	1/8	1/8	1	500													
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	6	1	1/8	1/8	1	501													
12	10	38	38	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	502													
12	10	39	39	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	503													
12	10	40	40	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	504													
12	10	37	37	0.5	0	0	Chord	4/4	7	1	1/8	1/8	1	505													
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	7	1	1/8	1/8	1	506													
12	10	38	38	0.0	1/4	1/4	FiguredBass	4/4	7	1	0													1/8	6		
12	10	38	38	0.5	1/4	1/4	Chord	4/4	7	1	1/8	1/8	1	507													
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	7	1	1/8	1/8	1	508													
12	10	39	39	0.5	1/2	1/2	Chord	4/4	7	1	1/8	1/8	1	509													
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	7	1	1/8	1/8	1	510													
12	10	40	40	0.0	3/4	3/4	FiguredBass	4/4	7	1	0													1/8	7	5	
12	10	40	40	0.5	3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	511													
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	512													
12	10	37	37	0.5	0	0	Chord	4/4	8	1	1/8	1/8	1	513													
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	8	1	1/8	1/8	1	514													
12	10	38	38	0.5	1/4	1/4	Chord	4/4	8	1	1/8	1/8	1	515													
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	8	1	1/8	1/8	1	516													
12	10	39	39	0.5	1/2	1/2	Chord	4/4	8	1	1/8	1/8	1	517													
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	8	1	1/8	1/8	1	518													
12	10	40	40	0.5	3/4	3/4	Chord	4/4	8	1	1/8	1/8	1	519													
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	8	1	1/8	1/8	1	520													
12	10	37	37	0.5	0	0	Chord	4/4	9	1	1/8	1/8	1	521													
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	9	1	1/8	1/8	1	522													
12	10	38	38	0.5	1/4	1/4	Chord	4/4	9	1	1/8	1/8	1	523													
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	9	1	1/8	1/8	1	524													
12	10	39	39	0.5	1/2	1/2	Chord	4/4	9	1	1/8	1/8	1	525													
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	9	1	1/8	1/8	1	526													
12	10	40	40	0.5	3/4	3/4	Chord	4/4	9	1	1/8	1/8	1	527													
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	9	1	1/8	1/8	1	528													
13	11	41	41	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	529													
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	530													
13	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	531													
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	532													
13	11	43	43	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0				
13	11	43	43	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	533													
13	11	87/2	87/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	534													
13	11	89/2	89/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	535													
13	11	179/4	179/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	536													
13	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	537	werd'												
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	538	von												
13	11	43	43	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	539	Gna-												
13	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	540													
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	541													
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	542													3
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	543													
13	11	41	41	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	544													
13	11	42	42	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	545													
13	11	43	43	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	546													
13	11	41	41	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	547													
13	11	42	42	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	548													
13	11	43	43	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	549													4
13	11	44	44	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	550													4
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	551													
13	11	41	41	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	552													
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	553													
