mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	79									
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	80									
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	81									
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	82									
4	3	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	83									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	84									
4	3	11	11	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	85									
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	86									
4	3	12	12	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	87									
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	88									
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0	
5	4	13	13	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	89	Gna-	Scha-							0
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	90									0
5	4	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0	
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	91									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	92	-de,	-de!							
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	93									1
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	94									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	95									
5	4	13	13	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	96									2
5	4	27/2	27/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	97									2
5	4	55/4	55/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	98									2
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	99									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	100									
5	4	13	13	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	101									3
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	102									3
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	103									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	104									
5	4	13	13	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	105									4
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	106									4
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	107									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	108									
6	4	16	16	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
6	4	16	16	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	109		Ein							
6	4	16	16	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	110									
6	4	33/2	33/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	111									
6	4	16	16	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	112									
6	4	16	16	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	113									
6	4	16	16	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	114									
7	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	115		Wohl-							
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	116		-ge-							
7	5	19	19	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
7	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	117		-fall'n							
7	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	118		Gott							
7	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	119									
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	120									
7	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	121									
7	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	122									
7	5	20	20	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	123									
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	124									
7	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	125									
7	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	126									
7	5	19	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	127									
7	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	128									
7	5	20	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	129									
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	130									
7	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	131									
7	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	132									
7	5	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	133									
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	134									
7	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	135									
7	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	136									
7	5	17	17	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	137									
7	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	138									
7	5	18	18	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	139									
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	140									
7	5	19	19	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	141									
7	5	20	20	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	142									
7	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	143									
