mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0					𝅘𝅥=66.23	66.0	𝅘𝅥	66.23	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	So						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1							
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	2							
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	3							
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	4	sei						
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	5	nun,						
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	6	See-						
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	7							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	8	-le,						
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	9							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	10							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	11							
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	12							
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	13							
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	14							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	15							
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	16							
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	17							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	18							
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	19							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	20							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	21							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	22							
3	2	5	5	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	23	dei-						
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	24	-ne,						
3	2	8	8	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	25	und						
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	26							
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	27							0
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	28							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	29							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	30							
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	31							1
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	32							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	33							
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	34							
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	35							
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	36							2
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	37							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	38							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	39							
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	40	trau-						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	41	-e						
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	42	dem						
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	43	al-						
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	44							
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	45							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	46							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	47							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	48							
4	3	9	9	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	49							
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	50							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	51							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	52							
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	53							
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	54							
4	3	9	9	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	55							
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	56							
4	3	10	10	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	57							
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	58							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	59							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	60							
5	4	13	13	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	61	-lei-						
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	62	-ne,						
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	63	der						
5	4	13	13	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	64							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	65							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	66							
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	67							3
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	68							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	69							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	70							
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	71							4
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	72							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	73							
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	74							
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	75							
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	76	dich						
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	77	er-						
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	78	-schaf-						5
6	5	39/2	39/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	79							5
6	5	79/4	79/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	80							
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	81	-fen						
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	82							
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	83							
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	84							
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	85							
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	86							
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	87							
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	88							
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	89							
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	90							
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	91							
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	92							
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	93							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	94							
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	95							
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	96							
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	97							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	98							
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	99							
7	6	21	21	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	100	hat,						
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	101	es						
7	6	21	21	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	102							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	103							
7	6	21	21	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	104							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	105							
7	6	21	21	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	106							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	107							
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	108	ge-						
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	109	-he						
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	110	wie						
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	111							
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	112	es						
8	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	113							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	114							
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	115							
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	116							
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	117							
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	118							
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	119							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	120							
8	7	27	27	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	121							
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	122							
