mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
7	6	16	16	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	54										7
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	55										
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	56										
8	7	19	19	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	57	Din-	ra-	Hüt-							
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	58										8
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	59										8
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	60										8
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	61										
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	62										9
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	63										9
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	64										
8	7	19	19	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	65										
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	66	-ge,	-ten;	-te,	articTenutoStaccatoAbove						
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	67	dem	den	dein							
9	8	22	22	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	68				articTenutoStaccatoBelow						
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	69										
9	8	22	22	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	70				articTenutoStaccatoAbove						
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	71										
9	8	22	22	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	72				articTenutoStaccatoBelow						
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	73										
10	9	25	25	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	74	Ge-	An-	Wort							
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	75	-ber	-fang,	sei							
10	9	25	25	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	76										
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	77										
10	9	25	25	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	78										
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	79										
10	9	25	25	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	80										
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	81										
11	10	28	28	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	82	al-	Mitt'l	mei-							
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	83	-ler	und	-ne							
11	10	28	28	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	84										
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	85										
11	10	28	28	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	86										
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	87										
11	10	28	28	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	88										
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	89										
12	11	31	31	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	90	Gü-	En-	Spei-							
12	11	31	31	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	91										10
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	92										10
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	93										10
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	94										10
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	95										
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	96										11
12	11	32	32	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	97										11
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	98										11
12	11	33	33	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	99										11
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	100										
12	11	31	31	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	101										
13	12	34	34	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	102	-ter,	-de,	-se,							
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	103	dem	ach	bis							
13	12	34	34	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	104										
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	105										
13	12	34	34	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	106										
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	107										
13	12	34	34	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	108										
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	109										
14	13	37	37	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	110	from-	Herr,	ich							
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	111	-men	zum	gen							
14	13	37	37	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	112										12
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	113										
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	114										
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	115										13
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	116										
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	117										
14	13	37	37	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	118										14
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	119										
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	120										
15	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	121	Men-	Be-	Him-							15
15	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	122										
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	123										
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	124	-schen	-sten	-mel							16
15	14	40	40	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	125										17
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	126										
15	14	42	42	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	127										
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	128										
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	129										18
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	130										
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	131										
15	14	40	40	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	132										19
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	133										
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	134										
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	135	Hü-	wen-	rei-							
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	136										
16	15	44	44	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	137										20
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	138										
16	15	43	43	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	139										21
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	140										21
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	141										
16	15	43	43	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	142										22
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	143										
16	15	43	43	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	144										23
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	145										23
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	146										
17	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	147	-ter.	-de.	-se.							
17	16	46	46	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	148										
17	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	149										
17	16	46	46	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	150										
