mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
3	2	5	5	1.0	1/4	1/4	Chord	3/4	11	2	1/4	1/4	1	70													3
3	2	6	6	1.0	1/2	1/2	Chord	3/4	11	2	1/4	1/4	1	71													
3	2	4	4	0.0	0	0	FiguredBass	3/4	12	1	0												1/8	9			
3	2	4	4	0.5	0	0	Chord	3/4	12	1	1/8	1/8	1	72													
3	2	9/2	9/2	0.5	1/8	1/8	Chord	3/4	12	1	1/8	1/8	1	73													
3	2	5	5	0.0	1/4	1/4	FiguredBass	3/4	12	1	0												1/8	8			
3	2	5	5	1.0	1/4	1/4	Chord	3/4	12	1	1/4	1/4	1	74													
3	2	11/2	11/2	0.0	3/8	3/8	FiguredBass	3/4	12	1	0												1/8	7			
3	2	6	6	0.0	1/2	1/2	FiguredBass	3/4	12	1	0												1/4	5			
3	2	6	6	1.0	1/2	1/2	Chord	3/4	12	1	1/4	1/4	1	75													
3	2	4	4	0.5	0	0	Chord	3/4	13	1	1/8	1/8	1	76													
3	2	9/2	9/2	0.5	1/8	1/8	Chord	3/4	13	1	1/8	1/8	1	77													
3	2	5	5	1.0	1/4	1/4	Chord	3/4	13	1	1/4	1/4	1	78													
3	2	6	6	1.0	1/2	1/2	Chord	3/4	13	1	1/4	1/4	1	79													
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	80													
4	3	8	8	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	81													
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	82													
4	3	9	9	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	83													
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	84													
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	85													
4	3	8	8	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	86			ornamentTrill										
4	3	7	7	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	87													
4	3	8	8	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	88													
4	3	9	9	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	89													
4	3	7	7	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	90													
4	3	9	9	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	91													
4	3	7	7	1.0	0	0	Chord	3/4	5	1	1/4	1/4	1	92													
4	3	8	8	2.0	1/4	1/4	Chord	3/4	5	1	1/2	1/2	1	93			ornamentTrill										
4	3	7	7	1.0	0	0	Chord	3/4	6	1	1/4	1/4	1	94													
4	3	8	8	2.0	1/4	1/4	Chord	3/4	6	1	1/2	1/2	1	95			ornamentTrill										
4	3	7	7	1.0	0	0	Chord	3/4	7	1	1/4	1/4	1	96													
4	3	8	8	1.0	1/4	1/4	Chord	3/4	7	1	1/4	1/4	1	97													
4	3	9	9	1.0	1/2	1/2	Chord	3/4	7	1	1/4	1/4	1	98													
4	3	7	7	2.0	0	0	Chord	3/4	8	1	1/2	1/2	1	99													
4	3	9	9	1.0	1/2	1/2	Chord	3/4	8	1	1/4	1/4	1	100													
4	3	7	7	1.0	0	0	Chord	3/4	9	1	1/4	1/4	1	101	Eh-	-meh-											4
4	3	8	8	2.0	1/4	1/4	Chord	3/4	9	1	1/2	1/2	1	102			ornamentTrill										
4	3	7	7	1.0	0	0	Chord	3/4	9	2	1/4	1/4	1	103													5
4	3	8	8	1.0	1/4	1/4	Chord	3/4	9	2	1/4	1/4	1	104													5
4	3	9	9	1.0	1/2	1/2	Chord	3/4	9	2	1/4	1/4	1	105													
4	3	7	7	1.0	0	0	Chord	3/4	10	1	1/4	1/4	1	106													6
4	3	8	8	2.0	1/4	1/4	Chord	3/4	10	1	1/2	1/2	1	107			ornamentTrill										
4	3	7	7	2.0	0	0	Chord	3/4	11	1	1/2	1/2	1	108													7
4	3	9	9	1.0	1/2	1/2	Chord	3/4	11	1	1/4	1/4	1	109													
4	3	7	7	0.5	0	0	Chord	3/4	11	2	1/8	1/8	1	110													8
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	11	2	1/8	1/8	1	111													8
4	3	8	8	1.0	1/4	1/4	Chord	3/4	11	2	1/4	1/4	1	112													8
4	3	9	9	1.0	1/2	1/2	Chord	3/4	11	2	1/4	1/4	1	113													
4	3	7	7	0.5	0	0	Chord	3/4	12	1	1/8	1/8	1	114													
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	12	1	1/8	1/8	1	115													
4	3	8	8	0.0	1/4	1/4	FiguredBass	3/4	12	1	0												1/4	6	5		
4	3	8	8	1.0	1/4	1/4	Chord	3/4	12	1	1/4	1/4	1	116													
4	3	9	9	1.0	1/2	1/2	Chord	3/4	12	1	1/4	1/4	1	117													
4	3	7	7	0.5	0	0	Chord	3/4	13	1	1/8	1/8	1	118													
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	13	1	1/8	1/8	1	119													
4	3	8	8	1.0	1/4	1/4	Chord	3/4	13	1	1/4	1/4	1	120													
4	3	9	9	1.0	1/2	1/2	Chord	3/4	13	1	1/4	1/4	1	121													
5	4	10	10	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	122													
5	4	10	10	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	123													
5	4	10	10	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	124													
5	4	10	10	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	125													
5	4	10	10	2.0	0	0	Chord	3/4	5	1	1/2	1/2	1	126													
