mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
6	5	17	17	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	89	Le-	-ge-						
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	90	-bens,	-bens,						
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	91								7
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	92								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	93								
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	94								8
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	95								8
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	96								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	97								
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	98								9
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	99								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	100								
7	5	20	20	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
7	5	20	20	1.0	0	3/4	Chord	4/4	1	1	1/4		1/4	1	101		Er						
7	5	20	20	1.0	0	3/4	Chord	4/4	1	2	1/4		1/4	1	102								
7	5	20	20	1.0	0	3/4	Chord	4/4	2	1	1/4		1/4	1	103								
7	5	20	20	1.0	0	3/4	Chord	4/4	2	2	1/4		1/4	1	104								
8	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	105		ist						
8	6	22	22	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	106		dein						
8	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	107								
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	108		Quell						
8	6	24	24	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	109		und						
8	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	110								
8	6	21	21	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	111								
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	112								
8	6	22	22	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	113								
8	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	114								
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	115								
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	116								
