mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
5	4	15	15	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=62.7	63.0	𝅘𝅥	62.7	0.0			
5	4	15	15	0.0	1/2	1/2	Dynamic	4/4	1	1	0						mf								
5	4	15	15	0.0	1/2	1/2	Spanner	4/4	1	1	0														
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	64	-ne,	-ne									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	65	die	liebt									
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	66									3		
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	67											
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	68											
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	69											
5	4	13	13	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	70									4	1	
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	71									4	1	
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	72										1	
5	4	15	15	0.0	1/2	1/2	Dynamic	4/4	2	1	0						mf								
5	4	15	15	0.0	1/2	1/2	Spanner	4/4	2	1	0														
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	73											
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	74											
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	75									5		
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	76											
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	77											
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	78											
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=63.7	64.0	𝅘𝅥	63.7	0.0			
6	5	17	17	0.0	0	0	Spanner	4/4	1	1	0													2	
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	79	un-	al-								2	
6	5	18	18	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=64.1	64.0	𝅘𝅥	64.1	0.0		2	
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	80	-sre	-ler								2	
6	5	19	19	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0		2	
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	81	Wäch-	Men-								2	
6	5	39/2	39/2	0.0	5/8	5/8	Tempo	4/4	1	1	0							𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0		2	
6	5	20	20	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=54	54.0	𝅘𝅥	54.0	0.0		2	
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	82	-ter	-schen								2	
6	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	83										2	
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	84										2	
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	85										2	
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	86										2	
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	87										2	
6	5	17	17	0.0	0	0	Spanner	4/4	2	1	0													3	
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	88										3	
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	89										3	
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	90										3	
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	91									6	3	
6	5	39/2	39/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	92									6	3	
6	5	79/4	79/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	93										3	
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	94										3	
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	95										3	
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	96										3	
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	97										3	
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	98										3	
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			
7	6	21	21	0.0	0	0	Dynamic	4/4	1	1	0						mp								
7	6	21	21	0.0	0	0	Spanner	4/4	1	1	0														
7	6	21	21	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	99	sind,	Kind,									
7	6	21	21	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	100											
7	6	21	21	0.0	0	0	Dynamic	4/4	2	1	0						mp								
7	6	21	21	0.0	0	0	Spanner	4/4	2	1	0														
7	6	21	21	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	101											
7	6	21	21	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	102											
8	6	24	24	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
8	6	24	24	0.0	0	3/4	Dynamic	4/4	1	1	0						mf								
8	6	24	24	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	103		dass									
8	6	24	24	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	104											
8	6	24	24	0.0	0	3/4	Dynamic	4/4	2	1	0						mf								
8	6	24	24	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	105											
8	6	24	24	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	106											
9	7	25	25	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0			
9	7	25	25	0.0	0	0	Spanner	4/4	1	1	0														4
9	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	107		er									4
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	108		auch									4
9	7	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			4
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	109		nicht									4
9	7	28	28	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=63.4	63.0	𝅘𝅥	63.4	0.0			
9	7	28	28	0.0	3/4	3/4	Dynamic	4/4	1	1	0						f								
9	7	28	28	0.0	3/4	3/4	Spanner	4/4	1	1	0														
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	110		der									
9	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	111											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	112											
9	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	113											
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	114											
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	115											
9	7	25	25	0.0	0	0	Spanner	4/4	2	1	0														5
9	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	116											5
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	117											5
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	118											5
9	7	28	28	0.0	3/4	3/4	Dynamic	4/4	2	1	0						f								
9	7	28	28	0.0	3/4	3/4	Spanner	4/4	2	1	0														
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	119											
9	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	120											
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	121											
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	122											
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	123											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	124											
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	125											
10	8	29	29	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
10	8	29	29	0.0	0	0	Spanner	4/4	1	1	0													4	
10	8	29	29	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	126		Ei-								4	
10	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0		4	
10	8	61/2	61/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0		4	
10	8	31	31	0.0	1/2	1/2	Dynamic	4/4	1	1	0						mf								
10	8	31	31	0.0	1/2	1/2	Spanner	4/4	1	1	0														
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	127		-nes									
10	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0			
10	8	32	32	0.0	3/4	3/4	Dynamic	4/4	1	1	0						f								
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	128		ver-									
10	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	129									7		
10	8	59/2	59/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	130									7		
10	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	131									7		
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	132											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	133											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	134											
10	8	29	29	0.0	0	0	Spanner	4/4	2	1	0													5	
10	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	135									8	5	
10	8	59/2	59/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	136									8	5	
10	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	137									8	5	
10	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	138									8	5	
10	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	139										5	
10	8	31	31	0.0	1/2	1/2	Spanner	4/4	2	1	0														
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	140											
10	8	32	32	0.0	3/4	3/4	Dynamic	4/4	2	1	0						f								
10	8	32	32	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	141											
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	142											
10	8	29	29	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	143											
10	8	31	31	0.0	1/2	1/2	Dynamic	4/4	2	2	0						mf								
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	144											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	145											
11	9	33	33	0.0	0	0	Spanner	4/4	1	1	0														6
11	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	146		-acht'									6
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	147		will									6
11	9	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=63.7	64.0	𝅘𝅥	63.7	0.0			6
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	148		hab'n									6
11	9	36	36	0.0	3/4	3/4	Dynamic	4/4	1	1	0						f								
11	9	36	36	0.0	3/4	3/4	Spanner	4/4	1	1	0														
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	149		so									
11	9	73/2	73/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=62.9	63.0	𝅘𝅥	62.9	0.0			
11	9	33	33	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	150											
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	151											
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	152											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	153											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	154											
11	9	33	33	0.0	0	0	Spanner	4/4	2	1	0														7
11	9	33	33	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	155											7
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	156											7
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	157											7
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	158											7
11	9	36	36	0.0	3/4	3/4	Dynamic	4/4	2	1	0						f								
11	9	36	36	0.0	3/4	3/4	Spanner	4/4	2	1	0														
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	159											
11	9	33	33	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	160											
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	161											
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	162											
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	163											
11	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	164											
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	165											
11	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	166											
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	167											
12	10	37	37	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0			
12	10	37	37	0.0	0	0	Spanner	4/4	1	1	0													6	
12	10	37	37	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	168		Klei-								6	
12	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0		6	
12	10	77/2	77/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=56.5	57.0	𝅘𝅥	56.5	0.0		6	
12	10	39	39	0.0	1/2	1/2	Dynamic	4/4	1	1	0						mf								
12	10	39	39	0.0	1/2	1/2	Spanner	4/4	1	1	0														
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	169		-nes,									
12	10	40	40	0.0	3/4	3/4	Dynamic	4/4	1	1	0						f								
12	10	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=60.2	60.0	𝅘𝅥	60.2	0.0			
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	170		als									
12	10	37	37	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	171									9		
12	10	75/2	75/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	172									9		
12	10	151/4	151/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	173									9		
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	174											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	175											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	176											
12	10	37	37	0.0	0	0	Spanner	4/4	2	1	0													7	
12	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	177									10	7	
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	178										7	
12	10	39	39	0.0	1/2	1/2	Spanner	4/4	2	1	0														
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	179											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	180											
12	10	37	37	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	181											
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	182											
12	10	38	38	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	183											
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	184											
12	10	39	39	0.0	1/2	1/2	Dynamic	4/4	2	2	0						mf								
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	185											
12	10	40	40	0.0	3/4	3/4	Dynamic	4/4	2	2	0						f								
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	186											
13	11	41	41	0.0	0	0	Spanner	4/4	1	1	0														8
13	11	41	41	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	187		je-									8
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	188											8
13	11	42	42	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=60.4	60.0	𝅘𝅥	60.4	0.0			8
13	11	42	42	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	189		-mals									8
