mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0									𝅗𝅥=74	148.0	𝅗𝅥	74.0	0.0	
1	1	0	0	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	0	1*. Wa-	Mit-	3. Glo-	Von							
1	1	2	2	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	1	-chet	-ter-	-ri-	zwölf							
1	1	0	0	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	2											
1	1	2	2	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	3											
1	1	0	0	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	4											
1	1	2	2	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	5											
1	1	0	0	4.0	0	0	Chord	2/2	2	2	1	1	1	6											
2	2	4	4	3.0	0	0	Chord	2/2	1	1	3/4	1/2	3/2	7	auf!	-nacht	-a	Per-							
2	2	7	7	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	8	ruft	heisst	sei	-len							
2	2	4	4	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	9											
2	2	6	6	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	10											
2	2	4	4	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	11											
2	2	6	6	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	12											
2	2	4	4	1.0	0	0	Chord	2/2	2	2	1/4	1/4	1	13											
2	2	5	5	1.0	1/4	1/4	Chord	2/2	2	2	1/4	1/4	1	14											
2	2	6	6	1.0	1/2	1/2	Chord	2/2	2	2	1/4	1/4	1	15											
2	2	7	7	1.0	3/4	3/4	Chord	2/2	2	2	1/4	1/4	1	16											
3	3	8	8	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	17	uns	die-	dir	sind							
3	3	10	10	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	18	die	-se	ge-	die							
3	3	8	8	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	19											
3	3	10	10	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	20											
3	3	8	8	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	21											
3	3	10	10	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	22											
3	3	8	8	1.0	0	0	Chord	2/2	2	2	1/4	1/4	1	23											0
3	3	9	9	1.0	1/4	1/4	Chord	2/2	2	2	1/4	1/4	1	24											
3	3	10	10	1.0	1/2	1/2	Chord	2/2	2	2	1/4	1/4	1	25											1
3	3	11	11	1.0	3/4	3/4	Chord	2/2	2	2	1/4	1/4	1	26											
4	4	12	12	4.0	0	0	Chord	2/2	1	1	1	1	1	27	Stim-	Stun-	-sun-	Pfor-							
4	4	12	12	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	28											2
4	4	14	14	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	29											
4	4	12	12	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	30											3
4	4	14	14	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	31											
4	4	12	12	1.0	0	0	Chord	2/2	2	2	1/4	1/4	1	32											4
4	4	13	13	1.0	1/4	1/4	Chord	2/2	2	2	1/4	1/4	1	33											4
4	4	14	14	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	34											
5	5	16	16	4.0	0	0	Chord	2/2	1	1	1	1	1	35	-me	-de;	-gen	-ten							
5	5	16	16	4.0	0	0	Chord	2/2	1	2	1	1	1	36											
5	5	16	16	4.0	0	0	Chord	2/2	2	1	1	1	1	37											
5	5	16	16	4.0	0	0	Chord	2/2	2	2	1	1	1	38											
6	6	22	22	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	39	der	sie	mit	an							
6	6	22	22	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	40											
6	6	22	22	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	41											
6	6	22	22	1.0	1/2	1/2	Chord	2/2	2	2	1/4	1/4	1	42											5
6	6	23	23	1.0	3/4	3/4	Chord	2/2	2	2	1/4	1/4	1	43											
7	7	24	24	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	44	Wäch-	ru-	Men-	dei-							
7	7	26	26	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	45	-ter	-fen	-schen	-ner							
7	7	24	24	3.0	0	0	Chord	2/2	1	2	3/4	1/2	3/2	46											
7	7	27	27	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	47											
7	7	24	24	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	48											
7	7	26	26	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	49											
7	7	24	24	1.0	0	0	Chord	2/2	2	2	1/4	1/4	1	50											6
