mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0					𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
1	1	0	0	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	0	Nun						
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1	prei-						
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2	-set						
1	1	0	0	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	3							
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	4							
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	5							
1	1	0	0	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	6							
1	1	1	1	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	7							
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	8							
1	1	0	0	0.5		0	0	Chord	3/4	2	2	1/8	1/8	1	9							
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	10							
1	1	1	1	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	11							
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	12							
2	2	3	3	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	13	al-						
2	2	4	4	2.0		1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	14	-le						
2	2	3	3	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	15							
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	16							
2	2	4	4	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	17							
2	2	3	3	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	18							
2	2	4	4	2.0		1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	19							
2	2	3	3	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	20							
2	2	4	4	2.0		1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	21							
3	3	6	6	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	22	Got-						
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	23	-tes						
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	24	Barm-						
3	3	6	6	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	25							
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	26							
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	27							
3	3	6	6	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	28							
3	3	7	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	29							
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	30							
3	3	6	6	1.5		0	0	Chord	3/4	2	2	3/8	1/4	3/2	31							
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	32							
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	33							
4	4	9	9	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	34	-her-						
4	4	11	11	0.0		1/2	1/2	Tempo	3/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
4	4	11	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	35	-zig-						
4	4	9	9	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	36							
4	4	11	11	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	37							
4	4	9	9	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	38							
4	4	11	11	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	39							
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	40							
4	4	9	9	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	41							0
4	4	10	10	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	42							
4	4	11	11	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	43							
5	5	12	12	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	44	-keit,						
5	5	12	12	3.0		0	0	Chord	3/4	1	2	3/4	1/2	3/2	45							
5	5	12	12	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	46							
5	5	12	12	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	47							
6	6	15	15	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	48	lob'						
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	49	ihn						
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	50	mit						
6	6	15	15	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	51							
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	52							
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	53							
6	6	15	15	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	54							
6	6	16	16	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	55							
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	56							
6	6	15	15	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	57							
6	6	16	16	0.5		1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	58							
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	59							
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	60							
7	7	18	18	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	61	Schal-						
7	7	19	19	2.0		1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	62	-le						
7	7	18	18	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	63							
7	7	19	19	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	64							
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	65							
7	7	19	19	2.0		1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	66							
7	7	18	18	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	67							
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	68							
8	8	21	21	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	69	du						
8	8	22	22	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	70	wer-						
8	8	23	23	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	71	-the						
8	8	21	21	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	72							
8	8	22	22	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	73							
8	8	23	23	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	74							
8	8	47/2	47/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	75							
8	8	21	21	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	76							
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	77							
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	78							
8	8	21	21	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	79							
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	80							
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	81							
9	9	24	24	0.0		0	0	Tempo	3/4	1	1	0					𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
9	9	24	24	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	82	Chri-						
9	9	26	26	0.0		1/2	1/2	Tempo	3/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
9	9	26	26	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	83	-sten-						
9	9	24	24	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	84							1
9	9	25	25	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	85							1
9	9	51/2	51/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	86							
9	9	26	26	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	87							
9	9	53/2	53/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	88							
9	9	24	24	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	89							2
9	9	49/2	49/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	90							2
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	91							
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	92							
9	9	24	24	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	93							3
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	94							
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	95							
10	10	27	27	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	96	-heit!						
10	10	27	27	3.0		0	0	Chord	3/4	1	2	3/4	1/2	3/2	97							
10	10	27	27	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	98							
10	10	27	27	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	99							
11	11	30	30	0.0		0	0	Tempo	3/4	1	1	0					𝅘𝅥=84.45	84.0	𝅘𝅥	84.45	0.0	
11	11	30	30	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	100	Er						
11	11	31	31	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	101	lässt						
11	11	32	32	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	102	dich						
11	11	30	30	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	103							
11	11	31	31	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	104							
11	11	32	32	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	105							
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	106							
11	11	31	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	107							
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	108							
11	11	30	30	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	109							
11	11	31	31	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	110							
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	111							
12	12	33	33	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	112	freund-						4
12	12	34	34	0.0		1/4	1/4	Tempo	3/4	1	1	0					𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
12	12	34	34	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	113							
12	12	35	35	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	114	-lich						
12	12	33	33	1.5		0	0	Chord	3/4	1	2	3/8	1/4	3/2	115							5
12	12	69/2	69/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	116							
12	12	35	35	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	117							
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	118							
12	12	33	33	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	119							6
