mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=87.8	88.0	𝅘𝅥	87.8	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0	1. Drum	2. Hilf	3. Er-						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1	will	mir	-halt'						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2	ich,	mein'	mein						
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	3									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	4									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	5									
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	6									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	7									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	8									
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	9									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	10									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	11									
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	12	weil	Sach'	Herz						0
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	13									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	14	ich	recht	im						
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	15									1
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	16									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	17									
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	18									2
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	19									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	20									
2	2	3	3	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	21									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	22									
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	23	le-	grei-	Glau-						3
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	24									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	25	-be	-fen	-ben						
3	3	6	6	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	26									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	27									
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	28									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	29									
3	3	6	6	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	30									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	31									
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	32	noch,	an,	rein,						
4	4	9	9	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	33									
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	34									
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	35									
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	36	das	dass	so						
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	37	Kreuz	ich	leb'						
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	38	dir	mein'n	und						
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	39									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	40									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	41									
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	42									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	43									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	44									
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	45									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	46									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	47									
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	48	fröh-	Lauf	sterb'						
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	49	-lich	voll-	ich						
6	6	15	15	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	50									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	51									
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	52									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	53									
6	6	15	15	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	54									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	55									
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	56	tra-	-en-	dir						
7	7	19	19	0.0	1/4	1/4	Tempo	3/4	1	1	0							𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	57	-gen	-den	al-						
7	7	18	18	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	58									
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	59									4
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	60									
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	61									
7	7	19	19	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	62									5
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	63									
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	64									
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	65									
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	66	nach;	kann,	-lein;						
8	8	21	21	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	67									
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	68									
8	8	21	21	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	69									
9	9	24	24	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=86.7	87.0	𝅘𝅥	86.7	0.0	
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	70	mein	hilf	Je-						
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	71	Gott	mir	-su,						
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	72	mach'	auch	mein						
9	9	24	24	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	73									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	74									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	75									
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	76									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	77									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	78									
9	9	24	24	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	79									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	80									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	81									
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	82	mich	zwin-	Trost,						6
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	83									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	84	dar-	-gen	hör'						
10	10	27	27	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	85									7
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	86									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	87									
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	88									8
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	89									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	90									
10	10	27	27	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	91									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	92									
11	11	30	30	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=80.8	81.0	𝅘𝅥	80.8	0.0	
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	93	-zu	Fleisch	mein						
11	11	31	31	0.0	1/4	1/4	Tempo	3/4	1	1	0							𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
11	11	31	31	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	94	be-	und	Be-						
11	11	30	30	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	95									
11	11	31	31	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	96									
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	97									9
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	98									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	99									
11	11	30	30	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	100									10
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	101									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	102									
12	12	33	33	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
12	12	33	33	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	103	-reit,	Blut,	-gier,						
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	104									
12	12	33	33	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	105									
12	12	33	33	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	106									
13	13	36	36	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	107	es	für	o						
13	13	37	37	0.0	1/4	1/4	Tempo	3/4	1	1	0							𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	108	dient	Sünd	mein						
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	109	zum	und	Hei-						
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	110									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	111									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	112									
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	113									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	114									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	115									
13	13	36	36	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	116									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	117									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	118									
14	14	39	39	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
14	14	39	39	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	119	Be-	Schan-	-land,						
14	14	40	40	0.0	1/4	1/4	Tempo	3/4	1	1	0							𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
14	14	41	41	0.0	1/2	1/2	Tempo	3/4	1	1	0							𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	120	-sten	-den	wär'						
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	121									11
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	122									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	123									
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	124									12
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	125									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	126									
14	14	39	39	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	127									13
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	128									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	129									
15	15	42	42	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	130	al-	mich	ich						
15	15	43	43	0.0	1/4	1/4	Tempo	3/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
15	15	43	43	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	131	-le-	be-	bei						
15	15	42	42	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	132									
15	15	43	43	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	133									
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	134									
