mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0	1. Sin-	4. Gott	6. Wir							
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	1		hat	dan-							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	2										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	3	-gen	die	-ken							
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	4										
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	5										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	6										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	7										
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	8										
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	9										
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	10										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	11										
1	1	0	0	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	12										
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	13										
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	14										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	15										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	16										
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	17	wir	Erd'	sehr							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	18	aus	schön	und							
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	19										0
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	20										
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	21										
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	22										1
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	23										1
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	24										
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	25										
2	2	3	3	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	26										2
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	27										
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	28										
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	29	Her-	zu-	bit-							
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	30										
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	31	-zens-	-ge-	-ten	ornamentTrill						3
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	32										3
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	33										
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	34										4
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	35										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	36										
