mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Gieb,							
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1								
1	0	0	0	0.5	0	3/4	Chord	4/4	2	1	1/8	1/8	1	2								
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	3								
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	4								
1	0	0	0	0.0	0	3/4	StaffText	4/4	2	3	0					Cont.						
1	0	0	0	1.0	0	3/4	Chord	4/4	2	3	1/4	1/4	1	5								
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	6	dass							
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	7	ich							
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	8								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	9	thu'							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	10	mit							
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	11								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	12								
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	13								
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	14								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	15								
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	16								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	17								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	18								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19								
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	20								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	21								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	22								
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	23								
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	24								
3	2	5	5	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	25	Fleiss,							
3	2	8	8	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	26	was							
3	2	5	5	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	27								
3	2	8	8	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	28								
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	29								
3	2	5	5	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	30								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	31								
3	2	5	5	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	32								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	33								
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	34	mir							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	35	zu							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	36	thun							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	37	ge-							
4	3	9	9	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	38								
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	39								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	40								
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	41								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	42								
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	43								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	44								
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	45								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	46								
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	47								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	48								
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	49								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	50								
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	51	-büh-							0
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	52								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	53	-ret,							
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	54	wo-							
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	55								1
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	56								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	57								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	58								
5	4	13	13	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	59								2
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	60								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	61								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	62								
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	63								3
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	64								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	65								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	66								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	3	1/4	1/4	1	67								
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	68	-zu							
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	69	mich							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	70	dein							
6	5	20	20	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	71	Be-							
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	72								
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	73								
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	74								
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	75								
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	76								
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	77								
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	78								
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	79								
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	80								
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	81								
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	82								
6	5	20	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	83								
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	84								
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	85								
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	86								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	87								
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	88								
7	6	21	21	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	89	-fehl							
7	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90	in							
7	6	21	21	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	91								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	92								
7	6	21	21	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	93								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	94								
7	6	21	21	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	95								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	96								
8	7	25	25	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	97	mei-							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	98	-nem							
