mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	41									
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	42	dem								
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	43									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	44									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	45									
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	46									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	47									
4	4	12	12	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	48									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	49									
4	4	12	12	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	50									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	51									
5	5	16	16	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52	Him-								
5	5	17	17	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	53	-mel								
5	5	18	18	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	54	zu,	articTenutoStaccatoAbove							
5	5	16	16	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	55									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	56									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	57		articTenutoStaccatoBelow							
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	58									
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	59									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	60		articTenutoStaccatoAbove							
5	5	16	16	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	61									
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	62									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	63		articTenutoStaccatoBelow							
6	6	20	20	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	64	da								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	65	wird								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	66	sein								
6	6	23	23	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	67	der								
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	68									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	69									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	70									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	71									
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	72									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	73									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	74									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	75									
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	76									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	77									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	78									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	79									
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	80	rech-								
7	7	25	25	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=72.4	72.0	𝅘𝅥	72.4	0.0	
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	81	-te								
7	7	26	26	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	82	Frie-								
7	7	27	27	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	83									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	84									
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	85									0
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	86									
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	87									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	88									
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	89									
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	90									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	91									
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	92									
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	93	-de								
8	8	29	29	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	94									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	95									
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	96	ew'-								
8	8	31	31	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	97									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	98	und								
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	99	die								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	100	ew'-								
8	8	28	28	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	101									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	102									
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	103									
8	8	28	28	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	104									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	105	und								
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	106	die								
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	107									
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	108	-ge								
9	9	34	34	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
9	9	34	34	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	109	stol-								
9	9	71/2	71/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	110	-ze								
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	111	-ge								
9	9	33	33	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	112	stol-								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	113	-ze								
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	114									
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	115									
9	9	34	34	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	116									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	117									
9	9	32	32	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	118	ew'-								
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	119	-ge								
9	9	34	34	1.5	1/2	1/2	Chord	4/4	2	2	3/8	1/4	3/2	120	stol-								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	121	-ze								
10	10	36	36	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1	1	1	122	Ruh.								
10	10	36	36	4.0	0	0	Chord	4/4	1	2	1	1	1	123									
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1	1	1	124									
10	10	36	36	4.0	0	0	Chord	4/4	2	2	1	1	1	125	Ruh.								
11	11	40	40	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72.95	73.0	𝅘𝅥	72.95	0.0	
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	126	Welt,								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	127	bei								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	128	dir								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	129	ist								
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	130									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	131									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	132									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	133									
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	134									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	135									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	136									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	137									
11	11	40	40	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	138									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	139									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	140									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	141									
12	12	44	44	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
12	12	44	44	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	142	Krieg								
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	143									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	144	Streit,								
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	145									
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	146	und								
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	147									
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	148									
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	149									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	150									
12	12	44	44	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	151									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	152									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	153									
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	154	nichts,								
13	13	49	49	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	155	denn								
13	13	50	50	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	156	lau-								
13	13	51	51	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	157	-ter								
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	158									
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	159									
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	160									
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	161									
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	162									
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	163									
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	164									
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	165									
13	13	48	48	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	166									
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	167									
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	168									
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	169									
14	14	52	52	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
14	14	52	52	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	170	Ei-								
14	14	53	53	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
14	14	107/2	107/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	171									
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	172									
14	14	52	52	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	173									
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	174	tel-								
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	175	-keit;								
14	14	52	52	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	176									
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	177									
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	178									
14	14	52	52	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	179									
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	180									
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	181									
15	15	56	56	0.0	0	0	Tempo	3/1	1	1	0							𝅗𝅥=135.824	272.0	𝅗𝅥	135.824	0.0	
15	15	56	56	8.0	0	0	Chord	3/1	1	1	2	2	1	182	in								
15	15	64	64	4.0	2	2	Chord	3/1	1	1	1	1	1	183	dem								
15	15	56	56	8.0	0	0	Chord	3/1	1	2	2	2	1	184									
15	15	64	64	4.0	2	2	Chord	3/1	1	2	1	1	1	185									
15	15	56	56	8.0	0	0	Chord	3/1	2	1	2	2	1	186									
15	15	64	64	4.0	2	2	Chord	3/1	2	1	1	1	1	187									
15	15	56	56	8.0	0	0	Chord	3/1	2	2	2	2	1	188									
15	15	64	64	4.0	2	2	Chord	3/1	2	2	1	1	1	189									
16	16	68	68	8.0	0	0	Chord	3/1	1	1	2	2	1	190	Him-								
16	16	76	76	4.0	2	2	Chord	3/1	1	1	1	1	1	191	-mel								
16	16	68	68	8.0	0	0	Chord	3/1	1	2	2	2	1	192									
16	16	76	76	4.0	2	2	Chord	3/1	1	2	1	1	1	193									
16	16	68	68	8.0	0	0	Chord	3/1	2	1	2	2	1	194									
16	16	76	76	4.0	2	2	Chord	3/1	2	1	1	1	1	195									
16	16	68	68	8.0	0	0	Chord	3/1	2	2	2	2	1	196									
16	16	76	76	4.0	2	2	Chord	3/1	2	2	1	1	1	197									
17	17	80	80	8.0	0	0	Chord	3/1	1	1	2	2	1	198	al-								
17	17	88	88	4.0	2	2	Chord	3/1	1	1	1	1	1	199	-le-								
17	17	80	80	8.0	0	0	Chord	3/1	1	2	2	2	1	200									
17	17	88	88	4.0	2	2	Chord	3/1	1	2	1	1	1	201									
17	17	80	80	8.0	0	0	Chord	3/1	2	1	2	2	1	202									
17	17	88	88	4.0	2	2	Chord	3/1	2	1	1	1	1	203									
17	17	80	80	8.0	0	0	Chord	3/1	2	2	2	2	1	204									
17	17	88	88	4.0	2	2	Chord	3/1	2	2	1	1	1	205									
18	18	92	92	12.0	0	0	Chord	3/1	1	1	3	2	3/2	206	-zeit								
18	18	92	92	12.0	0	0	Chord	3/1	1	2	3	2	3/2	207									
18	18	92	92	12.0	0	0	Chord	3/1	2	1	3	2	3/2	208									
18	18	92	92	12.0	0	0	Chord	3/1	2	2	3	2	3/2	209									
19	19	104	104	8.0	0	0	Chord	3/1	1	1	2	2	1	210	Frie-								
19	19	112	112	4.0	2	2	Chord	3/1	1	1	1	1	1	211	-de,								
19	19	104	104	8.0	0	0	Chord	3/1	1	2	2	2	1	212									
19	19	112	112	4.0	2	2	Chord	3/1	1	2	1	1	1	213									
19	19	104	104	8.0	0	0	Chord	3/1	2	1	2	2	1	214									
19	19	112	112	4.0	2	2	Chord	3/1	2	1	1	1	1	215									
19	19	104	104	8.0	0	0	Chord	3/1	2	2	2	2	1	216									
19	19	112	112	4.0	2	2	Chord	3/1	2	2	1	1	1	217									
20	20	116	116	12.0	0	0	Chord	3/1	1	1	3	2	3/2	218	Freud'								
20	20	116	116	8.0	0	0	Chord	3/1	1	2	2	2	1	219									
20	20	124	124	4.0	2	2	Chord	3/1	1	2	1	1	1	220	und								
20	20	116	116	8.0	0	0	Chord	3/1	2	1	2	2	1	221									
20	20	124	124	4.0	2	2	Chord	3/1	2	1	1	1	1	222	und								
20	20	116	116	12.0	0	0	Chord	3/1	2	2	3	2	3/2	223									
21	21	128	128	0.0	0	0	Tempo	3/1	1	1	0							𝅗𝅥=131	262.0	𝅗𝅥	131.0	0.0	
21	21	128	128	4.0	0	0	Chord	3/1	1	1	1	1	1	224									
21	21	132	132	6.0	1	1	Chord	3/1	1	1	3/2	1	3/2	225									
21	21	136	136	0.0	2	2	Tempo	3/1	1	1	0							𝅗𝅥=120	240.0	𝅗𝅥	120.0	0.0	
21	21	138	138	2.0	5/2	5/2	Chord	3/1	1	1	1/2	1/2	1	226									
21	21	128	128	8.0	0	0	Chord	3/1	1	2	2	2	1	227	See-								
21	21	136	136	4.0	2	2	Chord	3/1	1	2	1	1	1	228	-lig-								
21	21	128	128	8.0	0	0	Chord	3/1	2	1	2	2	1	229	See-								
21	21	136	136	4.0	2	2	Chord	3/1	2	1	1	1	1	230	-lig-								
21	21	128	128	4.0	0	0	Chord	3/1	2	2	1	1	1	231	und								
21	21	132	132	6.0	1	1	Chord	3/1	2	2	3/2	1	3/2	232	See-								
21	21	138	138	2.0	5/2	5/2	Chord	3/1	2	2	1/2	1/2	1	233	-lig-								
22	22	140	140	12.0	0	0	Chord	3/1	1	1	3	2	3/2	234									
22	22	140	140	12.0	0	0	Chord	3/1	1	2	3	2	3/2	235	-keit.								
22	22	140	140	12.0	0	0	Chord	3/1	2	1	3	2	3/2	236	-keit.								
22	22	140	140	12.0	0	0	Chord	3/1	2	2	3	2	3/2	237	-keit.								
