mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0								𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
1	0	0	0	0.5	0	3/4	Chord	4/4	1	1	1/8	1/8	1	0	1. Ich	mein	4. Wohl-	und						
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	1	1	1/8	1/8	1	1										
1	0	0	0	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	2										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	3										
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	4										
1	0	0	0	0.5	0	3/4	Chord	4/4	2	2	1/8	1/8	1	5										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	2	1/8	1/8	1	6										
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	7	freu-	lieb-	-an!	soll-						
2	1	2	2	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=77.84	78.0	𝅘𝅥	77.84	0.0	
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	8	-e	-stes	so	-te						
2	1	3	3	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=76.344	76.0	𝅘𝅥	76.344	0.0	
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	9	mich	Je-	will	gleich						
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	10	in	-su-	ich	die						
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	11										
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	12										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	13										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	14										0
2	1	7/2	7/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	15										0
2	1	15/4	15/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	16										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	17										
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	18										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	19										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	20										
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	21										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	22										
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	23										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	24										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	25										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	26										
3	2	5	5	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=76.6	77.0	𝅘𝅥	76.6	0.0	
3	2	5	5	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	27	dir	-lein;	mich	Welt						
3	2	8	8	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=77.48	77.0	𝅘𝅥	77.48	0.0	
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	28	und	du	an	in						
3	2	5	5	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	29										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	30										
3	2	5	5	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	31										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	32										
3	2	5	5	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	33										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	34										
4	3	9	9	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=77.54	78.0	𝅘𝅥	77.54	0.0	
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	35	hei-	hast	dich,	tau-						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	36	sse	dir	o	-send						
4	3	11	11	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=78.5	78.0	𝅘𝅥	78.5	0.0	
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	37	dich	vor-	Je-	Stü-						
4	3	12	12	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	38	will-	-ge-	-su,	-cke						
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	39										
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	40										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	41										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	42										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	43										
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	44										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	45										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	46										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	47										
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	48										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	49										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	50										
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	51										
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	52										
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	53										
