mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	14												
2	1	5/2	5/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6				
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	15												
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	16												
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	17												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	18												
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	19												
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	20												
3	2	5	5	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	21	ih-											
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	22	-rem											
3	2	7	7	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	23	Glanz											1
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	24												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	25	ge-											
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	26												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	27												
3	2	7	7	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	28												
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	29												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	30												
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	31												
3	2	6	6	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/8	6	#			
