mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0								𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	1. Ach	wie	2. Das	und						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1										
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	2										
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	3										
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	4	Gott,	we-	wollst	lass						
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	5	vom	-nig	du	uns						
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	6	Him-	sind	Gott	dir						
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	7	-mel	der	be-	be-						
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	8										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	9										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	10										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	11										
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15										
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	16										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	17										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	18										
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	19										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	20										
3	2	5	5	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	21	sieh	Heil'-	-wah-	-foh-						
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	22										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	23	da-	-gen	-ren	-len						
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	24	-rein	dein,	rein	sein,						
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	25	und	ver-	vor	dass						
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	26										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	27										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	28										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	29										
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	30										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	31										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	32										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	33										
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	34										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	35										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	36										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	37										
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	38	lass	-las-	die-	sich's						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	39	dich	-sen	-sem	in						
4	3	11	11	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	40	dess	sind	arg'n	uns						
4	3	12	12	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	41	er-	wir	Ge-	nicht						
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	42										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	43										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	44										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	45										
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	46										
4	3	10	10	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	47										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	48										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	49										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	50										
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	51										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	52										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	53										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	54										
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	55	-bar-	Ar-	-schlech-	flech-						0
5	4	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	56										
5	4	15	15	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	57	-men,	-men:	-te,	-te,						
5	4	13	13	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	58										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	59										
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	60										1
5	4	14	14	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	61										1
5	4	57/4	57/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	62										1
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	63										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	64										
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	65										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	66										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	67										
6	4	16	16	0.0	0	3/4	Tempo	4/4	1	1	0								𝅘𝅥=84.7	85.0	𝅘𝅥	84.7	0.0	
6	4	16	16	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	68	dein	der								
6	4	16	16	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	69										
6	4	16	16	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	70										
6	4	16	16	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	71										
7	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	72	Wort	Gott-								
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	73	man	-los'								
7	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	74	lässt	Hauf'								
7	5	20	20	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
7	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	75	nicht	sich								
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	76										
7	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	77										
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	78										
7	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	79										
7	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	80										
7	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	81										
7	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	82										
7	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	83										
7	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	84										
7	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	85										
7	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	86										
7	5	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	87										
7	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	88										
7	5	20	20	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	89										
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	90										
8	6	21	21	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
8	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	91	ha-	um-								
8	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	92	-ben	-her								
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	93	wahr,	find't,								
8	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=82.7	83.0	𝅘𝅥	82.7	0.0	
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	94	der	wo								
8	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	95										
8	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	96										
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	97										
8	6	24	24	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	98										
8	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	99										
8	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	100										
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	101										
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	102										
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	103										
8	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	104										
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	105										
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	106										
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	107										
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	108										
9	7	25	25	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
9	7	25	25	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	109	Glaub'	sol-								
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	110										
9	7	26	26	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=86	86.0	𝅘𝅥	86.0	0.0	
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	111	ist	-che								
9	7	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=85.7	86.0	𝅘𝅥	85.7	0.0	
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	112	auch	lo-								
9	7	28	28	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	113	ver-	-se								
9	7	25	25	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	114										
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	115										
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	116										
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	117										
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	118										
9	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	119										
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	120										
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	121										
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	122										
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	123										
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	124										
9	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	125										
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	126										
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	127										
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	128										
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	129										
9	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	130										
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	131										
10	8	29	29	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
10	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	132	-lo-	Leu-								
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	133	-schen	-te								
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	134	gar	sind								
10	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=81.6	82.0	𝅘𝅥	81.6	0.0	
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	135	bei	in								
10	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	136										
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	137										
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	138										
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	139										
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	140										
10	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	141										
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	142										
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	143										
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	144										
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	145										
10	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	146										
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	147										
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	148										
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	149										
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	150										
11	9	33	33	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
11	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	151	al-	dei-								
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	152	-len	-nem								
11	9	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	153	Men-	Volk								
11	9	36	36	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	154	-schen-	er-								
11	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	155										
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	156										
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	157										
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	158										
11	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	159										
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	160										
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	161										
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	162										
