mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
15	13	51	51	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	257	-ben.	-sen.									
15	13	49	49	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	258											13
15	13	50	50	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	259											
15	13	51	51	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	260											
15	13	49	49	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	261											14
15	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	262											
15	13	51	51	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	263											
15	13	49	49	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	264											15
15	13	50	50	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	265											
15	13	51	51	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	266											
