mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	180											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	181											10
11	9	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	182											10
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	183											
11	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	184											
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	185											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	186											11
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	187											
12	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	188	-ben,	-ssen,									
12	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0										𝅘𝅥=67.2	67.0	𝅘𝅥	67.2	0.0	
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	189	mein'm	dass									
12	10	39	39	0.0	1/2	1/2	Tempo	4/4	1	1	0										𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	190	Näch-	mir's									
12	10	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0										𝅘𝅥=65.3	65.0	𝅘𝅥	65.3	0.0	
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	191	-sten	nicht									
12	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	192											
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	193											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	194											
12	10	40	40	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	195											
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	196											
12	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	197											
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	198											
12	10	39	39	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	199											
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	200											
12	10	40	40	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	201											
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	202											
12	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	203											
12	10	38	38	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	204											
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	205											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	206											
12	10	40	40	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	207											
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	208											
13	11	41	41	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	
13	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	209	nütz	bring'									
13	11	42	42	0.0	1/4	1/4	Tempo	4/4	1	1	0										𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0	
13	11	42	42	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	210	zu	Ge-									
13	11	85/2	85/2	0.0	3/8	3/8	Tempo	4/4	1	1	0										𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	211	sein,	-fahr;									
13	11	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0										𝅘𝅥=64.2	64.0	𝅘𝅥	64.2	0.0	
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	212	dein	ich									
13	11	41	41	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	213											
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	214											
13	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	215											
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	216											
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	217											
13	11	41	41	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	218											
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	219											
13	11	42	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	220											
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	221											
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	222											
13	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	223											
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	224											
13	11	41	41	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	225											
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	226											
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	227											
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	228											
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	229											
14	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	230	Wort	weiss,									
14	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	231	zu	du									
14	12	47	47	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	232	hal-	wirst's									
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	233											
14	12	48	48	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	234	-ten	nicht									
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	235											
14	12	45	45	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	236											
14	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	237											
14	12	46	46	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	238											
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	239											
14	12	47	47	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	240											
