mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	0	Nun	sein'							
1	0	0	0	1.0	0	1/2	Chord	3/4	1	2	1/4	1/4	1	1									
1	0	0	0	1.0	0	1/2	Chord	3/4	2	1	1/4	1/4	1	2									
1	0	0	0	1.0	0	1/2	Chord	3/4	2	2	1/4	1/4	1	3									
2	1	1	1	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	4	lob',	Wohl-							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	5	mein'	-that							
2	1	1	1	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	6									
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	7									
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	8									0
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	9									
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	10									
2	1	1	1	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	11									
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	12									
3	2	4	4	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	13	Seel',	thut							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	14	den	er							
3	2	4	4	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	15									1
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	16									
3	2	6	6	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	17									
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	18									
3	2	4	4	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	19									
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	20									
3	2	4	4	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	21									
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	22									
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	23	Her-	meh-							2
4	3	8	8	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	24									
4	3	7	7	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	25									3
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	26									3
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	27									
4	3	7	7	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	28									4
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	29									
4	3	7	7	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	30									5
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	31									5
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	32									
5	4	10	10	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	33	-ren,	-ren,							
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	34	was	ver-							
5	4	10	10	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	35									
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	36									
5	4	10	10	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	37									
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	38									
5	4	10	10	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	39									
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	40									
6	5	13	13	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	41	in	-giss							
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	42	mir	es							
6	5	13	13	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	43									6
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	44									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	45									
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	46									7
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	47									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	48									
6	5	13	13	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	49									8
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	50									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	51									
7	6	16	16	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	52	ist,	nicht,							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	53	den	o							
7	6	16	16	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	54									9
