mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	0	Er-						
1	0	0	0	1.0	0	1/2	Chord	3/4	1	2	1/4	1/4	1	1							
1	0	0	0	1.0	0	1/2	Chord	3/4	2	1	1/4	1/4	1	2							
1	0	0	0	1.0	0	1/2	Chord	3/4	2	2	1/4	1/4	1	3							
2	1	1	1	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	4	-halt						
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	5	uns						
2	1	1	1	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	6							0
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	7							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	8							
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	9							1
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	10							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	11							
2	1	1	1	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	12							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	13							
3	2	4	4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	14	in						2
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	15							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	16	der						
3	2	4	4	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	17							3
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	18							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	19							
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	20							4
