mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	61											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	62	Her-	-bo-	be-	klin-							
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	63	-zens	ren	-ten	get							
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	64											
4	3	9	9	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	65											
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	66											
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	67											
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	68											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	69											
4	3	9	9	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	70											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	71											
4	3	10	10	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	72											
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	73											
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	74											
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	75											
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	76											
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	77											
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	78											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	79											
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	80											
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	81											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	82											
5	4	13	13	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	83	Gast,	hast.	soll;	wohl;							
5	4	13	13	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	84											
5	4	13	13	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	85											
5	4	13	13	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	86											
6	4	16	16	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	87	O	es									
6	4	16	16	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	88											
6	4	33/2	33/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	89											
6	4	16	16	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	90											
6	4	16	16	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	91											
7	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	92	hoch-	steigt									
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	93	-ge-	zum									
7	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	94	-lieb-	Him-									
7	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	95	-ter	-mel									
7	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	96											
7	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	97											
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	98											
7	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	99											
7	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	100											
7	5	20	20	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	101											
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	102											
7	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	103											
7	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	104											
7	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	105											
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	106											
7	5	19	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	107											
7	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	108											
7	5	20	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	109											
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	110											
7	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	111											
7	5	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	112											
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	113											
7	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	114											
7	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	115											
8	6	21	21	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	116	Gist	an,									
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	117	des	es									
8	6	21	21	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	118											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	119											
8	6	21	21	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	120											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	121											
8	6	21	21	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	122											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	123											
9	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	124	Va-	steigt									
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	125	-ters	und									
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	126	und	lässt									
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	127	des	nicht									
9	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	128											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	129											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	130											
9	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	131											
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	132											
9	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	133											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	134											
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	135											
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	136											
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	137											
9	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	138											
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	139											
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	140											
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	141											
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	142											
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	143											
9	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	144											
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	145											
10	8	29	29	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	146	Soh-	a-									3
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	147											3
10	8	30	30	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	148											3
10	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	149											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	150	-nes,	-be,									
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	151	mit	bis									
10	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	152											4
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	153											4
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	154											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	155											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	156											
10	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	157											5
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	158											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	159											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	160											
10	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	161											6
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	162											6
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	163											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	164											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	165											
11	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	166	bei-	der									
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	167	-den	ge-									
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	168	glei-	-hol-									
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	169	-ches	-fen									
11	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	170											
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	171											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	172											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	173											
11	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	174											
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	175											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	176											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	177											
11	9	33	33	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	178											
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	179											
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	180											
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	181											
11	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	182											
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	183											
11	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	184											
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	185											
12	10	37	37	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	186	Thro-	ha-									7
