mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0		0	3/4	Tempo	4/4	1	1	0					𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
1	0	0	0	1.0		0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Es						
1	0	0	0	1.0		0	3/4	Chord	4/4	1	2	1/4	1/4	1	1							
1	0	0	0	1.0		0	3/4	Chord	4/4	2	1	1/4	1/4	1	2							
1	0	0	0	1.0		0	3/4	Chord	4/4	2	2	1/4	1/4	1	3							
2	1	1	1	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	4	dan-						
2	1	2	2	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	5	-ke,						
2	1	3	3	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	6	Gott,						
2	1	4	4	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	7	und						
2	1	9/2	9/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	8							
2	1	1	1	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	9							
2	1	2	2	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	10							
2	1	5/2	5/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	11							
2	1	3	3	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	12							
2	1	4	4	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	13							
2	1	1	1	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	14							
2	1	2	2	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	15							
2	1	3	3	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	16							
2	1	4	4	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	17							
2	1	9/2	9/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	18							
2	1	1	1	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	19							
2	1	2	2	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	20							
2	1	3	3	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	21							
2	1	4	4	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	22							
3	2	5	5	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	23	lo-						0
3	2	6	6	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	24							0
3	2	7	7	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	25							
3	2	8	8	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	26	-be						
3	2	5	5	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	27							1
3	2	6	6	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	28							1
3	2	13/2	13/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	29							1
3	2	7	7	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	30							
3	2	8	8	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	31							
3	2	5	5	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	32							2
3	2	6	6	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	33							2
3	2	7	7	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	34							2
3	2	15/2	15/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	35							
3	2	8	8	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	36							
3	2	5	5	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	37							3
3	2	6	6	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	38							3
3	2	7	7	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	39							
3	2	8	8	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	40							
4	3	9	9	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	41	dich						
4	3	12	12	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	42	das						
4	3	9	9	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	43							
4	3	12	12	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	44							
4	3	9	9	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	45							
4	3	12	12	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	46							
4	3	9	9	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	47							
4	3	12	12	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	48							
5	4	13	13	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	49	Volk						
5	4	14	14	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	50	in						
5	4	15	15	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	51	gu-						
5	4	16	16	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	52	-ten						
5	4	13	13	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	53							
5	4	14	14	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	54							
5	4	15	15	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	55							
5	4	16	16	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	56							
5	4	33/2	33/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	57							
5	4	13	13	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	58							
5	4	27/2	27/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	59							
5	4	14	14	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	60							
5	4	15	15	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	61							
5	4	16	16	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	62							
5	4	33/2	33/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	63							
5	4	13	13	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	64							
5	4	14	14	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	65							
5	4	15	15	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	66							
5	4	16	16	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	67							
6	5	17	17	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	68	Tha-						4
6	5	18	18	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	69							4
6	5	37/2	37/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	70							4
6	5	19	19	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	71							4
6	5	20	20	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	72							
6	5	17	17	3.0		0	0	Chord	4/4	1	2	3/4	1/2	3/2	73							5
6	5	20	20	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	74							
6	5	17	17	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	75							6
6	5	20	20	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	76							
6	5	17	17	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	77							7
6	5	18	18	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	78							7
6	5	19	19	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	79							7
6	5	20	20	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	80							
7	6		21	3.0	1	0	0	Chord	4/4	1	1	3/4	1/2	3/2	81	-then.						
7	6		24	1.0	1	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	82	Das-						
7	6		21	3.0	1	0	0	Chord	4/4	1	2	3/4	1/2	3/2	83							
7	6		24	1.0	1	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	84							
7	6		21	3.0	1	0	0	Chord	4/4	2	1	3/4	1/2	3/2	85							
7	6		24	1.0	1	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	86							
7	6		21	3.0	1	0	0	Chord	4/4	2	2	3/4	1/2	3/2	87							
7	6		24	1.0	1	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	88							
8	6	21	25	3.0	2	0	0	Chord	4/4	1	1	3/4	1/2	3/2	89	then.						
8	6	24	28	1.0	2	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90	Uns						
8	6	21	25	3.0	2	0	0	Chord	4/4	1	2	3/4	1/2	3/2	91							
8	6	24	28	1.0	2	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	92							
8	6	21	25	3.0	2	0	0	Chord	4/4	2	1	3/4	1/2	3/2	93							
8	6	24	28	1.0	2	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	94							
8	6	21	25	3.0	2	0	0	Chord	4/4	2	2	3/4	1/2	3/2	95							
8	6	24	28	1.0	2	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	96							
9	7	25	29	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	97	seg-						
9	7	26	30	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	98	-ne						
9	7	27	31	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	99	Va-						
9	7	28	32	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	100	-ter						
9	7	25	29	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	101							
9	7	26	30	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	102							
9	7	27	31	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	103							
9	7	55/2	63/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	104							
9	7	28	32	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	105							
9	7	25	29	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	106							
9	7	26	30	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	107							
9	7	27	31	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	108							
9	7	28	32	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	109							
9	7	25	29	0.5		0	0	Chord	4/4	2	2	1/8	1/8	1	110							
9	7	51/2	59/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	111							
9	7	26	30	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	112							
9	7	27	31	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	113							
9	7	28	32	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	114							
9	7	57/2	65/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	115							
10	8	29	33	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	116	und						
10	8	30	34	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	117	der						
10	8	31	35	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	118	Sohn,						
10	8	32	36	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	119	uns						
10	8	29	33	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	120							
10	8	30	34	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	121							
10	8	31	35	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	122							
10	8	32	36	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	123							
10	8	29	33	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	124							
10	8	30	34	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	125							
10	8	61/2	69/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	126							
10	8	31	35	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	127							
10	8	32	36	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	128							
10	8	29	33	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	129							
10	8	30	34	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	130							
10	8	31	35	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	131							
10	8	32	36	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	132							
11	9	33	37	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	133	seg-						
11	9	34	38	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	134	-ne						
11	9	69/2	77/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	135							
11	9	35	39	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	136	Gott,						
11	9	36	40	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	137	der						
11	9	73/2	81/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	138							
11	9	33	37	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	139							
11	9	34	38	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	140							
11	9	35	39	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	141							
11	9	36	40	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	142							
11	9	33	37	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	143							
11	9	34	38	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	144							
11	9	35	39	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	145							
11	9	71/2	79/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	146							
11	9	36	40	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	147							
11	9	33	37	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	148							
11	9	34	38	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	149							
11	9	35	39	0.5		1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	150							
11	9	71/2	79/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	151							
11	9	36	40	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	152							
11	9	73/2	81/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	153							
12	10	37	41	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	154	heil'-						
12	10	38	42	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	155	-ge						
12	10	39	43	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	156	Geist,						
12	10	40	44	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	157	dem						
12	10	37	41	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	158							
12	10	75/2	83/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	159							
12	10	38	42	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	160							
12	10	39	43	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	161							
12	10	40	44	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	162							
12	10	37	41	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	163							
12	10	75/2	83/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	164							
12	10	38	42	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	165							
12	10	77/2	85/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	166							
12	10	39	43	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	167							
12	10	40	44	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	168							
12	10	37	41	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	169							
12	10	38	42	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	170							
12	10	39	43	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	171							
