mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	2	13/2	13/2	0.25		5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	19								1
2	2	27/4	27/4	0.25		11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	20								1
2	2	7	7	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	21								
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	22	und	auf-						
2	2	4	4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	23								
2	2	5	5	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	24								
2	2	6	6	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	25								
2	2	7	7	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	26								
2	2	4	4	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	27								
2	2	5	5	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	28								
2	2	6	6	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	29								
2	2	7	7	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	30								
3	3	8	8	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	31								
3	3	9	9	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	32	ben,	-ben						
3	3	11	11	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	33	mach'	mit						
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	34	ein-	recht						
3	3	8	8	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	35	Le-	-ge-						
3	3	9	9	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	36	-ben	-ben						
3	3	8	8	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	37								
3	3	9	9	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	38								
3	3	8	8	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	39								
3	3	9	9	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	40								
4	4	12	12	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	41	-mal	wohl-						
4	4	13	13	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	42	mein	-ge-						
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	43								
4	4	14	14	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	44	En-	-fass-						2
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	45								2
4	4	15	15	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	46								2
4	4	13	13	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	47	mach	mit						
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	48	ein-	recht						
4	4	14	14	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	49	-mal	wohl-						
4	4	15	15	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	50	mein	-ge-						
4	4	13	13	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	51								
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	52								
4	4	14	14	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	53								
4	4	15	15	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	54								
4	4	13	13	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	55	mach	mit						3
4	4	14	14	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	56	ein-	recht						
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	57								
4	4	15	15	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	58	-mal	wohl-						
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	59	mein	-ge-						
5	5	16	16	0.0		0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
5	5	16	16	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	60								
5	5	17	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	61	-de	-tem						
5	5	16	16	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	62	En-	-fass-						
5	5	17	17	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	63	-de	-tem						
5	5	16	16	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	64								
5	5	17	17	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	65								
5	5	16	16	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	66	En-	-fass-						
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	67								
5	5	17	17	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	68	-de	-tem						
6	5		18	2.0	1	0	1/2	Chord	4/4	1	1	1/2		1/2	1	69	gut,							
6	5		18	2.0	1	0	1/2	Chord	4/4	1	2	1/2		1/2	1	70	gut,							
6	5		18	2.0	1	0	1/2	Chord	4/4	2	1	1/2		1/2	1	71								
6	5		18	2.0	1	0	1/2	Chord	4/4	2	2	1/2		1/2	1	72	gut							
7	5	18	20	2.0	2	0	1/2	Chord	4/4	1	1	1/2		1/2	1	73		Mut!						
7	5	18	20	2.0	2	0	1/2	Chord	4/4	1	2	1/2		1/2	1	74		Mut!						
7	5	18	20	2.0	2	0	1/2	Chord	4/4	2	1	1/2		1/2	1	75								
7	5	18	20	2.0	2	0	1/2	Chord	4/4	2	2	1/2		1/2	1	76		Mut!						
8	6	20	22	0.0		0	0	Tempo	4/4	1	1	0							𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
8	6	21	23	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	77	Hilf,							
8	6	43/2	47/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	78	dass							
8	6	22	24	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	79	ich							
8	6	23	25	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	80	ein							
8	6	21	23	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	81								
8	6	43/2	47/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	82								
8	6	22	24	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	83								
8	6	23	25	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	84								
8	6	47/2	51/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	85								
8	6	23	25	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	86								
8	6	47/2	51/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	87								
8	6	23	25	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	88	Hilf,							
8	6	47/2	51/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	89	dass							
9	7	24	26	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	90	ehr-							
9	7	51/2	55/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	91	-lich							
9	7	26	28	0.0		1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	92								
9	7	26	28	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	93	Grab							
9	7	24	26	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	94								
9	7	49/2	53/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	95								
9	7	25	27	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	96								
9	7	51/2	55/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	97								
9	7	26	28	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	98								
9	7	24	26	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	99								
9	7	49/2	53/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	100								
9	7	25	27	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	101								
9	7	51/2	55/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	102								
9	7	26	28	0.0		1/2	1/2	Chord	4/4	2	1	0	appoggiatura	1/8	1	103								
9	7	26	28	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	104								
9	7	24	26	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	105	ich							
9	7	49/2	53/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	106	ein							
