mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
11	10	40	40	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	289										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	290										
11	10	39	39	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	291										
11	10	40	40	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	292										
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	293										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	294										
11	10	39	39	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	295										
11	10	40	40	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	296										
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	297										
12	11	41	41	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	298										
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	299										
12	11	41	41	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	300										
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	301										
12	11	41	41	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	302	mich									
12	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	303	in									
12	11	41	41	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	304										
12	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	305										
12	11	41	41	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	306										
12	11	44	44	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	307										
12	11	41	41	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	308										
12	11	44	44	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	309										
12	11	41	41	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	310										
12	11	44	44	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	311										
13	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	312										
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	313										
13	12	47	47	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	314										
13	12	48	48	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	315										
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	316										
13	12	45	45	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	317										
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	318										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	319										
13	12	48	48	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	320										
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	321										
13	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	322	dei-									
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	323	-ner									
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	324	Treu,	Treu,								11
13	12	48	48	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	325										11
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	326										11
13	12	45	45	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	327										
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	328										12
13	12	93/2	93/2	0.25	3/8	3/8	Chord	4/4	2	2	1/16	1/16	1	329										12
13	12	187/4	187/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	330										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	331										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	332	Herr									
13	12	45	45	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	333										
13	12	46	46	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	334										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	335										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	336										
13	12	45	45	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	337										
13	12	46	46	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	338										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	339										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	340										
13	12	45	45	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	341										
13	12	46	46	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	342										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	343										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	344										
14	13	49	49	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	345										
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	346										
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	347										
14	13	51	51	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
14	13	51	51	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	348										
14	13	49	49	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	349										
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	350										
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	351										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	352										
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	353										
14	13	52	52	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	354										
14	13	49	49	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	355										
14	13	50	50	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	356		Herr								
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	357										
14	13	51	51	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	358		Got-								
14	13	49	49	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	359	Got-									13
14	13	50	50	2.0	1/4	1/4	Chord	4/4	2	2	1/2	1/2	1	360										13
14	13	52	52	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	361										
14	13	49	49	4.0	0	0	Chord	4/4	3	1	1	1	1	362										
14	13	49	49	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	363										14
14	13	50	50	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	364										14
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	365										14
14	13	51	51	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	366										
14	13	49	49	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	367										15
14	13	50	50	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	368										15
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	369										15
14	13	51	51	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	370										
15	14	53	53	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	371										
15	14	53	53	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	372										
15	14	53	53	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	373		-te!								
15	14	53	53	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	374	-te!									
15	14	53	53	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	375										
15	14	53	53	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	376										
15	14	53	53	3.0	0	0	Chord	4/4	4	2	3/4	1/2	3/2	377										
