mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=86.7	87.0	𝅘𝅥	86.7	0.0	
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0	Chris-									
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1	-tus,									
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	der									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	uns									
1	1	0	0	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	4										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	5										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	6										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	7										
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	8										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	9										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	10										
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	11										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	12										
1	1	0	0	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	13										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	14										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	15										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	16										
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	17	se-									
2	2	5	5	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
2	2	5	5	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	18	-lig									
2	2	6	6	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=86	86.0	𝅘𝅥	86.0	0.0	
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	19	macht,									
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	20										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	21										
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	22										
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	23										
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	24										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	25										
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	26										
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	27										
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	28										
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	29										
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	30										
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	31	kein'									
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	32	Bös's									
3	3	10	10	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=85.2	85.0	𝅘𝅥	85.2	0.0	
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	33	hat									
3	3	11	11	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	34	be-									
3	3	8	8	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	35										
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	36										
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	37										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	38										
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	39										
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	40										
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	41										
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	42										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	43										
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	44										
3	3	8	8	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	45										
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	46										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	47										
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	48										
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	49	-gan-									0
4	4	13	13	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0	
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	50										
4	4	14	14	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=87	87.0	𝅘𝅥	87.0	0.0	
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	51	-gen,									
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	52										1
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	53										
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	54										
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	55										
