mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	10	10	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	86											
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	87											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	88											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	89											
4	3	9	9	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	90											
4	3	10	10	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	91											
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	92											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	93											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	94											
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	95	blie-	-schrie-	-las-	fas-							1
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	96											1
5	4	15	15	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
5	4	15	15	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	97											
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
5	4	13	13	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	98											2
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	99											2
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	100											2
5	4	15	15	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	101											2
5	4	31/2	31/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	102											2
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	103											
5	4	13	13	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	104											3
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	105											
5	4	13	13	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	106											4
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	107											4
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	108											4
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	109											4
5	4	15	15	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	110											
5	4	13	13	1.0	0	0	Chord	4/4	2	3	1/4	1/4	1	111											
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	3	1/8	1/8	1	112											
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	3	1/8	1/8	1	113											
5	4	15	15	2.0	1/2	1/2	Chord	4/4	2	3	1/2	1/2	1	114											
5	4	13	13	1.0	0	0	Chord	4/4	3	3	1/4	1/4	1	115											
5	4	14	14	0.5	1/4	1/4	Chord	4/4	3	3	1/8	1/8	1	116											
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	3	3	1/8	1/8	1	117											
5	4	15	15	2.0	1/2	1/2	Chord	4/4	3	3	1/2	1/2	1	118											
5	4	13	13	1.0	0	0	Chord	4/4	4	3	1/4	1/4	1	119											
5	4	14	14	0.5	1/4	1/4	Chord	4/4	4	3	1/8	1/8	1	120											
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	4	3	1/8	1/8	1	121											
5	4	15	15	2.0	1/2	1/2	Chord	4/4	4	3	1/2	1/2	1	122											
6	5	17	17	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	123	-ben,	-ben,	-sen,	-sen;							
6	5	17	17	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	124											
