mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	63									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	64									
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	65									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	66									
4	3	11	11	1.5	1/2	1/2	Chord	4/4	2	2	3/8	1/4	3/2	67									
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	68									
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	69	See-	Qual							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	70	-le	und							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	71	mein	Pein,							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	72	in	ruhn							
5	4	13	13	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	73									
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	74									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	75									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	76									
5	4	13	13	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	77									0
5	4	27/2	27/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	78									0
5	4	55/4	55/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	79									0
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	80									
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	81									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	82									
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	83									
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	84									
5	4	13	13	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	85									
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	86									
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	87									
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	88									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	89									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	90									
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	91	A-	bis							
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	92	-bra-	am							
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	93	-hams	jüng-							
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	94									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	95	Schooss	-sten							
6	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	96									
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	97									
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	98									
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	99									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	100									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	101									
