mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0								Die Seele.						
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0								Christus.						
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0	1. Hast	dass	6. Rich-	dass							
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1	du	ich	-te	ich							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2	denn,	die	dich,	dein							
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	3											
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	4											
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	5											
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	6											
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	7											
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	8											
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	9											
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	10											
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	11											
2	2	3	3	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	12	Je-	Stun-	Lieb-	See-							
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	13	-su,	-de	-ste,	-len-							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	14	dein	der	nach	-freund							
2	2	3	3	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	15											
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	16											
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	17											
2	2	3	3	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	18											
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	19											
