piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus	staff_9_instrument	staff_9_ambitus	staff_10_instrument	staff_10_ambitus	staff_11_instrument	staff_11_ambitus	staff_12_instrument	staff_12_ambitus	staff_13_instrument	staff_13_ambitus	staff_14_instrument	staff_14_ambitus	staff_15_instrument	staff_15_ambitus	staff_16_instrument	staff_16_ambitus	staff_17_instrument	staff_17_ambitus	staff_18_instrument	staff_18_ambitus	staff_19_instrument	staff_19_ambitus	staff_20_instrument	staff_20_ambitus	staff_21_instrument	staff_21_ambitus	staff_22_instrument	staff_22_ambitus	staff_23_instrument	staff_23_ambitus
B011	1: 4/4	1: 0	10	10	40.0	10	10	40.0		218.0	270	63	0	0	0	Johann S. Bach (1685-1750) Michael Franck (1609-1667)	11. Ach wie flüchtig, ach wie nichtig					Michael Franck (1609-1667)			2018-03-15	3.02	Linux	http://musescore.com/user/1685616/scores/5015804		11. Ach wie flüchtig, ach wie nichtig	(Cant. 26. Ach wie flüchtig, B. A. 5 I. 216, BWV. 26.6)	Michael Franck (1609-1667)	"Johann S. Bach (1685-1750)
 Michael Franck (1609-1667)"	3.6.2	2.5.0	MS3	MS3/B011.mscx	False	24-77 (C1-F5)		Soprano/Alto	59-77 (B3-F5)	Tenor/Bass	36-65 (C2-F4)	Contrabass	24-48 (C1-C3)																																								
B012	1: 4/4	1: 1	12	10	40.0	17	14	56.0		201.5	275	77	0	0	0	J.S. Bach (Orig. Valentin Schumannsches G.B. 1539) 	12. Allein Gott in der Höh' sei Ehr'					Nic. Decius 1526			2017-03-22	3.02	Linux	http://musescore.com/user/1685616/scores/3615206		12. Allein Gott in der Höh' sei Ehr'	(B.A. 39. No. 8, BWV 260)	Nic. Decius 1526	J.S. Bach (Orig. Valentin Schumannsches G.B. 1539) 	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B012.mscx	False	31-74 (G1-D5)		Soprano/Alto	57-74 (A3-D5)	Tenor/Bass	43-65 (G2-F4)	Contrabass	31-50 (G1-D3)	Violoncello	59-62 (B3-D4)																																						
B013	1: 4/4	1: 3	12	10	40.0	17	14	56.0		209.0	261	67	0	0	0	J.S. Bach (Orig. Valentin Schumannsches G.B. 1539) 	12. Allein Gott in der Höh' sei Ehr'					Nic. Decius 1526			2017-03-22	3.02	Linux	http://musescore.com/user/1685616/scores/5016050		13. Allein Gott in der Höh' sei Ehr'	(Cant. 104. Du Hirte Israel, höre. B.A. 23, 116. BWV 104.6)	Cornelius Becker 1602	"J.S. Bach
Nic. Decius 1526
 (Orig. Valentin Schumannsches G.B. 1539) "	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B013.mscx	False	32-76 (G#1-E5)		Soprano/Alto	61-76 (C#4-E5)	Tenor/Bass	44-66 (G#2-F#4)	Contrabass	32-45 (G#1-A2)																																								
B014	1: 4/4	1: 1	12	10	40.0	17	14	56.0		851.0	1120	76	0	0	0	J.S. Bach  Nic. Decius 1526 Val. Schumannsches G.B>. 1539	14. Allein Gott in der Höh' sei Ehr'					Wolfgang Musculus ? 1531 ui 1533			2018-03-16	3.02	Linux	http://musescore.com/user/1685616/scores/5016599		14. Allein Gott in der Höh' sei Ehr'	(Cant. 112. Der Herr ist mein getreuer Hirt B. A. 24, 48, BWV 112.5) 	Wolfgang Musculus ? 1531 u. 1533	"J.S. Bach (1685-1750)
  Nic. Decius 1526
 Val. Schumannsches G.B. 1539"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B014.mscx	False	31-74 (G1-D5)		Horn in F	55-74 (G3-D5)	Soprano/Alto	60-74 (C4-D5)	Tenor/Bass	43-64 (G2-E4)	Oboe	67-74 (G4-D5)	Oboe	60-71 (C4-B4)	Voice	60-74 (C4-D5)	Voice	43-64 (G2-E4)	Voice	60-74 (C4-D5)	Voice	43-64 (G2-E4)	Violin	67-74 (G4-D5)	Violin	60-69 (C4-A4)	Viola	52-64 (E3-E4)	Contrabass	31-43 (G1-G2)	Violoncello	43-55 (G2-G3)																		
B015	1: 4/4	1: 2	22	20	78.0	30	27	106.0		380.0	414	97	0	0	0	J.S. Bach (B.A. 39, No. 9, Bach Choralgesänge, Breitkopf)	15. Allein zu dir, Herr Jesu Christ, BWV 261.								2016-10-12	3.02	Linux	http://musescore.com/user/1685616/scores/2753961		15. Allein zu dir, Herr Jesu Christ	 (B.A. 39, No. 9, BWV 261)	J. Schneesing 1542	"J.S. Bach (1685-1750)
Val. Babst. G.B. 1545"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B015.mscx	False	33-79 (A1-G5)		Soprano/Alto	61-79 (C#4-G5)	Tenor/Bass	45-66 (A2-F#4)	Violoncello	45-62 (A2-D4)	Contrabass	33-50 (A1-D3)																																						
B016	1: 4/4	1: 0	18	16	64.0	25	22	88.0		341.0	407	108	0	0	0										2016-10-12	3.02	Linux	http://musescore.com/user/1685616/scores/5034198		16. Allein zu dir, Herr Jesu Christ	(Cant. 33, B.A. 7, 114, BWV 33.6) 	J. Schneesing 1542	"J.S. Bach (1685-1750) 
Val. Babst. G.B. 1545"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B016.mscx	False	26-77 (D1-F5)		Soprano/Alto	60-77 (C4-F5)	Tenor/Bass	38-65 (D2-F4)	Tenor	57-65 (A3-F4)	Bass	48-62 (C3-D4)	Contrabass	26-48 (D1-C3)																																				
B017	1: 4/4	1: 2	12	12	48.0	16	16	64.0		242.0	258	70	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5034521		17. Alle Menschen müssen sterben	(B. A. 39, No 10, BWV 262 )	"Johann Georg Albinus 1652
(Joh. Rosenmüller ?)"	"J.S. Bach (1685-1750)
Joh. Hintze 1678"	3.6.2	2.5.0	MS3	MS3/B017.mscx	False	26-74 (D1-D5)		Soprano/Alto	59-74 (B3-D5)	Tenor/Bass	38-59 (D2-B3)	Bass	45-57 (A2-A3)	Contrabass	26-45 (D1-A2)																																						
B018	1: 4/4	1: 0	12	12	48.0	16	16	64.0		240.0	285	77	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5034587		18. Alle Menschen müssen sterben	(Cant 162: 'Ach, ich sehe, jetzt da ich zur Hochzeit gehe'. B.A. 33, 46, BWV 162.6)	"Johann Georg Albinus 1652
(Joh. Rosenmüller ?)"	"J.S. Bach (1685-1750)
Her Mel. ""Jesu der du meine Seele"" nachgebildet 
(Umbildung von Bach?)"	3.6.2	2.5.0	MS3	MS3/B018.mscx	False	28-76 (E1-E5)		Soprano/Alto	59-76 (B3-E5)	Tenor/Bass	40-65 (E2-F4)	Contrabass	28-48 (E1-C3)																																								
B019	1: 4/4	1: 1	12	12	48.0	12	12	48.0		241.0	305	83	0	0	0	J.S. Bach (Nach J.B. Königs, Choralb. 1738, umgebildet)	19. Alles ist an Gottes Segen					Nürnberg 1676			2017-03-21	3.02	Linux	http://musescore.com/user/1685616/scores/3607576		19. Alles ist an Gottes Segen	(B.A. 39. No 11, BWV 263)	Nürnberg 1676	"J.S. Bach (Nach J.B. Königs, Choralb. 1738, umgebildet)
From: Bach Choral-Gesänge, edition Breitkopf nr. 3765"	3.6.2	2.5.0	MS3	MS3/B019.mscx	False	26-76 (D1-E5)		Soprano/Alto	57-76 (A3-E5)	Tenor/Bass	38-66 (D2-F#4)	Contrabass	26-50 (D1-D3)																																								
B020	1: 4/4	1: 1	11	10	40.0	11	10	40.0		188.5	187	55	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5034934		20. Als der gütige Gott 	(B. A. 39, No.12, BWV 264)	M. Weisse 1531	"J.S. Bach (1685-1750)
Mich. Weiss 1531   Joh. Crüger 1640"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B020.mscx	False	26-74 (D1-D5)		Soprano/Alto	59-74 (B3-D5)	Tenor/Bass	38-64 (D2-E4)	Alto	64-67 (E4-G4)	Contrabass	26-43 (D1-G2)																																						
