piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus	staff_9_instrument	staff_9_ambitus	staff_10_instrument	staff_10_ambitus	staff_11_instrument	staff_11_ambitus	staff_12_instrument	staff_12_ambitus	staff_13_instrument	staff_13_ambitus	staff_14_instrument	staff_14_ambitus	staff_15_instrument	staff_15_ambitus	staff_16_instrument	staff_16_ambitus	staff_17_instrument	staff_17_ambitus	staff_18_instrument	staff_18_ambitus	staff_19_instrument	staff_19_ambitus	staff_20_instrument	staff_20_ambitus	staff_21_instrument	staff_21_ambitus	staff_22_instrument	staff_22_ambitus	staff_23_instrument	staff_23_ambitus
B091	1: 4/4	1: 3	20	20	80.0	20	20	80.0		366.0	357	92	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5123860		91. Es ist genug; so nimm, Herr, meinen Geist	(Cant. 60. O Ewigkeit, du Donnerwort. B.A. 12 II; 190,  BWV 60 #5)	Franz Joach. Burmeister 1662	"J.S. Bach (1685-1750)
Joh. Rud. Ahle 1662"	3.6.2	2.5.0	MS3	MS3/B091.mscx	False	33-76 (A1-E5)		Soprano/Alto	59-76 (B3-E5)	Tenor/Bass	45-67 (A2-G4)	Contrabass	33-49 (A1-C#3)																																								
B092	1: 4/4	1: -2	12	11	40.0	17	15	56.0		520.0	606	67	0	0	0	Joh. Walter G.B. 1524	92. Es spricht der Unweisen Mund wohl					Martin Luther 1523			2018-02-26	3.02	Linux	http://musescore.com/user/1685616/scores/4992796		92. Es spricht der Unweisen Mund wohl	(B.A. 39, No 55, BWV 308))	Martin Luther (1483-1546)	"J.S. Bach (1685-1750)
Johann Walter (1496-1570)"	3.6.2	2.5.0	MS3	MS3/B092.mscx	False	29-77 (F1-F5)		Soprano/Alto	60-77 (C4-F5)	Tenor/Bass	41-67 (F2-G4)	Contrabass	29-46 (F1-Bb2)	Voice	60-77 (C4-F5)	Voice	41-67 (F2-G4)	Voice	60-77 (C4-F5)	Voice	41-67 (F2-G4)																																
B093	1: 4/4	1: -2	15	14	52.0	22	20	76.0		208.0	242	84	0	0	0	J.S. Bach Josch. a Burch 1594 	93. Es steh'n vor Gottes Throne 					Ludwig Helmbold 1595			2018-03-12	3.02	Linux	http://musescore.com/user/1685616/scores/5010669		93. Es steh'n vor Gottes Throne 	(B.A. 39. No 56, BWV 309)	Ludwig Helmbold (1532-1598)	"Johann.S. Bach (1685-1750)
 Joachim à Burck (1546-1610) "	3.6.2	2.5.0	MS3	MS3/B093.mscx	False	38-72 (D2-C5)		Soprano/Alto	58-72 (Bb3-C5)	Tenor/Bass	38-64 (D2-E4)																																										
B094	1: 4/4	1: 1	10	10	40.0	10	10	40.0		200.0	214	64	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5124558		94. Es wird schier der letzte Tag herkommen	(B.A. 39, No. 57, BWV 310)	Michael Weisse 1531	"J.S. Bach (1685-1750)
Michael Weisse 1531"	3.6.2	2.5.0	MS3	MS3/B094.mscx	False	28-74 (E1-D5)		Soprano/Alto	57-74 (A3-D5)	Tenor/Bass	40-64 (E2-E4)	Contrabass	28-48 (E1-C3)																																								
B095	1: 4/4	1: 2	19	18	68.0	26	24	92.0		335.0	367	97	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5124748		95. Es woll' uns Gott genädig sein	(B.A. 39, No. 58, BWV 311)	M. Luther 1524	"J.S. Bach (1685-1750)
Strassburger Kirchenamt 1525 (1524)"	3.6.2	2.5.0	MS3	MS3/B095.mscx	False	30-78 (F#1-F#5)		Soprano/Alto	59-78 (B3-F#5)	Tenor/Bass	42-66 (F#2-F#4)	Contrabass	30-50 (F#1-D3)																																								
B096	1: 4/4	1: 0	18	17	64.0	24	22	84.0		315.0	403	121	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5197465		96. Es woll' uns Gott genädig sein	(B.A. 39, No. 59, BWV 312)	M. Luther 1524	"J.S. Bach (1685-1750)
Strassburger Kirchenamt (1524)"	3.6.2	2.5.0	MS3	MS3/B096.mscx	False	28-76 (E1-E5)		Soprano/Alto	55-76 (G3-E5)	Tenor/Bass	40-65 (E2-F4)	Contrabass	28-45 (E1-A2)																																								
B097	1: 4/4	1: 2	19	18	72.0	24	23	92.0	[[[7], [8]]]	885.75	945	116	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5197942		97. Es woll' uns Gott genädig sein	(Cantate 69. Lobe den Herrn, meine Seele. B.A. 16, 325, BWV 69/6)	M. Luther 1524	"J.S. Bach (1685-1750)
Strassburger Kirchenamt 1524"	3.6.2	2.5.0	MS3	MS3/B097.mscx	False	26-86 (D1-D6)		B♭ Trumpet	62-86 (D4-D6)	Timpani	45-50 (A2-D3)	Soprano	62-78 (D4-F#5)	Alto	55-71 (G3-B4)	Soprano/Alto	55-78 (G3-F#5)	Tenor/Bass	38-68 (D2-G#4)	Tenor	52-68 (E3-G#4)	Bass	42-59 (F#2-B3)	Violoncello	38-59 (D2-B3)	Contrabass	26-47 (D1-B2)																										
B098	1: 3/4	1: 1	26	26	78.0	34	34	102.0		390.0	269	67	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5126360		98. Freu dich sehr, o meine Seele	(Cant. 70. Wachet, betet, seid bereit. B.A. 16, 354, BWV 70 #7)	1620	"J.S. Bach (1685-1750)
Franz. Psalmen. Genf 1551"	3.6.2	2.5.0	MS3	MS3/B098.mscx	False	31-76 (G1-E5)		Soprano/Alto	57-76 (A3-E5)	Tenor/Bass	43-64 (G2-E4)	Contrabass	31-48 (G1-C3)																																								
B099	1: 3/4	1: 0	27	27	81.0	36	36	108.0		645.0	451	86	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5199077		99. Freu dich sehr, o meine Seele	(Cant. 19. Es erhub sich ein Streit. B.A. 2, 288, BWV 19/7)	1620	"J.S. Bach (1685-1750)
Franz. Psalmen. Genf 1551"	3.6.2	2.5.0	MS3	MS3/B099.mscx	False	31-84 (G1-C6)		B♭ Trumpet	60-84 (C4-C6)	Timpani	43-48 (G2-C3)	Soprano/Alto	60-81 (C4-A5)	Tenor/Bass	43-67 (G2-G4)	Contrabass	31-48 (G1-C3)																																				
B100	1: 4/4	1: -2	13	13	52.0	17	17	68.0		266.0	292	83	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5199159		100. Freu' dich sehr, o meine Seele	(Cant. 194. Höchst erwünschtes Freudenfest. B. A. 29, 124, BWV 194/6)	Joh. Heermann. 1630	"J.S. Bach (1685-1750)
Französische Psalmen. Genf 1551"	3.6.2	2.5.0	MS3	MS3/B100.mscx	False	29-79 (F1-G5)		Soprano/Alto	60-79 (C4-G5)	Tenor/Bass	41-67 (F2-G4)	Contrabass	29-46 (F1-Bb2)																																								
B101	1: 4/4	1: 0	13	13	52.0	17	17	68.0		260.0	267	77	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5199368		101. Freu' dich sehr , o meine Seele	(Cant. 25. Es ist nichts Gesundes an meinem Liebe. B. A. 5 I, 188,  BWV 25/6)	Joh. Heermann. 1630	"J.S. Bach (1685-1750)
Franz. Psalmen 1551"	3.6.2	2.5.0	MS3	MS3/B101.mscx	False	31-81 (G1-A5)		Soprano/Alto	62-81 (D4-A5)	Tenor/Bass	43-67 (G2-G4)	Contrabass	31-48 (G1-C3)																																								
B102	1: 4/4	1: 1	13	13	52.0	17	17	68.0		270.0	287	76	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5199415		102. Freu' dich sehr, o meine Seele	(Cant. 32. Liebester Jesu, mein Verlangen. B. A. 7,80, BWV 32/6)	Paul Gerhardt. 1648	"J.S. Bach (1685-1750)
Franz. Psalmen. Genf 1551"	3.6.2	2.5.0	MS3	MS3/B102.mscx	False	26-76 (D1-E5)		Soprano/Alto	57-76 (A3-E5)	Tenor/Bass	38-64 (D2-E4)	Contrabass	26-45 (D1-A2)																																								
B103	1: 4/4	1: 3	14	14	56.0	19	19	76.0		310.0	328	87	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5199509		103. Freu' dich sehr, o meine Seele	(Cant. 30. Freue dich, erlöste Schaar. B.A. 5 T, 360, BWV 30/6)	Joh. Olearius 1671	"J.S. Bach (1685-1750)
Franz. Psalmen. Genf 1551"	3.6.2	2.5.0	MS3	MS3/B103.mscx	False	28-78 (E1-F#5)		Soprano/Alto	59-78 (B3-F#5)	Tenor/Bass	40-68 (E2-G#4)	Contrabass	28-45 (E1-A2)																																								
B104	1: 4/4	1: -2	13	13	52.0	17	17	68.0		262.0	277	72	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5199952		104. Freu' dich sehr, o meine Seele	(Cant. 39. Brich dem Hungrigen dein Brod B. A. 7, 318, BWV 39/7)	Dav. Denicke. 1676	"J.S. Bach (1685-1750)
Franz. Psalmen. Genf 1551"	3.6.2	2.5.0	MS3	MS3/B104.mscx	False	29-79 (F1-G5)		Soprano/Alto	60-79 (C4-G5)	Tenor/Bass	41-65 (F2-F4)	Contrabass	29-50 (F1-D3)																																								
B105	1: 4/4	1: -3	20	20	80.0	20	20	80.0		402.0	471	124	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5127000		105. Freuet euch, ihr Christen alle	(Cant. 40 Dazu ist erschienen. B.A. 7, 394, BWV 40 #8)	Christian Kevmann 1646	"J.S. Bach (1685-1750)
Andr. Hammerschmidt 1646"	3.6.2	2.5.0	MS3	MS3/B105.mscx	False	29-77 (F1-F5)		Soprano/Alto	60-77 (C4-F5)	Voice	65-70 (F4-Bb4)	Tenor/Bass	41-67 (F2-G4)	Contrabass	29-49 (F1-Db3)																																						
B106	1: 4/4	1: -2	11	10	36.0	16	14	52.0		181.0	260	73	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5128636		106. Für Freuden lasst uns springen	(B.A. 39, No. 60, BWV 313)		"J.S. Bach (1685-1750)
Casp. Peltsch 1648"	3.6.2	2.5.0	MS3	MS3/B106.mscx	False	31-77 (G1-F5)		Soprano/Alto	60-77 (C4-F5)	Voice	60-69 (C4-A4)	Tenor/Bass	43-67 (G2-G4)	Contrabass	31-50 (G1-D3)																																						
B107	1: 4/4	1: 2	11	10	40.0	11	10	40.0		160.0	188	68	0	0	0								put into MuseScore by Gertim			3.02	Linux	http://musescore.com/user/1685616/scores/5136741		107. Gelobet seist du, Jesu Christ	(B.A. 39, No. 61, BWV 314)	M. Luther 1524	"J.S. Bach (1685-1750)
Joh. Walther. G.B. 1524"	3.6.2	2.5.0	MS3	MS3/B107.mscx	False	45-78 (A2-F#5)		Soprano/Alto	59-78 (B3-F#5)	Tenor/Bass	45-66 (A2-F#4)																																										
B108	1: 4/4	1: 0	11	10	41.0	11	10	41.0		215.0	227	59	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5199979		108. Gelobet seist du, Jesu Christ	(Cant. 64. Sehet, welch'eine Liebe. B.A. 16, 118, BWV 64/2)	M. Luther 1524	"J.S. Bach (1685-1750)
Joh. Walther. G. B. 1524"	3.6.2	2.5.0	MS3	MS3/B108.mscx	False	31-76 (G1-E5)		Soprano/Alto	57-76 (A3-E5)	Tenor/Bass	43-65 (G2-F4)	Contrabass	31-48 (G1-C3)																																								
B109	1: 4/4	1: 1	11	10	40.0	11	10	40.0		344.0	446	75	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5203054		109. Gelobet seist du, Jesu Christ	(Cant. 91. Gelobet seist du, Jesu Christ. B.A. 22, 32, BWV 91/6)	M. Luther 1524	"J.S. Bach (1685-1750)
Joh. Walther. G.B. 1521"	3.6.2	2.5.0	MS3	MS3/B109.mscx	False	24-79 (C1-G5)		Horn in F	57-79 (A3-G5)	Timpani	43-50 (G2-D3)	Soprano/Alto	57-76 (A3-E5)	Tenor/Bass	36-67 (C2-G4)	Tenor	54-67 (F#3-G4)	Contrabass	24-45 (C1-A2)																																		
B110	1: 4/4	1: 2	11	10	40.0	11	10	40.0		207.0	293	77	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5203167		110. Gelobet seist du, Jesu Christ	(Weihnachts-Oratorium, B.A. 5 II, 110, BWV 248/28)	M. Luther 1524	"J.S. Bach (1685-1750)
Joh. Walther. G.B. 1524"	3.6.2	2.5.0	MS3	MS3/B110.mscx	False	26-78 (D1-F#5)		Soprano/Alto	59-78 (B3-F#5)	Tenor/Bass	38-66 (D2-F#4)	Contrabass	26-52 (D1-E3)																																								
B111	1: 4/4	1: 1	14	13	48.0	20	18	68.0		230.0	313	83	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5127128		111. Gib dich zufrieden und sei stille	(B.A. 39, No. 62, BWV 315)	P. Gerhardt. 1666	J.S. Bach (1685-1750)	3.6.2	2.5.0	MS3	MS3/B111.mscx	False	31-79 (G1-G5)		Soprano/Alto	59-79 (B3-G5)	Tenor/Bass	43-64 (G2-E4)	Contrabass	31-48 (G1-C3)																																								
B112	1: 4/4	1: -2	12	12	40.0	19	19	64.0		204.5	272	76	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5128533		112. Gott, der du  selber bist das Licht	(B.A. 39, No. 63, BWV 316)	Joh. Rist 1641	"J.S. Bach (1685-1750)
J. Crüger 1648"	3.6.2	2.5.0	MS3	MS3/B112.mscx	False	28-77 (E1-F5)		Soprano/Alto	62-77 (D4-F5)	Voice	65-74 (F4-D5)	Tenor/Bass	40-67 (E2-G4)	Voice	46-58 (Bb2-Bb3)	Contrabass	28-46 (E1-Bb2)																																				
B113	1: 4/4	1: 2	16	16	64.0	28	28	112.0		320.0	364	107	0	0	0								put into MuseScore by Gertim			3.02	Linux	http://musescore.com/user/1685616/scores/5137721		113. Gott der Vater wohn' uns bei	(B.A. 39, No. 64, BWV 317)	M. Luther 1524	"J.S. Bach (1685-1750)
Joh Walther G.B. 1524"	3.6.2	2.5.0	MS3	MS3/B113.mscx	False	28-76 (E1-E5)		Soprano/Alto	57-76 (A3-E5)	Tenor/Bass	40-66 (E2-F#4)	Contrabass	28-47 (E1-B2)																																								
B114	1: 4/4	1: 3	8	8	32.0	12	12	48.0		171.0	230	59	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5207280		114. Gott des Himmels und der Erden	(Weihnachts Oratorium B.A. 5 II, No. 208, BWV 248/53)		"J.S. Bach (1685-1750)
Heinr. Albert 1644"	3.6.2	2.5.0	MS3	MS3/B114.mscx	False	28-76 (E1-E5)		Soprano/Alto	59-76 (B3-E5)	Tenor/Bass	40-64 (E2-E4)	Contrabass	28-45 (E1-A2)																																								
B115	1: 4/4	1: 1	13	13	52.0	13	13	52.0		260.0	247	70	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5213351		115. Gottes Sohn ist kommen	(B.A. 39, No. 65, BWV 318)	J. Horn 1544	"J.S. Bach (1685-1750)
Michael Weisse 1531"	3.6.2	2.5.0	MS3	MS3/B115.mscx	False	31-79 (G1-G5)		Soprano/Alto	55-79 (G3-G5)	Tenor/Bass	43-64 (G2-E4)	Contrabass	31-47 (G1-B2)																																								
B116	1: 4/4	1: 1	12	11	44.0	12	11	44.0		220.0	267	73	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5213444		116. Gott hat das Evangelium	(B.A. 39, No. 66, BWV 319)	Erasmus Alberus 1548	"J.S. Bach (1685-1750)
Erasmus Alberus 1548"	3.6.2	2.5.0	MS3	MS3/B116.mscx	False	28-74 (E1-D5)		Soprano/Alto	59-74 (B3-D5)	Tenor/Bass	40-67 (E2-G4)	Contrabass	28-47 (E1-B2)																																								
B117	1: 3/4	1: -1	38	38	114.0	38	38	114.0		570.0	482	122	0	0	0											3.02		http://musescore.com/user/1685616/scores/5218159		117. Gott lebet noch	(B.A. 39, No. 67, BWV 320)	Joh. Friedr. Zihn 1692 (1682)	"J.S. Bach (1685-1750)
Freilinghausen's G.B. II 1714"	3.6.2	2.5.0	MS3	MS3/B117.mscx	False	29-77 (F1-F5)		Soprano/Alto	57-77 (A3-F5)	Tenor/Bass	41-67 (F2-G4)	Contrabass	29-48 (F1-C3)																																								
B118	1: 3/4	1: -2	16	16	48.0	24	24	72.0		240.0	192	49	0	0	0											3.02		http://musescore.com/user/1685616/scores/5219102		118. Gottlob, es geht nunmehr zu Ende	(B.A. 39, No. 68, BWV 321)	Christian Weise 1682	Wahrscheinlich von J.S. Bach (1685-1750)	3.6.2	2.5.0	MS3	MS3/B118.mscx	False	29-77 (F1-F5)		Soprano/Alto	60-77 (C4-F5)	Tenor/Bass	41-67 (F2-G4)	Contrabass	29-46 (F1-Bb2)																																								
B119	1: 4/4	1: 0	22	21	80.0	29	27	104.0		395.0	438	132	0	0	0											3.02		http://musescore.com/user/1685616/scores/5220426		119. Gott sei gelobet und gebenedeiet	(B.A. 39, No. 69, BWV 322)	M. Luther 1524	"J.S. Bach (1685-1750)
J. Walter G.B. 1524"	3.6.2	2.5.0	MS3	MS3/B119.mscx	False	24-74 (C1-D5)		Soprano/Alto	55-74 (G3-D5)	Tenor/Bass	36-65 (C2-F4)	Contrabass	24-43 (C1-G2)																																								
B120	1: 4/4	1: 3	11	11	44.0	11	11	44.0		220.0	126	34	0	0	0											3.02		http://musescore.com/user/1685616/scores/5224760		120. Gott sei uns gnädig und barmherzig	(B.A. 39, No. 70,  BWV 323 )	Nach 1 Mose, 6, 24-26	"J.S. Bach (1685-1750)
G. Rhau, Enchiridion 1535"	3.6.2	2.5.0	MS3	MS3/B120.mscx	False	30-76 (F#1-E5)		Soprano/Alto	61-76 (C#4-E5)	Tenor/Bass	42-66 (F#2-F#4)	Contrabass	30-45 (F#1-A2)																																								
B121	1: 4/4	1: 1	11	11	44.0	11	11	44.0		265.0	111	30	0	0	0											3.02		http://musescore.com/user/1685616/scores/5231245		121. Meine Seele erhebt den Herren	(B.A. 39, No. 71,  BWV 324 )	Evang. Lucä, 1, 16u. 47 	"J.S. Bach (1685-1750)
G. Rhau, Enchiridion 1535 und 
Jos. Klug 1535"	3.6.2	2.5.0	MS3	MS3/B121.mscx	False	28-74 (E1-D5)		Soprano/Alto	59-74 (B3-D5)	Tenor/Bass	40-59 (E2-B3)	Voice	62-69 (D4-A4)	Voice	50-54 (D3-F#3)	Contrabass	28-43 (E1-G2)																																				
B122	1: 4/4	1: -2	22	22	88.0	22	22	88.0		530.0	330	68	0	0	0											3.02		http://musescore.com/user/1685616/scores/5232162		122. Meine Seele erhebt den Herren	(Cant. 10. Meine Seele erhebt den Herrn. B. A. 1, 303, BWV 10/7)	"(Lobgesang Mariä (Magnificat) Vers 10 u. 11.)
Jos. Klug G.B. 1535"	"J.S. Bach (1685-1750)
Jos. Klug G.B. 1535"	3.6.2	2.5.0	MS3	MS3/B122.mscx	False	29-77 (F1-F5)		Soprano/Alto	59-77 (B3-F5)	Tenor/Bass	41-67 (F2-G4)	Contrabass	29-50 (F1-D3)	Violoncello	41-62 (F2-D4)																																						
B123	1: 4/4	1: -1	17	17	68.0	17	17	68.0		330.0	384	112	0	0	0											3.02		http://musescore.com/user/1685616/scores/5232413		123. Heilig, heilig/Sanctus, sanctus	(B.A. 39, No. 72,  BWV 325)	Jes. 6: 3 u. Ev. Matth. 21, 9	"Handschr. Choralbuch, Steinau 1726
Umbildung veilleicht von Bach"	3.6.2	2.5.0	MS3	MS3/B123.mscx	False	24-77 (C1-F5)		Soprano/Alto	60-77 (C4-F5)	Tenor/Bass	36-65 (C2-F4)	Contrabass	24-48 (C1-C3)																																								
B124	1: 4/4	1: 0	14	13	48.0	19	17	64.0		243.0	248	62	0	0	0											3.02		http://musescore.com/user/1685616/scores/5232582		124. Helft mir Gott's Güte preisen	(Cant. 28. Gottlob, nun geht das Jahr zu Ende. B.A. 5, I 272,  BWV 28/6 )	Paul Eber vor 1569	"J.S. Bach (1685-1750)
Wolfg. Figulus 1575"	3.6.2	2.5.0	MS3	MS3/B124.mscx	False	31-76 (G1-E5)		Soprano/Alto	57-76 (A3-E5)	Tenor/Bass	43-65 (G2-F4)	Contrabass	31-48 (G1-C3)																																								
B125	1: 4/4	1: 0	14	13	48.0	19	17	64.0		240.0	246	66	0	0	0											3.02		http://musescore.com/user/1685616/scores/5233198		125. Helft mir Gott's Güte preisen	(Cant. 16. Herr Gott dir loben wir. B.A. 2, 108,  BWV 16/6)	Paul Eber vor 1569	"J.S. Bach (1685-1750)
Wolfg. Figulus 1575"	3.6.2	2.5.0	MS3	MS3/B125.mscx	False	33-76 (A1-E5)		Soprano/Alto	61-76 (C#4-E5)	Tenor/Bass	45-67 (A2-G4)	Contrabass	33-48 (A1-C3)																																								
B126	1: 4/4	1: 0	14	13	48.0	19	17	64.0		240.0	299	78	0	0	0											3.02		http://musescore.com/user/1685616/scores/5233249		126. Helft mir Gott's Güte preisen	(Cant. 183.  Sie werden euch in den Bann thun. B.A. 37, 74,  BWV 183/5)	P. Gerhardt 1653	"J.S. Bach (1685-1750)
Wolfg. Figulus 1575"	3.6.2	2.5.0	MS3	MS3/B126.mscx	False	33-76 (A1-E5)		Soprano/Alto	60-76 (C4-E5)	Tenor/Bass	45-65 (A2-F4)	Contrabass	33-48 (A1-C3)																																								
B127	1: 4/4	1: -2	12	12	40.0	17	17	56.0		200.0	225	57	0	0	0											3.02		http://musescore.com/user/1685616/scores/5234428		127. Herr Christe, der einig' Gott's Sohn 	(Cant. 164. Ihr, die ihr euch von Christu nennet. B.A. 33, 88,  BWV 164/6)	Elisabeth Creutziger 1524	"J.S. Bach (1685-1750)
Erfurt. Enchiridion 1524
"	3.6.2	2.5.0	MS3	MS3/B127.mscx	False	29-77 (F1-F5)		Soprano/Alto	60-77 (C4-F5)	Tenor/Bass	41-67 (F2-G4)	Contrabass	29-48 (F1-C3)																																								
B128	1: 4/4	1: -1	12	12	40.0	17	17	56.0		203.0	203	49	0	0	0											3.02		http://musescore.com/user/1685616/scores/5234454		128. Herr Christe, der einig' Gott's Sohn 	(Cant. 96. Herr Christ, der einig' Gott's Sohn. B.A. 22, 184,  BWV 96/6)	Elisabeth Creutziger 1524	"J.S. Bach (1685-1750)
Erfurt. Enchiridion 1524
"	3.6.2	2.5.0	MS3	MS3/B128.mscx	False	29-72 (F1-C5)		Soprano/Alto	57-72 (A3-C5)	Tenor/Bass	41-62 (F2-D4)	Contrabass	29-45 (F1-A2)																																								
B129	1: 3/4	1: -2	17	16	48.0	17	16	48.0		240.0	270	81	0	0	0											3.02		http://musescore.com/user/1685616/scores/5234598		129. Herr Gott, dich loben alle wir 	(B.A. 39, No. 73,  BWV 326)	Paul Ebert (1554 ?)	"J.S. Bach (1685-1750)
Französische Psalmen . Genf 1551
"	3.6.2	2.5.0	MS3	MS3/B129.mscx	False	26-77 (D1-F5)		Soprano/Alto	62-77 (D4-F5)	Tenor/Bass	38-63 (D2-Eb4)	Contrabass	26-48 (D1-C3)																																								
B130	1: 4/4	1: 2	10	10	40.0	10	10	40.0		396.0	408	49	0	0	0											3.02		http://musescore.com/user/1685616/scores/5234749		130. Herr Gott, dich loben alle wir *  		Paul Eber (1554 ?)	"
Franz. Psalmen. Genf 1551
"	3.6.2	2.5.0	MS3	MS3/B130.mscx	False	33-86 (A1-D6)		C Trumpet	69-86 (A4-D6)	Soprano	69-81 (A4-A5)	Soprano/Alto	64-81 (E4-A5)	Tenor/Bass	45-66 (A2-F#4)	Voice	57-66 (A3-F#4)	Bass	45-62 (A2-D4)	Contrabass	33-50 (A1-D3)	Violoncello	45-62 (A2-D4)																														
B131	1: 3/4	1: 0	17	16	48.0	17	16	48.0		742.0	725	82	0	0	0											3.02		http://musescore.com/user/1685616/scores/5235909		131. Herr Gott, dich loben alle wir 	(Cant. 130. Herr Gott, dich loben alle wir, B.A. 26, No. 268,  BWV 130/6)	Paul Eber 1554?	"J.S. Bach (1685-1750)
Franz. Psalmen 1551"	3.6.2	2.5.0	MS3	MS3/B131.mscx	False	24-84 (C1-C6)		C Trumpet	60-84 (C4-C6)	Timpani	43-48 (G2-C3)	Violin	67-79 (G4-G5)	Violin	64-72 (E4-C5)	Viola	59-71 (B3-B4)	Oboe	67-79 (G4-G5)	Oboe	64-72 (E4-C5)	Oboe	59-71 (B3-B4)	Soprano	67-79 (G4-G5)	Soprano/Alto	64-79 (E4-G5)	Tenor/Bass	36-67 (C2-G4)	Violoncello	36-60 (C2-C4)	Contrabass	24-48 (C1-C3)																				
B132	1: 3/4	1: 2	17	16	48.0	17	16	48.0		288.0	233	43	0	0	0											3.02		http://musescore.com/user/1685616/scores/5234855		"132. Herr Gott, dich loben alle wir
 "	(B.A. 39, No. 74,  BWV 327)	Bodo von Hodenberg 1648	"J.S. Bach (1685-1750)
Franz. Psalmen 1551"	3.6.2	2.5.0	MS3	MS3/B132.mscx	False	35-81 (B1-A5)		Soprano/Alto	66-81 (F#4-A5)	Tenor/Bass	47-67 (B2-G4)	Contrabass	35-50 (B1-D3)	Violoncello	47-62 (B2-D4)																																						
B133	1: 4/4	1: 0	57	56	193.0	80	79	265.0		960.0	1256	391	0	0	0											3.02		http://musescore.com/user/1685616/scores/5236130		133. Herr Gott, dich loben wir 	(B.A. 39, No. 75,  BWV 328)		"J.S. Bach (1685-1750)
J. Klugs G.B. 1535
"	3.6.2	2.5.0	MS3	MS3/B133.mscx	False	24-74 (C1-D5)		Soprano/Alto	55-74 (G3-D5)	Tenor/Bass	36-65 (C2-F4)	Contrabass	24-46 (C1-Bb2)																																								
B134	1: 4/4	1: 0	21	20	82.0	21	20	82.0		387.0	227	62	0	0	0											3.02		http://musescore.com/user/1685616/scores/5248961		"134. Herr Gott, dich loben wir
 "	(Cant. 119. Preise, Jerusalem, den Herrn. B.A. 24, 246,  BWV 119/9)	M. Luther 1529	"J.S. Bach (1685-1750)
J. Klug. G.B. 1535"	3.6.2	2.5.0	MS3	MS3/B134.mscx	False	29-76 (F1-E5)		Soprano/Alto	60-76 (C4-E5)	Tenor/Bass	41-69 (F2-A4)	Contrabass	29-48 (F1-C3)																																								
B135	1: 4/4	1: 2	17	16	64.0	17	16	64.0		321.0	373	93	0	0	0								put into MuseScore by Gertim			3.02	Linux	https://musescore.com/user/1685616/scores/5267350		135. Herr Gott, dich loben wir	(Cant. 120, man lobet dich in der Stille,  B.A.. 24, 284,  BWV 120/6)	M. Luther 1529	"J.S. Bach (1685-1750)
Val. Babst G.B. 1545
"	3.6.2	2.5.0	MS3	MS3/B135.mscx	False	26-74 (D1-D5)		Soprano/Alto	57-74 (A3-D5)	Tenor/Bass	38-66 (D2-F#4)	Contrabass	26-48 (D1-C3)																																								
B136	1: 4/4	1: -3	14	14	56.0	14	14	56.0		280.0	303	87	0	0	0								put into MuseScore by Gertim			3.02	Linux	https://musescore.com/user/1685616/scores/5273733		136. Herr, ich denk' an jene Zeit	(B.A.. 39, No. 75,  BWV 329)	Georg Mylius 1650	"J.S. Bach (1685-1750)
G.B. der Böhm. Brüder 1566"	3.6.2	2.5.0	MS3	MS3/B136.mscx	False	27-77 (Eb1-F5)		Soprano/Alto	58-77 (Bb3-F5)	Tenor/Bass	39-65 (Eb2-F4)	Double Bass	27-46 (Eb1-Bb2)																																								
