piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	composed_start	composed_end	composed_source	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	musicbrainz	mb:recording	spotify	ISRC	liturgical_occasion
B011	1: 4/4	1: 0	10	10	40.0	10	10	40.0		160.0	189	63	0	0	0	Johann Sebastian Bach	"Kantate, BWV 26 ""Ach wie flüchtig, ach wie nichtig"": VI. Choral ""Ach wie flüchtig, ach wie nichtig"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	11	Ach wie flüchtig, ach wie nichtig			Michael Franck (1609-1667)			2018-03-15	3.02	Linux	http://musescore.com/user/1685616/scores/5015804		11. Ach wie flüchtig, ach wie nichtig	(Cant. 26. Ach wie flüchtig, B. A. 5 I. 216, BWV. 26.6)	Michael Franck (1609-1667)	"Johann S. Bach (1685-1750)
 Michael Franck (1609-1667)"	3.6.2	2.5.1	MS3	MS3/B011.mscx	False	45-77 (A2-F5)		Soprano/Alto	59-77 (B3-F5)	Tenor/Bass	45-65 (A2-F4)					af784816-1ed5-3e98-afe2-ef21f90f1442				24th Sunday after Trinity
B012	1: 4/4	1: 1	12	10	40.0	17	14	56.0		160.0	216	77	0	0	0	Johann Sebastian Bach	"Choral, BWV 260 ""Allein Gott in der Höh sei Ehr"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	12	Allein Gott in der Höh' sei Ehr'			Nic. Decius 1526			2017-03-22	3.02	Linux	http://musescore.com/user/1685616/scores/3615206		12. Allein Gott in der Höh' sei Ehr'	(B.A. 39. No. 8, BWV 260)	Nic. Decius 1526	J.S. Bach (Orig. Valentin Schumannsches G.B. 1539) 	3.6.2	2.5.1	MS3	MS3/B012.mscx	False	43-74 (G2-D5)		Soprano/Alto	57-74 (A3-D5)	Tenor/Bass	43-65 (G2-F4)					b1c05c82-e6f6-34ce-9cfb-77d0999ca05f	ac02e145-c51c-423c-a6fb-dcae1f1952ae	0Q4VCHjXO1BcvrvpjgY0OF	NLY331107172	Unknown
B013	1: 4/4	1: 3	12	10	40.0	17	14	56.0		160.0	197	67	0	0	0	Johann Sebastian Bach	"Kantate, BWV 104 ""Du Hirte Israel, höre"": VI. Choral ""Der Herr ist mein getreuer Hirt"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	13	Allein Gott in der Höh' sei Ehr'			Nic. Decius 1526			2017-03-22	3.02	Linux	http://musescore.com/user/1685616/scores/5016050		13. Allein Gott in der Höh' sei Ehr'	(Cant. 104. Du Hirte Israel, höre. B.A. 23, 116. BWV 104.6)	Cornelius Becker 1602	"J.S. Bach
Nic. Decius 1526
 (Orig. Valentin Schumannsches G.B. 1539) "	3.6.2	2.5.1	MS3	MS3/B013.mscx	False	44-76 (G#2-E5)		Soprano/Alto	61-76 (C#4-E5)	Tenor/Bass	44-66 (G#2-F#4)					776cf6ae-72f9-31c9-aa98-98715b1bd678				Misericordias Domini
B014	1: 4/4	1: 1	12	10	40.0	17	14	56.0		160.0	210	69	0	0	0	Johann Sebastian Bach	"Kantate, BWV 112 ""Der Herr ist mein getreuer Hirt"": V. Choral ""Gutes und die Barmherzigkeit"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	14	Allein Gott in der Höh' sei Ehr'			Wolfgang Musculus ? 1531 ui 1533			2018-03-16	3.02	Linux	http://musescore.com/user/1685616/scores/5016599		14. Allein Gott in der Höh' sei Ehr'	(Cant. 112. Der Herr ist mein getreuer Hirt B. A. 24, 48, BWV 112.5) 	Wolfgang Musculus ? 1531 u. 1533	"J.S. Bach (1685-1750)
  Nic. Decius 1526
 Val. Schumannsches G.B. 1539"	3.6.2	2.5.1	MS3	MS3/B014.mscx	False	43-74 (G2-D5)		Soprano/Alto	60-74 (C4-D5)	Tenor/Bass	43-64 (G2-E4)					26547f61-161d-3ccd-bbc8-08014a3c057c				Misericordias Domini (2nd Sunday after Easter)
B015	1: 4/4	1: 2	22	20	78.0	30	27	106.0		280.0	299	97	0	0	0	Johann Sebastian Bach	Chorale Harmonization, BWV 261 “Allein zu dir, Herr Jesu Christ”	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	15	Allein zu dir, Herr Jesu Christ						2016-10-12	3.02	Linux	http://musescore.com/user/1685616/scores/2753961		15. Allein zu dir, Herr Jesu Christ	 (B.A. 39, No. 9, BWV 261)	J. Schneesing 1542	"J.S. Bach (1685-1750)
Val. Babst. G.B. 1545"	3.6.2	2.5.1	MS3	MS3/B015.mscx	False	45-79 (A2-G5)		Soprano/Alto	61-79 (C#4-G5)	Tenor/Bass	45-66 (A2-F#4)					c38d6b98-78da-4a9c-baa9-66c39d149da9	97d6648b-e288-4e83-bf9d-d14949c355c3	3KUoqXW1CWaOGnSIxwZgN7	NLY331107245	Unknown
B016	1: 4/4	1: 0	18	16	64.0	25	22	88.0		256.0	301	108	0	0	0	Johann Sebastian Bach	"Kantate, BWV 33 ""Allein zu dir, Herr Jesu Christ"": VI. Choral ""Ehr sei Gott in dem höchsten Thron"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	16	Allein zu dir, Herr Jesu Christ						2016-10-12	3.02	Linux	http://musescore.com/user/1685616/scores/5034198		16. Allein zu dir, Herr Jesu Christ	(Cant. 33, B.A. 7, 114, BWV 33.6) 	J. Schneesing 1542	"J.S. Bach (1685-1750) 
Val. Babst. G.B. 1545"	3.6.2	2.5.1	MS3	MS3/B016.mscx	False	45-77 (A2-F5)		Soprano/Alto	60-77 (C4-F5)	Tenor/Bass	45-65 (A2-F4)					479aab8d-ad9d-3c6a-9a6e-936aa79122ea				13th Sunday after Trinity
B017	1: 4/4	1: 2	12	12	48.0	16	16	64.0		192.0	202	70	0	0	0	Johann Sebastian Bach	"Choralsatz, BWV 262 ""Alle Menschen müssen sterben"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	17	Alle Menschen müssen sterben							3.02	Linux	http://musescore.com/user/1685616/scores/5034521		17. Alle Menschen müssen sterben	(B. A. 39, No 10, BWV 262 )	"Johann Georg Albinus 1652
(Joh. Rosenmüller ?)"	"J.S. Bach (1685-1750)
Joh. Hintze 1678"	3.6.2	2.5.1	MS3	MS3/B017.mscx	False	38-74 (D2-D5)		Soprano/Alto	59-74 (B3-D5)	Tenor/Bass	38-59 (D2-B3)					8e673159-30c3-3917-a611-9f240596f755				Unknown
B018	1: 4/4	1: 0	12	12	48.0	16	16	64.0		192.0	222	77	0	0	0	Johann Sebastian Bach	"Kantate, BWV 162 ""Ach! ich sehe, itzt, da ich zur Hochzeit gehe"": VI. Choral ""Ach, ich habe schon erblicket"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	18	Alle Menschen müssen sterben							3.02	Linux	http://musescore.com/user/1685616/scores/5034587		18. Alle Menschen müssen sterben	(Cant 162: 'Ach, ich sehe, jetzt da ich zur Hochzeit gehe'. B.A. 33, 46, BWV 162.6)	"Johann Georg Albinus 1652
(Joh. Rosenmüller ?)"	"J.S. Bach (1685-1750)
Her Mel. ""Jesu der du meine Seele"" nachgebildet 
(Umbildung von Bach?)"	3.6.2	2.5.1	MS3	MS3/B018.mscx	False	40-76 (E2-E5)		Soprano/Alto	59-76 (B3-E5)	Tenor/Bass	40-65 (E2-F4)					582e0029-1952-30f5-aefc-08cf0cdb7f28	4dac9f80-29f4-47b1-afdd-ee180ea8ffb1	4dqdorCqMoxARX0feHTrRD	NLY331107246	
B019	1: 4/4	1: 1	12	12	48.0	12	12	48.0		193.0	238	83	0	0	0	Johann Sebastian Bach	"Choralsatz, BWV 263 ""Alles ist an Gottes Segen"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	19	Alles ist an Gottes Segen			Nürnberg 1676			2017-03-21	3.02	Linux	http://musescore.com/user/1685616/scores/3607576		19. Alles ist an Gottes Segen	(B.A. 39. No 11, BWV 263)	Nürnberg 1676	"J.S. Bach (Nach J.B. Königs, Choralb. 1738, umgebildet)
From: Bach Choral-Gesänge, edition Breitkopf nr. 3765"	3.6.2	2.5.1	MS3	MS3/B019.mscx	False	38-76 (D2-E5)		Soprano/Alto	57-76 (A3-E5)	Tenor/Bass	38-66 (D2-F#4)					1112c198-6831-3cc1-964e-ece6e15a70c7				Unknown
B020	1: 4/4	1: 1	11	10	40.0	11	10	40.0		148.0	149	55	0	0	0	Johann Sebastian Bach	"Choralsatz, BWV 264 ""Als der gütige Gott"""	1700	1740	https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach	20	Als der gütige Gott							3.02	Linux	http://musescore.com/user/1685616/scores/5034934		20. Als der gütige Gott 	(B. A. 39, No.12, BWV 264)	M. Weisse 1531	"J.S. Bach (1685-1750)
Mich. Weiss 1531   Joh. Crüger 1640"	3.6.2	2.5.1	MS3	MS3/B020.mscx	False	38-74 (D2-D5)		Soprano/Alto	59-74 (B3-D5)	Tenor/Bass	38-64 (D2-E4)					e3581a55-4a4d-3da1-8805-a5609fd4ae5d	6cfd7455-bdaf-48d0-a51d-72b6f6e6ca52	0vzsSd2LOWcdW37qT8TzK1	NLY331107141	Unknown
