type	type-id	target	ordering-key	direction	attribute-list	attributes	work.id	work.title	work.language	work.disambiguation
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	362fef45-01a9-4ce2-b11b-563fb2d7a8a1	158	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '158', 'attribute': 'number'}]	362fef45-01a9-4ce2-b11b-563fb2d7a8a1	"Choralsatz, BWV 271 ""Befiehl du deine Wege"""	deu	"music same as BWV 247: XXIII.""Ich will hier bei dir stehen"""
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	eec24e4a-7ec3-49bc-84dd-31b74151fea8	32	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '32', 'attribute': 'number'}]	eec24e4a-7ec3-49bc-84dd-31b74151fea8	"Choralsatz, BWV 272 ""Befiehl du deine Wege"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	6de5d893-56a5-3de7-b9e6-1487c23b3ff3	33	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '33', 'attribute': 'number'}]	6de5d893-56a5-3de7-b9e6-1487c23b3ff3	"Choralsatz, BWV 273 ""Christ, der du bist der helle Tag"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	d82636f2-8086-3f8d-8d69-badf5d224310	34	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '34', 'attribute': 'number'}]	d82636f2-8086-3f8d-8d69-badf5d224310	"Choralsatz, BWV 274 ""Christe, der du bist Tag und Licht"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	cecd36d5-18bd-336a-a0b6-ae1cb6013779	35	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '35', 'attribute': 'number'}]	cecd36d5-18bd-336a-a0b6-ae1cb6013779	"Choralsatz, BWV 275 ""Christe, du Beistand deiner Kreuzgemeine"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	1dbbb3e5-3635-307b-84ed-b074f31c4de8	36	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '36', 'attribute': 'number'}]	1dbbb3e5-3635-307b-84ed-b074f31c4de8	"Choralsatz, BWV 276 ""Christ ist erstanden"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	5b045665-6e40-34df-924b-cd4bc1941933	38	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '38', 'attribute': 'number'}]	5b045665-6e40-34df-924b-cd4bc1941933	"Choralsatz, BWV 277 ""Christ lag in Todesbanden"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	658d5bd6-b284-4a48-a7be-49f4b7d6683b	39	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '39', 'attribute': 'number'}]	658d5bd6-b284-4a48-a7be-49f4b7d6683b	"Choralsatz, BWV 278 ""Christ lag in Todesbanden"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	0ebeb9dc-47e2-456f-937c-3c039026812e	40	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '40', 'attribute': 'number'}]	0ebeb9dc-47e2-456f-937c-3c039026812e	"Choralsatz, BWV 279 ""Christ lag in Todesbanden"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	f698ce81-b98d-3339-85e1-81a4cec2917b	46	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '46', 'attribute': 'number'}]	f698ce81-b98d-3339-85e1-81a4cec2917b	"Choralsatz, BWV 281 ""Christus, der ist mein Leben"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	bb595ab0-2bb5-40b4-9253-4adc48efe2a4	47	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '47', 'attribute': 'number'}]	bb595ab0-2bb5-40b4-9253-4adc48efe2a4	"Choralsatz, BWV 282 ""Christus, der ist mein Leben"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	d73ee9f6-d061-407e-ad85-977d8e91529f	48	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '48', 'attribute': 'number'}]	d73ee9f6-d061-407e-ad85-977d8e91529f	"Choralsatz, BWV 283 ""Christus, der uns selig macht"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	d0bbac58-03ee-3ed5-8ad7-ed2f7d285e67	51	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '51', 'attribute': 'number'}]	d0bbac58-03ee-3ed5-8ad7-ed2f7d285e67	"Choralsatz, BWV 284 ""Christus ist erstanden"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	fa32b3c6-073d-46c3-8692-93dea2f1f96d	52	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '52', 'attribute': 'number'}]	fa32b3c6-073d-46c3-8692-93dea2f1f96d	"Choralsatz, BWV 285 ""Da der Herr Christ zu Tische saß"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	44883b1b-7eb0-31ae-9a20-2d4cf5fb6f96	53	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '53', 'attribute': 'number'}]	44883b1b-7eb0-31ae-9a20-2d4cf5fb6f96	"Choralsatz, BWV 286 ""Danket dem Herren, denn er ist sehr freundlich"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	6d53c60c-ea1d-3ebb-9261-ab2237c68931	54	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '54', 'attribute': 'number'}]	6d53c60c-ea1d-3ebb-9261-ab2237c68931	"Choralsatz, BWV 287 ""Dank sei Gott in der Höhe"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	56b38762-b267-422a-95f9-1308f6ed27cc	55	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '55', 'attribute': 'number'}]	56b38762-b267-422a-95f9-1308f6ed27cc	"Choralsatz, BWV 288 ""Das alte Jahr vergangen ist"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	e56d0f38-fef6-4000-97ca-705123f1c6f1	56	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '56', 'attribute': 'number'}]	e56d0f38-fef6-4000-97ca-705123f1c6f1	"Choralsatz, BWV 289 ""Das alte Jahr vergangen ist"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	b47fdc0b-fffc-3221-a6ea-b95acfc8f881	58	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '58', 'attribute': 'number'}]	b47fdc0b-fffc-3221-a6ea-b95acfc8f881	"Choralsatz, BWV 290 ""Das walt Gott Vater und Gott Sohn"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	802479e1-70a7-3137-b9f8-7aed1c22182c	59	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '59', 'attribute': 'number'}]	802479e1-70a7-3137-b9f8-7aed1c22182c	"Choralsatz, BWV 291 ""Das walt mein Gott"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	f6df4cf4-25ce-387c-b61c-7a787e10f044	60	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '60', 'attribute': 'number'}]	f6df4cf4-25ce-387c-b61c-7a787e10f044	"Choralsatz, BWV 292 ""Den Vater dort oben"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	719c81db-a879-3b8e-bb9f-b6f5a7b32638	61	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '61', 'attribute': 'number'}]	719c81db-a879-3b8e-bb9f-b6f5a7b32638	"Choralsatz, BWV 293 ""Der du bist drei in Einigkeit"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	fe6d999c-e04b-4221-a25e-063a8b0ef3d9	62	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '62', 'attribute': 'number'}]	fe6d999c-e04b-4221-a25e-063a8b0ef3d9	"Choralsatz, BWV 294 ""Der Tag, der ist so freudenreich"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	0b50ad10-9363-3e2b-9760-8e4ee74d854f	63	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '63', 'attribute': 'number'}]	0b50ad10-9363-3e2b-9760-8e4ee74d854f	"Choralsatz, BWV 295 ""Des Heilgen Geistes reiche Gnad"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	34e95655-c2fb-3098-8661-2f546ee8c9a5	64	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '64', 'attribute': 'number'}]	34e95655-c2fb-3098-8661-2f546ee8c9a5	"Choralsatz, BWV 296 ""Die Nacht ist kommen"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	3c68c192-7a7d-4b1a-a6d6-862e3f0d78a8	65	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '65', 'attribute': 'number'}]	3c68c192-7a7d-4b1a-a6d6-862e3f0d78a8	"Choralsatz, BWV 297 ""Die Sonn hat sich mit ihrem Geianz gewendet"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	44ae4134-94f8-416d-875c-0b11363599a7	67	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '67', 'attribute': 'number'}]	44ae4134-94f8-416d-875c-0b11363599a7	"Choralsatz, BWV 299 ""Dir, dir, Jehova, will ich singen"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	dc0d04a2-f9b7-4026-aa26-6c90aad40686	70	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '70', 'attribute': 'number'}]	dc0d04a2-f9b7-4026-aa26-6c90aad40686	"Choralsatz, BWV 300 ""Du grosser Schmerzensmann"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	eb04db15-9cff-3c39-a3f6-2f3345fcda01	71	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '71', 'attribute': 'number'}]	eb04db15-9cff-3c39-a3f6-2f3345fcda01	"Choralsatz, BWV 301 ""Du, o schönes Weltgebäude"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	d2dbac87-c621-4275-a917-77bf40f1a40f	74	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '74', 'attribute': 'number'}]	d2dbac87-c621-4275-a917-77bf40f1a40f	"Choralsatz, BWV 302 ""Ein' feste Burg ist unser Gott"""	deu	"music same as BWV 247: XXXVIII.""Das Wort sie sollen lassen stahn"""
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	754a6dbe-6e06-363a-a3f6-9dcdf14f7505	75	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '75', 'attribute': 'number'}]	754a6dbe-6e06-363a-a3f6-9dcdf14f7505	"Choralsatz, BWV 303 ""Ein feste Burg ist unser Gott"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	fdd5739b-4291-3fb6-8b08-d6fffdf81235	77	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '77', 'attribute': 'number'}]	fdd5739b-4291-3fb6-8b08-d6fffdf81235	"Choralsatz, BWV 304 ""Eins ist not! ach Herr, dies Eine"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	72e5b08d-1259-3505-ba6c-a857de5ad011	78	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '78', 'attribute': 'number'}]	72e5b08d-1259-3505-ba6c-a857de5ad011	"Choralsatz, BWV 305 ""Erbarm dich mein, o Herre Gott"""	deu	
