type	type-id	target	ordering-key	direction	attribute-list	attributes	work.id	work.title	work.language	work.disambiguation
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	706f565c-b790-3029-9367-d663f9a1868b	112	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '112', 'attribute': 'number'}]	706f565c-b790-3029-9367-d663f9a1868b	"Choralsatz, BWV 316 ""Gott, der du selber bist das Licht"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	12ac6437-b71c-3ae3-9a8f-2de8a68c41df	113	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '113', 'attribute': 'number'}]	12ac6437-b71c-3ae3-9a8f-2de8a68c41df	"Choralsatz, BWV 317 ""Gott, der Vater, wohn uns bei"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	ef655d40-d63f-3c80-8d26-b27c5174266d	115	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '115', 'attribute': 'number'}]	ef655d40-d63f-3c80-8d26-b27c5174266d	"Choralsatz, BWV 318: ""Gottes Sohn ist kommen"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	95edab66-3426-3cec-9ac6-f91af1dac67c	116	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '116', 'attribute': 'number'}]	95edab66-3426-3cec-9ac6-f91af1dac67c	"Choralsatz, BWV 319 ""Gott hat das Evangelium"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	094c8ad8-89f3-45a3-9b01-4884a410a9a6	117	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '117', 'attribute': 'number'}]	094c8ad8-89f3-45a3-9b01-4884a410a9a6	"Choralsatz, BWV 320 ""Gott lebet noch"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	0588973a-d6c8-3b46-b242-afa4b14228fa	118	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '118', 'attribute': 'number'}]	0588973a-d6c8-3b46-b242-afa4b14228fa	"Choralsatz, BWV 321 ""Gottlob, es geht nunmehr zum Ende"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	a13f4fea-206f-3e90-9e3e-504f00c80c8b	119	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '119', 'attribute': 'number'}]	a13f4fea-206f-3e90-9e3e-504f00c80c8b	"Choralsatz, BWV 322 ""Gott sei gelobet und gebenedeiet"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	c025339c-05f4-3705-8b26-535876362da9	120	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '120', 'attribute': 'number'}]	c025339c-05f4-3705-8b26-535876362da9	"Choralsatz, BWV 323 ""Gott sei uns gnädig und barmherzig"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	9c0c1382-13bd-3834-9a81-4b91189a8627	121	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '121', 'attribute': 'number'}]	9c0c1382-13bd-3834-9a81-4b91189a8627	"Choralsatz, BWV 324 ""Meine Seele erhebet den Herren"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	238b3ebc-83b1-3b5a-9272-bf12d8aac440	123	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '123', 'attribute': 'number'}]	238b3ebc-83b1-3b5a-9272-bf12d8aac440	"Choralsatz, BWV 325 ""Heilig, heilig, heilig"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	0b24a887-2b83-372c-9eda-eb7238c960e9	129	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '129', 'attribute': 'number'}]	0b24a887-2b83-372c-9eda-eb7238c960e9	"Choralsatz, BWV 326 ""Herr Gott, dich loben alle wir"""	deu	
