filename	cd	track	title	bwv	cd	track	track_title	recording_title	chorale	recording_id
01-11 Von Gott will ich nicht lassen, BWV 418.mp3	1	11	Von Gott will ich nicht lassen, BWV 418.mp3	418	1	11	Von Gott will ich nicht lassen BWV418	Von Gott will ich nicht lassen, BWV 418	325	f17e9ef9-c258-458c-857d-c4baba146897
01-12 Von Gott will ich nicht lassen, BWV 419.mp3	1	12	Von Gott will ich nicht lassen, BWV 419.mp3	419	1	12	Von Gott will ich nicht lassen BWV419	Von Gott will ich nicht lassen, BWV 419	326	1daf1955-b34f-4114-83ec-d52ce1e0a96e
01-13 Von Gott will ich nicht lassen, WoO.mp3	1	13	Von Gott will ich nicht lassen, WoO.mp3		1	13	Von Gott will ich nicht lassen Zunfinished cantata)	Von Gott will ich nicht lassen, Unfinished Cantata	327	77661453-efdc-4a7e-a3a5-9449adc44af5
01-14 Herr, wie du willt, so schick's mit mir, BWV 73- No. 5, Von Gott will ich nicht lassen.mp3	1	14	Herr, wie du willt, so schick's mit mir, BWV 73- No. 5, Von Gott will ich nicht lassen.mp3	73	1	14	Von Gott will ich nicht lassen (Cantata BWV73)	Von Gott will ich nicht lassen, BWV 73	328	cd6b539f-2163-428b-b698-5665971467e4
01-15 Wär' Gott nicht mit uns diese Zeit, BWV 14- No. 1, Wär' Gott nicht mit uns diese Zeit.mp3	1	15	Wär' Gott nicht mit uns diese Zeit, BWV 14- No. 1, Wär' Gott nicht mit uns diese Zeit.mp3	14	1	15	Wär. Gott nicht mit uns diese Zeit (Cantata BWV14)	Wär' Gott nicht mit uns diese Zeit, Cantata BWV 14	330	24582306-f3c4-4e3e-b290-b64ee1cd985d
01-16 Warum betrübst du dich, mein Herz, BWV 420.mp3	1	16	Warum betrübst du dich, mein Herz, BWV 420.mp3	420	1	16	Warum betrübst du dich, mein Herz BWV420	Warum betrübst du dich, mein Herz, BWV 420	331	c140875a-952a-487f-a425-763eeaa90d18
01-17 Wer sich selbst erhöhet, der soll erniedriget werden, BWV 47- No. 5, Warum betrübst du dich, mein Herz.mp3	1	17	Wer sich selbst erhöhet, der soll erniedriget werden, BWV 47- No. 5, Warum betrübst du dich, mein Herz.mp3	47	1	17	Warum betrübst du dich, mein Herz (Cantata BWV47)	Warum betrübst du dich, mein Herz, BWV 47	333	1a085197-9e8a-44b9-b7f6-2d25a6045d20
01-18 Warum sollt' ich mich denn grämen, BWV 422.mp3	1	18	Warum sollt' ich mich denn grämen, BWV 422.mp3	422	1	18	Warum sollt. ich mich denn grämen BWV422	Warum sollt' ich mich denn grämen, BWV 422	334	f4e9224f-ad35-4293-be8c-3ace82756807
01-19 Was betrübst du dich, mein Herze, BWV 423.mp3	1	19	Was betrübst du dich, mein Herze, BWV 423.mp3	423	1	19	Was betrübst du dich, mein Herze BWV423	Was betrübst du dich, mein Herze, BWV 425	336	7f8b032d-34c9-4c30-b9e4-fd0268b9c425
01-20 Was bist du doch, o Seele, so betrübet, BWV 424.mp3	1	20	Was bist du doch, o Seele, so betrübet, BWV 424.mp3	424	1	20	Was bist du doch, o Seele, so betrübet BWV424	Was bist du doch, o Seele, so betrübet, BWV 424	337	dec89b4a-5803-4839-9c33-ff37b3bc36eb
01-21 Nimm, was dein ist, und gehe hin, BWV 144- No. 3, Was Gott thut, das ist wohlgethan.mp3	1	21	Nimm, was dein ist, und gehe hin, BWV 144- No. 3, Was Gott thut, das ist wohlgethan.mp3	144	1	21	Was Gott thut, das ist wohlgethan (Cantata BWV144)	Was Gott thut, das ist wohlgethan, Cantata BWV 144	338	836ffae6-6952-4b18-9f26-2a64f938b289
