Riemenschneider,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV),Chorale text,Chorale text URL,Zahn_wiki,Zahn URL,BWV_wiki,BWV URL,389,CPE_wiki,Notes,Notes URL,BC F ,BC F URL
48,26.6,,48,48,48,"Ach wie flüchtig, ach wie nichtig (8)","Franck, Michael","Ach wie flüchtig, ach wie nichtig","Crüger, Johann*",1887,24th Sunday after Trinity,0,"Ach wie flüchtig, ach wie nichtig (v. 8)","https://en.wikipedia.org/wiki/Ach_wie_flüchtig,_ach_wie_nichtig",1887,"https://en.wikipedia.org/wiki/Ach_wie_flüchtig,_ach_wie_nichtig",26/6,https://en.wikipedia.org/wiki/BWV_26,11,48,0026_6 ,http://www.bach-chorales.com/BWV0026_6.htm,6.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00011289
249,260,2,249,249,249,Allein Gott in der Höh sei Ehr,"Decius, Nikolaus",Allein Gott in der Höh sei Ehr,"Decius, Nikolaus*",4457,Unknown,"2 (104.6, 112.5)",Allein Gott in der Höh sei Ehr,https://en.wikipedia.org/wiki/Allein_Gott_in_der_Höh_sei_Ehr,4457,https://en.wikipedia.org/wiki/Allein_Gott_in_der_Höh_sei_Ehr,260,,12,249,260,http://www.bach-chorales.com/BWV0260.htm,10.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000330
125,104.6,,125 =325,125,125 =326,Der Herr ist mein getreuer Hirt (1),"Becker, Cornelius",Allein Gott in der Höh sei Ehr,"Decius, Nikolaus*",4457,Misericordias Domini,"2 (112.5, 260)",Der Herr ist mein getreuer Hirt (v. 1) ,https://en.wikipedia.org/wiki/Der_Herr_ist_mein_getreuer_Hirt,4457,https://en.wikipedia.org/wiki/Allein_Gott_in_der_Höh_sei_Ehr,104/6 ,https://en.wikipedia.org/wiki/BWV_104,13,125,0104_6 ,http://www.bach-chorales.com/BWV0104_6.htm,10.2; — ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011290
313,112.5,101,312 =352,312,313 =353,Der Herr ist mein getreuer Hirt (5),"Becker, Cornelius",Allein Gott in der Höh sei Ehr,"Decius, Nikolaus*",4457,Misericordias Domini (2nd Sunday after Easter),"2 (104.6, 260)",Der Herr ist mein getreuer Hirt (v. 5) ,https://en.wikipedia.org/wiki/Der_Herr_ist_mein_getreuer_Hirt,4457,https://en.wikipedia.org/wiki/Allein_Gott_in_der_Höh_sei_Ehr,112/5 ,https://en.wikipedia.org/wiki/BWV_112,14,312,0112_5 ,http://www.bach-chorales.com/BWV0112_5.htm,10.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011236
359,261,,358,358,359,"Allein zu dir, Herr Jesu Christ","Hubert, Konrad","Allein zu dir, Herr Jesu Christ",Wittenberg c.1541,7292b,Unknown,1 (33.6),"Allein zu dir, Herr Jesu Christ","https://en.wikipedia.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ",7292b,"https://en.wikipedia.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ",261,,15,358,261,http://www.bach-chorales.com/BWV0261.htm,11.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000331
13,33.6,80,13,13,13,"Allein zu dir, Herr Jesu Christ (4)","Hubert, Konrad","Allein zu dir, Herr Jesu Christ",Wittenberg c.1541,7292b,13th Sunday after Trinity,1 (261),"Allein zu dir, Herr Jesu Christ (v. 4)","https://en.wikipedia.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ",7292b,"https://en.wikipedia.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ",33/6,https://en.wikipedia.org/wiki/BWV_33,16,13,0033_6 ,http://www.bach-chorales.com/BWV0033_6.htm,11.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011223
153,262,,153,153,153,Alle Menschen müssen sterben,"Albinus, Johann Georg or Johann Rosenmüller",Alle Menschen müssen sterben,"Hintze, Jakob",6778,Unknown,0,Alle Menschen müssen sterben,https://en.wikipedia.org/wiki/Alle_Menschen_müssen_sterben,6778,,262,,17,153,262,http://www.bach-chorales.com/BWV0262.htm,8.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000332
,,,,,,,,,,,,,Alle Menschen müssen sterben (v. 7),https://en.wikipedia.org/wiki/Alle_Menschen_müssen_sterben,6783,,162/6,https://en.wikipedia.org/wiki/BWV_162,18,,0162_6 ,http://www.bach-chorales.com/BWV0162_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
128,263,,128,128,128,Alles ist an Gottes Segen,Nürnberg 1676,Alles ist an Gottes Segen,"Löhner, Johann",3838ff,Unknown,0,Alles ist an Gottes Segen,,3842f,,263,,19,128,263,http://www.bach-chorales.com/BWV0263.htm,12.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000333
159,264,,159,159,159,Als der gütige Gott,"Weisse, Michael",Als der gütige Gott,"Crüger, Johann",1646,Unknown,0,Als der gütige Gott,https://en.wikipedia.org/wiki/Als_der_gütige_Gott,1645,https://en.wikipedia.org/wiki/Als_der_gütige_Gott,264,,20,159,264,http://www.bach-chorales.com/BWV0264.htm,13.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000334
180,265,,180,180,180,Als Jesu Christus in der Nacht,"Heermann, Johann",Als Jesu Christus in der Nacht,"Crüger, Johann",258,Unknown,0,Als Jesus Christus in der Nacht,https://en.wikipedia.org/wiki/Als_Jesus_Christus_in_der_Nacht,258,https://en.wikipedia.org/wiki/Als_Jesus_Christus_in_der_Nacht,265,,21,180,265,http://www.bach-chorales.com/BWV0265.htm,14.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000335
208,266,,208,208,208,Als vierzig Tag nach Ostern warn,"Herman, Nikolaus",Als vierzig Tag nach Ostern warn,"Herman, Nikolaus",1743,Unknown,0,Als vierzig Tag nach Ostern warn,https://en.wikipedia.org/wiki/Als_vierzig_Tag_nach_Ostern_warn,1743,https://en.wikipedia.org/wiki/Als_vierzig_Tag_nach_Ostern_warn,266,,22,208,266,http://www.bach-chorales.com/BWV0266.htm,15.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000336
5,267,144,5 =308,5,5 =309,An Wasserflüssen Babylon (for B308),"Dachstein, Wolfgang",An Wasserflüssen Babylon,"Greitter, Matthias",7663,Unknown,0,An Wasserflüssen Babylon ,https://en.wikipedia.org/wiki/An_Wasserflüssen_Babylon,7663,https://en.wikipedia.org/wiki/An_Wasserflüssen_Babylon_(Zahn_7663),267,,23,5,267,http://www.bach-chorales.com/BWV0267.htm,17.1a/b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000337
124,268,,124,124,124,"Auf, auf, mein Herz, und du, mein ganzer Sinn","Birken, Sigmund von","Auf, auf, mein Herz, und du, mein ganzer Sinn","Staden, Johann",824,Unknown,0,"Auf, auf, mein Herz, und du mein ganzer ...",,824,,268,,24,124,268,http://www.bach-chorales.com/BWV0268.htm,19.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000338
,,,,,,,,,,,,,Auf meinen lieben Gott (v. 1),https://en.wikipedia.org/wiki/Auf_meinen_lieben_Gott,2164,https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,188/6,https://en.wikipedia.org/wiki/BWV_188,25,,0188_6 ,http://www.bach-chorales.com/BWV0188_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
281,89.6,,281,281,281,Wo soll ich fliehen hin (7),"Heermann, Johann",Wo soll ich fliehen hin,"Gesius, Bartholomäus*",2164,22nd Sunday after Trinity,"4 (5.7, 136.6, 148.6, 188.6)",Wo soll ich fliehen hin (v. 7),https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,2164,https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,89/6,https://en.wikipedia.org/wiki/BWV_89,26,281,0089_6 ,http://www.bach-chorales.com/BWV0089_6.htm,20.4a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011292
331,136.6,,330,330,331,Wo soll ich fliehen hin (9),"Heermann, Johann",Wo soll ich fliehen hin,"Gesius, Bartholomäus*",2164,8th Sunday after Trinity,"4 (5.7, 89.6, 148.6, 188.6)",Wo soll ich fliehen hin (v. 9),https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,2164,https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,136/6,https://en.wikipedia.org/wiki/BWV_136,27,330,0136_6 ,http://www.bach-chorales.com/BWV0136_6.htm,20.5b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011293
304,5.7,93,303,303,304,Wo soll ich fliehen hin (11),"Heermann, Johann",Wo soll ich fliehen hin,"Gesius, Bartholomäus*",2164,19th Sunday after Trinity,"4 (89.6, 136.6, 148.6, 188.6)",Wo soll ich fliehen hin (v. 11),https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,2164,https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,5/7,https://en.wikipedia.org/wiki/BWV_5,28,303,0005_7 ,http://www.bach-chorales.com/BWV0005_7.htm,20.2b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011232
25,148.6,,25,25,25,Auf meinen lieben Gott (5?),Lübeck before 1603,Wo soll ich fliehen hin,"Gesius, Bartholomäus*",2164,17th Sunday after Trinity,"4 (5.7, 89.6, 136.6, 188.6)",Wo soll ich fliehen hin,https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,2164,https://en.wikipedia.org/wiki/Wo_soll_ich_fliehen_hin,148/6,https://en.wikipedia.org/wiki/BWV_148,29,25,0148_6; Textless in cantata ,http://www.bach-chorales.com/BWV0148_6.htm,20.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011291
1,269,,1,1,1,Aus meines Herzens Grunde,"Niege, Georg",Aus meines Herzens Grunde,Anonymous,5269,Unknown,0,Aus meines Herzens Grunde,https://en.wikipedia.org/wiki/Aus_meines_Herzens_Grunde,5269,https://en.wikipedia.org/wiki/Aus_meines_Herzens_Grunde,269,,30,1,269,http://www.bach-chorales.com/BWV0269.htm,21.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000339
