Riemenschneider,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV),Chorale text,Chorale text URL,Zahn_wiki,Zahn URL,BWV_wiki,BWV URL,389,CPE_wiki,Notes,Notes URL,BC F ,BC F URL
163,313,,163,163,163,Vor Freuden lasst uns springen,"Peltsch, Kaspar",Vor Freuden lasst uns springen,Anonymous,2339,Unknown,0,Für Freuden laßt uns springen,,2339,,313,,106,163,313,http://www.bach-chorales.com/BWV0313.htm,68.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000383
288,314,65,287,287,288,"Gelobet seist du, Jesu Christ","Luther, Martin","Gelobet seist du, Jesu Christ",Wittenberg 1524*,1947,Unknown,"3 (64.2, 91.6, 248.28)","Gelobet seist du, Jesu Christ","https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",1947,"https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",314,,107,287,314,http://www.bach-chorales.com/BWV0314.htm,69.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000384
160,64.2,13,160,160,160,"Gelobet seist du, Jesu Christ (7)","Luther, Martin","Gelobet seist du, Jesu Christ",Wittenberg 1524*,1947,3rd Day of Christmas,"3 (91.6, 248.28, 314)","Gelobet seist du, Jesu Christ (v. 7)","https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",1947,"https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",64/2,https://en.wikipedia.org/wiki/BWV_64,108,160,0064_2 ,http://www.bach-chorales.com/BWV0064_2.htm,69.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011179
51,91.6,130,53,53,51,"Gelobet seist du, Jesu Christ (7)","Luther, Martin","Gelobet seist du, Jesu Christ",Wittenberg 1524*,1947,Christmas Day,"3 (64.2, 248.28, 314)","Gelobet seist du, Jesu Christ (v. 7)","https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",1947,"https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",91/6,https://en.wikipedia.org/wiki/BWV_91,109,53,0091_6 ,http://www.bach-chorales.com/BWV0091_6.htm,69.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011252
,,,,,,,,,,,,,"Gelobet seist du, Jesu Christ (v. 7)","https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",1947,"https://en.wikipedia.org/wiki/Gelobet_seist_du,_Jesu_Christ",248/28,https://en.wikipedia.org/wiki/BWV_248,110,,0248_28 ,http://www.bach-chorales.com/BWV0248_28.htm,69.4a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011262
271,315,48,271,271,271,Gib dich zufrieden und sei stille,"Gerhardt, Paul",Gib dich zufrieden und sei stille,"Bach, J.S.?",7417a,Unknown,0,Gib dich zufrieden und sei stille,,7417a,,315,,111,271,315,http://www.bach-chorales.com/BWV0315.htm,70.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000385
225,316,,225,225,225,"Gott, der du selber bist das Licht","Rist, Johann","Gott, der du selber bist das Licht","Crüger, Johann",5814,Unknown,0,"Gott, der du selber bist das Licht",,5814,,316,,112,225,316,http://www.bach-chorales.com/BWV0316.htm,71.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000386
135,317,,134,134,135,Gott der Vater wohn uns bei,"Luther, Martin",Gott der Vater wohn uns bei,Wittenberg 1524*,8507,Unknown,0,Gott der Vater wohn uns bei,https://en.wikipedia.org/wiki/Gott_der_Vater_wohn_uns_bei,8507,https://en.wikipedia.org/wiki/Gott_der_Vater_wohn_uns_bei,317,,113,134,317,http://www.bach-chorales.com/BWV0317.htm,72.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000387
35,248.53,147,34,34,35,"Ihr Gestirn, ihr hohlen Lüfte (9)","Franck, Johann",Gott des Himmels und der Erden,"Albert, Heinrich",3614,Sunday after New Year,0,"Ihr Gestirn, ihr hohlen Lüfte (v. 9)","https://en.wikipedia.org/wiki/Ihr_Gestirn,_ihr_hohlen_Lüfte",3614,https://en.wikipedia.org/wiki/Gott_des_Himmels_und_der_Erden,248/53,https://en.wikipedia.org/wiki/BWV_248,114,34,0248_53 ,http://www.bach-chorales.com/BWV0248_53.htm,73.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011267
18,318,,18,18,18,Gottes Sohn ist kommen,"Horn, Johann",Menschenkind merk eben,Bohemian Brethren 1501/1531*,3294,Unknown,0,Gottes Sohn ist kommen,https://en.wikipedia.org/wiki/Gottes_Sohn_ist_kommen,3294,"https://en.wikipedia.org/wiki/Menschenkind,_merk_eben",318,,115,18,318,http://www.bach-chorales.com/BWV0318.htm,143.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000388
181,319,,181,181,181,Gott hat das Evangelium,"Alber, Erasmus",Gott hat das Evangelium,"Alber, Erasmus",1788,Unknown,0,Gott hat das Evangelium,https://en.wikipedia.org/wiki/Gott_hat_das_Evangelium,1788,https://en.wikipedia.org/wiki/Gott_hat_das_Evangelium,319,,116,181,319,http://www.bach-chorales.com/BWV0319.htm,74.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000389
234,320,,234,234,234,Gott lebet noch,"Zihn, Johann Friedrich",Gott lebet noch,Halle 1704,7951,Unknown,0,Gott lebet noch,,7951,,320,,117,234,0320; ≈BWV 461: Schemelli No. 488 (37) ,http://www.bach-chorales.com/BWV0320.htm || https://en.wikipedia.org/wiki/BWV_461 || https://en.wikipedia.org/wiki/Schemellis_Gesangbuch,75.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000390
192,321,,192,192,192,"Gottlob, es geht nunmehr zum Ende","Wiese, Christian","Gottlob, es geht nunmehr zum Ende",Anonymous,2855,Unknown,0,"Gottlob, es geht nunmehr zu Ende",,2855,,321,,118,192,321,http://www.bach-chorales.com/BWV0321.htm,77.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000391
70,322,,70,70,70,Gott sei gelobet und gebenedeiet,Medingen c.1350,Gott sei gelobet und gebenedeiet,Wittenberg 1524*,8078,Unknown,0,Gott sei gelobet und gebenedeiet,https://en.wikipedia.org/wiki/Gott_sei_gelobet_und_gebenedeiet,8078,https://en.wikipedia.org/wiki/Gott_sei_gelobet_und_gebenedeiet,322,,119,70,322,http://www.bach-chorales.com/BWV0322.htm,76.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000392
320,323,,319,319,320,Gott sei uns gnädig und barmherzig,Anonymous,Meine Seel erhebt den Herren [The German Magnificat],Wittenberg 1535*,7372,Unknown,"2 (10.7, 324)",Gott sei uns gnädig und barmherzig,https://en.wikipedia.org/wiki/Gott_sei_uns_gnädig_und_barmherzig,7372,https://en.wikipedia.org/wiki/Tonus_peregrinus,323,,120,319,0323; Tune: German Magnificat (metric) ,http://www.bach-chorales.com/BWV0323.htm || https://en.wikipedia.org/wiki/Meine_Seele_erhebt_den_Herren || https://en.wikipedia.org/wiki/Metre_(music),140.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000393
130,324,,130,130,130,Meine Seel erhebt den Herren [The German Magnificat],Luke 1:46ff,Meine Seel erhebt den Herren [The German Magnificat],Wittenberg 1535*,7372,Unknown,"2 (10.7, 323)",Meine Seele erhebet den Herren,https://en.wikipedia.org/wiki/Meine_Seele_erhebet_den_Herren,7372~,https://en.wikipedia.org/wiki/Tonus_peregrinus,324,,121,130,0324; Tune: German Magnificat (chant) ,http://www.bach-chorales.com/BWV0324.htm || https://en.wikipedia.org/wiki/Meine_Seele_erhebt_den_Herren || https://en.wikipedia.org/wiki/Tonus_peregrinus,140.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000394
358,10.7,118,357,357,358,Meine Seel erhebt den Herren [The German Magnificat],Luke 1:46ff,Meine Seel erhebt den Herren [The German Magnificat],Wittenberg 1535*,,Feast of the Visitation of Mary,"2 (323, 324)",Meine Seele erhebt den Herren (doxology),https://en.wikipedia.org/wiki/Meine_Seele_erhebt_den_Herren,7372~,https://en.wikipedia.org/wiki/Tonus_peregrinus,10/7,https://en.wikipedia.org/wiki/BWV_10,122,357,0010_7; Tune: German Magnificat (metric) ,http://www.bach-chorales.com/BWV0010_7.htm || https://en.wikipedia.org/wiki/Meine_Seele_erhebt_den_Herren || https://en.wikipedia.org/wiki/Metre_(music),140.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011248
235,325,,235 =318,235,235 =319,"Heilig, heilig [German Sanctus]",German trans. of Sanctus,"Heilig, heilig",Steinau 1726*,8633,Unknown,0,"Heilig, heilig (or)
Sanctus, Sanctus Dominus Deus Sabaoth ",,8633,,325,,123,235,325,http://www.bach-chorales.com/BWV0325.htm,79.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000395
23,28.6,8,23 =88,23,23 =88,Helft mir Gotts Güte preisen (6),"Eber, Paul",Helft mir Gotts Güte preisen,Anonymous,5267,1st Sunday after Christmas,"2 (16.6, 183.5)",Helft mir Gotts Güte preisen (v. 6) ,https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,5267,https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,28/6 ,https://en.wikipedia.org/wiki/BWV_28,124,23,0028_6 ,http://www.bach-chorales.com/BWV0028_6.htm,80.1a/b; — ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011175
99,16.6,,99,99,99,Helft mir Gotts Güte preisen (6),"Eber, Paul",Helft mir Gotts Güte preisen,Anonymous,5267,New Year’s Day,"2 (28.6, 183.5)",Helft mir Gotts Güte preisen (v. 5),https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,5267,https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,16/6,https://en.wikipedia.org/wiki/BWV_16,125,99,0016_6 ,http://www.bach-chorales.com/BWV0016_6.htm,80.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011324
123,183.5,,123,123,123,Zeuch ein zu deinen Toren (5),"Gerhardt, Paul",Helft mir Gotts Güte preisen,Anonymous,5267,Exaudi (Sunday after Ascension),"2 (16.6, 28.6)",Zeuch ein zu deinen Toren (v. 5),https://en.wikipedia.org/wiki/Zeuch_ein_zu_deinen_Toren,5267,https://en.wikipedia.org/wiki/Helft_mir_Gotts_Güte_preisen,183/5,https://en.wikipedia.org/wiki/BWV_183,126,123,0183_5 ,http://www.bach-chorales.com/BWV0183_5.htm,80.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011325
101,164.6,82,101,101,101,"Herr Christ, der einge Gottessohn (5)","Creutziger, Elisabeth","Herr Christ, der einge Gottessohn",Erfurt 1524*,4297a,13th Sunday after Trinity,"2 (22.5, 96.6)","Herr Christ, der einge Gottessohn (v. 5)","https://en.wikipedia.org/wiki/Herr_Christ,_der_einig_Gotts_Sohn",4297a,"https://en.wikipedia.org/wiki/Herr_Christ,_der_einge_Gottessohn",164/6,https://en.wikipedia.org/wiki/BWV_164,127,101,0164_6 ,http://www.bach-chorales.com/BWV0164_6.htm,81.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011224
303,96.6,92,302,302,303,"Herr Christ, der einge Gottessohn (5)","Creutziger, Elisabeth","Herr Christ, der einge Gottessohn",Erfurt 1524*,4297a,18th Sunday after Trinity,"2 (22.5, 164.6)","Herr Christ, der einge Gottessohn (v. 5)","https://en.wikipedia.org/wiki/Herr_Christ,_der_einig_Gotts_Sohn",4297a,"https://en.wikipedia.org/wiki/Herr_Christ,_der_einge_Gottessohn",96/6,https://en.wikipedia.org/wiki/BWV_96,128,302,0096_6 ,http://www.bach-chorales.com/BWV0096_6.htm,81.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011231
164,326,,167,167,164,"Herr Gott, dich loben alle wir","Eber, Paul","Herr Gott, dich loben alle wir",Geneva 1551*,368,Unknown,"2 (130.6, 327)","Herr Gott, dich loben alle wir","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_alle_wir",368,https://en.wikipedia.org/wiki/Ihr_Knecht_des_Herren_allzugleich,326,,129,167,326,http://www.bach-chorales.com/BWV0326.htm,105.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000396
,,,,,,"Herr Gott, dich loben alle wir","Eber, Paul","Herr Gott, dich loben alle wir",Geneva 1551*,,,,"Herr Gott, dich loben alle wir","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_alle_wir",,,,,130,,,,,
,,,,,,,,,,,,,"Herr Gott, dich loben alle wir (v. 11)","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_alle_wir",368,https://en.wikipedia.org/wiki/Ihr_Knecht_des_Herren_allzugleich,130/6,https://en.wikipedia.org/wiki/BWV_130,131,,0130_6; Bach struck v. 12 in cantata[31] ,http://www.bach-chorales.com/BWV0130_6.htm || https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach#cite_note-31,105.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011226
334,327,,333,333,334,Vor deinen Thron tret ich hiermit,"Hodenberg, Bobo von","Herr Gott, dich loben alle wir",Geneva 1551*,368,Unknown,"2 (130.6, 326)",Vor deinen Thron tret ich hiermit,,368,https://en.wikipedia.org/wiki/Ihr_Knecht_des_Herren_allzugleich,327,,132,333,327,http://www.bach-chorales.com/BWV0327.htm,105.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000397
205,328,,205,205,205,"Herr Gott, dich loben wir [German Te Deum]","Luther, Martin","Herr Gott, dich loben wir [The German Te Deum] [German Te Deum]","Luther, Martin*",8652,Unknown,"2 (119.9, 120.6)","Herr Gott, dich loben wir","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",8652,"https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",328,,133,205,328,http://www.bach-chorales.com/BWV0328.htm,83.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000398
,,,,,,,,,,,,,"Herr Gott, dich loben wir (vv. 38–41)","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",8652,"https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",119/9,https://en.wikipedia.org/wiki/BWV_119,134,,0119_9 ,http://www.bach-chorales.com/BWV0119_9.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
,,,,,,,,,,,,,"Herr Gott, dich loben wir (vv. 34–41)","https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",8652,"https://en.wikipedia.org/wiki/Herr_Gott,_dich_loben_wir",120/6,https://en.wikipedia.org/wiki/BWV_120,135,,0120_6 ,http://www.bach-chorales.com/BWV0120_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
212,329,,212,212,212,"Herr, ich denk an jene Zeit","Mylius, Georg","Lob sei dir, gütiger Gott",Bohemian Brethren 1566,4840,Unknown,0,"Herr, ich denk an jene Zeit","https://en.wikipedia.org/wiki/Herr,_ich_denk_an_jene_Zeit",4840,"https://en.wikipedia.org/wiki/Herr,_ich_denk_an_jene_Zeit",329,,136,212,329,http://www.bach-chorales.com/BWV0329.htm,134.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000399
33,330,,35,35,33,"Herr, ich habe missgehandelt","Franck, Johann","Herr, ich habe missgehandelt","Crüger, Johann",3695,Unknown,1 (331),"Herr, ich habe mißgehandelt",,3695,,330,,137,35,330,http://www.bach-chorales.com/BWV0330.htm,84.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000400
287,331,63,286,286,287,"Herr, ich habe missgehandelt","Franck, Johann","Herr, ich habe missgehandelt","Crüger, Johann",3695,Unknown,1 (330),"Herr, ich habe mißgehandelt",,3695,,331,,138,286,331,http://www.bach-chorales.com/BWV0331.htm,84.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000401
136,332,,136,136,136,"Herr, Jesu Christ, dich zu uns wend",Wilhelm II Duke of Sachsen–Weimar,"Herr, Jesu Christ, dich zu uns wend",Gochsheim/Redwitz 1628,625,Unknown,0,"Herr Jesu Christ, dich zu uns wend","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_dich_zu_uns_wend",625,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_dich_zu_uns_wend",332,,139,136,332,http://www.bach-chorales.com/BWV0332.htm,85.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000402
226,333,,226,226,226,"Herr Jesu Christ, du hast bereitt","Kinner, Samuel","Herr Jesu Christ, du hast bereitt",Anonymous,4711,Unknown,0,"Herr Jesu Christ, du hast bereit't",,4711,,333,,140,226,333,http://www.bach-chorales.com/BWV0333.htm,86.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000403
73,334,54,73,73,73,"Herr Jesu Christ, du höchstes Gut","Ringwaldt, Bartholomäus","Herr Jesu Christ, du höchstes Gut",Görlitz 1587*,4486,Unknown,"4 (48.7, 113.1, 113.8, 168.6)","Herr Jesu Christ, du höchstes Gut","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",4486,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",334,,141,73,334,http://www.bach-chorales.com/BWV0334.htm,202.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000404
294,113.8,74,293,293,294,"Herr Jesu Christ, du höchstes Gut (8)","Ringwaldt, Bartholomäus","Herr Jesu Christ, du höchstes Gut",Görlitz 1587*,4486,11th Sunday after Trinity,"4 (48.7, 113.1, 168.6, 334)","Herr Jesu Christ, du höchstes Gut (v. 8)","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",4486,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",113/8,https://en.wikipedia.org/wiki/BWV_113,142,293,0113_8 ,http://www.bach-chorales.com/BWV0113_8.htm,202.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011217
92,168.6,,92,92,92,"Herr Jesu Christ, du höchstes Gut (8)","Ringwaldt, Bartholomäus","Herr Jesu Christ, du höchstes Gut",Görlitz 1587*,4486,9th Sunday after Trinity,"4 (48.7, 113.1, 113.8, 334)","Herr Jesu Christ, du höchstes Gut (v. 8)","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",4486,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",168/6,https://en.wikipedia.org/wiki/BWV_168,143,92,0168_6 ,http://www.bach-chorales.com/BWV0168_6.htm,202.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011198
266,48.7,40,266,266,266,"Herr Jesu Christ, ich schrei zu dir (12)",Freiberg 1670,"Herr Jesu Christ, du höchstes Gut",Görlitz 1587*,4486,19th Sunday after Trinity,"4 (113.1, 113.8, 168.6, 334)","Herr Jesu Christ, ich schrei zu dir (v. 12) ","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_ich_schrei_zu_dir",4486,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_du_höchstes_Gut",48/7 ,https://en.wikipedia.org/wiki/BWV_48,144,266,0048_7 ,http://www.bach-chorales.com/BWV0048_7.htm,202.4b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011320
295,(335),(83),294 =236,294,295 =236,"O Jesu, du mein Bräutigam (for B294)",Anonymous,"Herr Jesu Christ, meins Lebens Licht (melody #1)",Anonymous,314,Unknown,0,"Herr Jesu Christ, meins Lebens Licht ","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_meins_Lebens_Licht",314,"https://en.wikipedia.org/wiki/Rex_Christe,_factor_omnium",335,,145,294,335,http://www.bach-chorales.com/BWV0335.htm,170.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000405
189,336,,189,189,189,"Herr Jesu Christ, wahr Mensch und Gott","Eber, Paul","Herr Jesu Christ, wahr Mensch und Gott","Eccard, Johannes",423,Unknown,0,"Herr Jesu Christ, wahr Mensch und Gott","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_wahr_Mensch_und_Gott",423,"https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_wahr%27_Mensch_und_Gott",336,,146,189,336,http://www.bach-chorales.com/BWV0336.htm,88.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000406
384,,,,,,,,,,,,,"Herr Jesu Christ, wahr Mensch und Gott (v. 8)","https://en.wikipedia.org/wiki/Herr_Jesu_Christ,_wahr_Mensch_und_Gott",2570,https://en.wikipedia.org/wiki/Wenn_einer_schon_ein_Haus_aufbaut,127/5,https://en.wikipedia.org/wiki/BWV_127,147,283bis,0127_5 ,http://www.bach-chorales.com/BWV0127_5.htm,199.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011209
190,337,,190,190,190,"Herr, nun lass in Friede","Behme, David","Herr, nun lass in Friede",Bohemian Brethren 1694,3302,Unknown,0,"Herr, nun laß in Friede",,3302,,337,,148,190,337,http://www.bach-chorales.com/BWV0337.htm,89.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000407
221,338,,221,221,221,"Herr, straf mich nicht in deinem Zorn (paraph. of Ps.38)",Anonymous,"Herr, straf mich nicht in deinem Zorn","Crüger, Johann",4606a,Unknown,0,"Herr, straf mich nicht in deinem Zorn","https://en.wikipedia.org/wiki/Herr,_straf_mich_nicht_in_deinem_Zorn_(Psalm_6)",4606a,"https://en.wikipedia.org/wiki/Herr,_straf_mich_nicht_in_deinem_Zorn_(Psalm_6)",338,,149,221,338,http://www.bach-chorales.com/BWV0338.htm,90.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000408
317,156.6,,316,316,317,"Herr, wie du willst, so schicks mit mir (1)","Bienemann, Kaspar",Aus tiefer Not schrei ich zu dir (melody #2),"Dachstein, Wolfgang",4438,3rd Sunday after Epiphany,1 (339),"Herr, wie du willst, so schicks ... [de] (v. 1)","https://en.wikipedia.org/wiki/Herr,_wie_du_willst,_so_schicks_mit_mir || https://de.wikipedia.org/wiki/Kaspar_Bienemann",4438,https://en.wikipedia.org/wiki/Aus_tiefer_Not_schrei_ich_zu_dir_(Zahn_4438),156/6,https://en.wikipedia.org/wiki/BWV_156,150,316,0156_6 ,http://www.bach-chorales.com/BWV0156_6.htm,23.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00011294
144,339,,144 =317,144,144 =318,"Herr, wie du willst, so schicks mit mir","Bienemann, Kaspar",Aus tiefer Not schrei ich zu dir (melody #2),"Dachstein, Wolfgang",4438,Unknown,1 (156.6),Wer in dem Schutz des Höchsten ist ,https://en.wikipedia.org/wiki/Wer_in_dem_Schutz_des_Höchsten_ist,4438,https://en.wikipedia.org/wiki/Aus_tiefer_Not_schrei_ich_zu_dir_(Zahn_4438),339,,151,144,339,http://www.bach-chorales.com/BWV0339.htm,23.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000409
277,340,53,277,277,277,"Herzlich lieb hab ich dich, o Herr","Schalling, Martin","Herzlich lieb hab ich dich, o Herr",Straßburg 1577,8326,Unknown,"3 (149.7, 174.5, 245.40)","Herzlich lieb hab ich dich, o Herr","https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",8326,"https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",340,,152,277,340,http://www.bach-chorales.com/BWV0340.htm,91.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000410
58,174.5,111,56,56,58,"Herzlich lieb hab ich dich, o Herr (1)","Schalling, Martin","Herzlich lieb hab ich dich, o Herr",Straßburg 1577,8326,Whit Monday,"3 (149.7, 245.40, 340)","Herzlich lieb hab ich dich, o Herr (v. 1)","https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",8326,"https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",174/5,https://en.wikipedia.org/wiki/BWV_174,153,56,0174_5 ,http://www.bach-chorales.com/BWV0174_5.htm,91.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00011244
107,245.40,,107,107,107,"Herzlich lieb hab ich dich, o Herr (3)","Schalling, Martin","Herzlich lieb hab ich dich, o Herr",Straßburg 1577,8326,Good Friday,"3 (149.7, 174.5, 340)","Herzlich lieb hab ich dich, o Herr (v. 3)","https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",8326,"https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",245/40,https://en.wikipedia.org/wiki/BWV_245,154,107,0245_40 ,http://www.bach-chorales.com/BWV0245_40.htm,91.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011278
,,,,,,,,,,,,,"Herzlich lieb hab ich dich, o Herr (v. 3)","https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",8326,"https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",149/7,https://en.wikipedia.org/wiki/BWV_149,155,,0149_7 ,http://www.bach-chorales.com/BWV0149_7.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
,,,,,,,,,,,,,"Ach Herr, mich armen Sünder (v. 6)","https://en.wikipedia.org/wiki/Ach_Herr,_mich_armen_Sünder",5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),135/6,https://en.wikipedia.org/wiki/BWV_135,156,,0135_6 ,http://www.bach-chorales.com/BWV0135_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
286,270,62,285,285,286,Befiehl du deine Wege,"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Unknown,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.44, 244.54, 244.62, 248.5, 248.64, 271)",Befiehl du deine Wege,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),270,,157,285,270,http://www.bach-chorales.com/BWV0270.htm,92.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000340
367,271,143,366,366,367,Befiehl du deine Wege,"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Unknown,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.44, 244.54, 244.62, 248.5, 248.64, 270)",Befiehl du deine Wege,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),271,,158,366,271,http://www.bach-chorales.com/BWV0271.htm,92.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000341
80,244.44,,87,87,80,Befiehl du deine Wege (1),"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Good Friday,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.54, 244.62, 248.5, 248.64, 270, 271)",Befiehl du deine Wege (v. 1),https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),244/44,https://en.wikipedia.org/wiki/BWV_244,159,87,0244_44 ,http://www.bach-chorales.com/BWV0244_44.htm,92.6b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011355
